name_of_plot,master_file,parent_name,parent_uqid,time of fit,Diff_eq,Diff_species,Triplet_eq,Triplet_species,Dimen,xmin,xmax,offset,stdev(offset),GN0,stdev(GN0),N (FCS),cpm (kHz),A1,stdev(A1),txy1,stdev(txy1),alpha1,stdev(alpha1),N (mom),bri (kHz)
2022-01-20_tttr2xfcs_with_weights_CH2_BIN1_20 nM AF48816_T182s_1_correlation-CH2_2,Not known,20 nM AF48816_T182s_1,,24 January 2022 22:34:07,Equation 1A,1,Triplet Eq 2A,1,3D,0.001018,100.66329,0.31437457126074836,,0.1613164078985353,,6.198997442522892,55.727063797978936,1,,0.06626182819709141,,0.5,,72.05341491297169,4.794626437646344
2022-01-20_tttr2xfcs_with_weights_CH2_BIN1_20 nM AF48822_T254s_1_correlation-CH2_2,Not known,20 nM AF48822_T254s_1,,24 January 2022 22:34:07,Equation 1A,1,Triplet Eq 2A,1,3D,0.001018,100.66329,0.14869702972015963,,0.09610596883249108,,10.405180990818174,33.155463091086666,1,,0.038902353729635644,,0.7379841312574247,,73.93694490243975,4.66621732443108
2022-01-20_tttr2xfcs_with_weights_CH2_BIN1_20 nM AF48826_T302s_1_correlation-CH2_2,Not known,20 nM AF48826_T302s_1,,24 January 2022 22:34:07,Equation 1A,1,Triplet Eq 2A,1,3D,0.001018,100.66329,0.23439382869644634,,0.12667961464202204,,7.893929917815529,43.91344088703714,1,,0.058612096301103964,,0.5880809303157933,,70.72147178942751,4.9018630135972705
2022-01-20_tttr2xfcs_with_weights_CH2_BIN1_20 nM AF48827_T314s_1_correlation-CH2_2,Not known,20 nM AF48827_T314s_1,,24 January 2022 22:34:07,Equation 1A,1,Triplet Eq 2A,1,3D,0.001018,100.66329,0.15997651126624418,,0.13145810502820143,,7.606986269773721,45.50173396632968,1,,0.04990551474562006,,0.5194992959635998,,72.15174031325756,4.7975056472239
2022-01-20_tttr2xfcs_with_weights_CH2_BIN1_20 nM AF48839_T459s_1_correlation-CH2_2,Not known,20 nM AF48839_T459s_1,,24 January 2022 22:34:08,Equation 1A,1,Triplet Eq 2A,1,3D,0.001018,100.66329,0.18391000177118172,,0.14439219490096128,,6.92558209732805,47.845939277521104,1,,0.07497393487686253,,0.5344177784156191,,69.52530622418314,4.766286919876197
2022-01-20_tttr2xfcs_with_weights_CH2_BIN1_20 nM AF48850_T592s_1_correlation-CH2_2,Not known,20 nM AF48850_T592s_1,,24 January 2022 22:34:08,Equation 1A,1,Triplet Eq 2A,1,3D,0.001018,100.66329,0.16242843899544032,,0.09411629982250115,,10.625152092527568,32.70600270945361,1,,0.03945652510626154,,0.7780411206245302,,76.74830707804418,4.5280951623794
2022-01-20_tttr2xfcs_with_weights_CH2_BIN1_20 nM AF48851_T604s_1_correlation-CH2_2,Not known,20 nM AF48851_T604s_1,,24 January 2022 22:34:08,Equation 1A,1,Triplet Eq 2A,1,3D,0.001018,100.66329,0.20821611942483784,,0.14522368566382013,,6.885929078503838,50.575779483772614,1,,0.05836268919899756,,0.5,,72.33574215478897,4.814751917717552
2022-01-20_tttr2xfcs_with_weights_CH2_BIN1_20 nM AF48857_T676s_1_correlation-CH2_2,Not known,20 nM AF48857_T676s_1,,24 January 2022 22:34:08,Equation 1A,1,Triplet Eq 2A,1,3D,0.001018,100.66329,0.0933743921247352,,0.1072876909911334,,9.320733727810799,37.22733657970198,1,,0.04168269179111069,,0.631243663046773,,70.88326555104229,4.89542135998355
2022-01-20_tttr2xfcs_with_weights_CH2_BIN1_20 nM AF48870_T833s_1_correlation-CH2_2,Not known,20 nM AF48870_T833s_1,,24 January 2022 22:34:08,Equation 1A,1,Triplet Eq 2A,1,3D,0.001018,100.66329,0.15202683467928102,,0.10704052031333416,,9.342256531197268,37.005134099390744,1,,0.04645283989542551,,0.6816155541874336,,71.28949368288083,4.849645199485672
2022-01-20_tttr2xfcs_with_weights_CH2_BIN1_20 nM AF48883_T986s_1_correlation-CH2_2,Not known,20 nM AF48883_T986s_1,,24 January 2022 22:34:08,Equation 1A,1,Triplet Eq 2A,1,3D,0.001018,100.66329,0.17518339461993152,,0.12236898928500618,,8.172005063071397,42.56081597079673,1,,0.05755782402137659,,0.5941758871143857,,73.42655400068263,4.737041091819574
