name_of_plot,master_file,parent_name,parent_uqid,time of fit,Diff_eq,Diff_species,Triplet_eq,Triplet_species,Dimen,xmin,xmax,offset,stdev(offset),GN0,stdev(GN0),N (FCS),cpm (kHz),A1,stdev(A1),txy1,stdev(txy1),AR1,stdev(AR1),alpha1,stdev(alpha1),N (mom),bri (kHz)
2022-01-20_tttr2xfcs_with_weights_CH2_BIN1_20 nM AF48816_T182s_1_correlation-CH2_2,Not known,20 nM AF48816_T182s_1,,13 February 2022 18:31:57,Equation 1B,1,Triplet Eq 2A,1,,0.001018,100.66329,0.3286102891699888,,0.11793683830894511,,8.479114874865637,40.74150793580983,1,,0.10517165309902392,,5,,1,,72.05341491297169,4.794626437646344
2022-01-20_tttr2xfcs_with_weights_CH2_BIN1_20 nM AF48822_T254s_1_correlation-CH2_2,Not known,20 nM AF48822_T254s_1,,13 February 2022 18:31:57,Equation 1B,1,Triplet Eq 2A,1,,0.001018,100.66329,0.15159680588396393,,0.08464579553409755,,11.813935868759998,29.201834014472173,1,,0.04995643121300113,,5,,1,,73.93694490243975,4.66621732443108
2022-01-20_tttr2xfcs_with_weights_CH2_BIN1_20 nM AF48826_T302s_1_correlation-CH2_2,Not known,20 nM AF48826_T302s_1,,13 February 2022 18:31:57,Equation 1B,1,Triplet Eq 2A,1,,0.001018,100.66329,0.24233908962048248,,0.10121736193319865,,9.879727952799039,35.08696053864484,1,,0.08230922140728456,,5,,1,,70.72147178942751,4.9018630135972705
2022-01-20_tttr2xfcs_with_weights_CH2_BIN1_20 nM AF48827_T314s_1_correlation-CH2_2,Not known,20 nM AF48827_T314s_1,,13 February 2022 18:31:57,Equation 1B,1,Triplet Eq 2A,1,,0.001018,100.66329,0.17003411023522824,,0.09747670743080657,,10.258861079297798,33.739716607650806,1,,0.08270949053857274,,5,,1,,72.15174031325756,4.7975056472239
2022-01-20_tttr2xfcs_with_weights_CH2_BIN1_20 nM AF48839_T459s_1_correlation-CH2_2,Not known,20 nM AF48839_T459s_1,,13 February 2022 18:31:57,Equation 1B,1,Triplet Eq 2A,1,,0.001018,100.66329,0.19559199864755358,,0.11021476599115781,,9.073194421881972,36.52087292333298,1,,0.10759165825419166,,5,,1,,69.52530622418314,4.766286919876197
2022-01-20_tttr2xfcs_with_weights_CH2_BIN1_20 nM AF48850_T592s_1_correlation-CH2_2,Not known,20 nM AF48850_T592s_1,,13 February 2022 18:31:57,Equation 1B,1,Triplet Eq 2A,1,,0.001018,100.66329,0.16478239458801427,,0.08482571719763358,,11.78887763094442,29.477467152123133,1,,0.04880276691423654,,5,,1,,76.74830707804418,4.5280951623794
2022-01-20_tttr2xfcs_with_weights_CH2_BIN1_20 nM AF48851_T604s_1_correlation-CH2_2,Not known,20 nM AF48851_T604s_1,,13 February 2022 18:31:57,Equation 1B,1,Triplet Eq 2A,1,,0.001018,100.66329,0.2206343428289832,,0.10577525355560054,,9.454007117783481,36.837419971919644,1,,0.0960472973433993,,5,,1,,72.33574215478897,4.814751917717552
2022-01-20_tttr2xfcs_with_weights_CH2_BIN1_20 nM AF48857_T676s_1_correlation-CH2_2,Not known,20 nM AF48857_T676s_1,,13 February 2022 18:31:57,Equation 1B,1,Triplet Eq 2A,1,,0.001018,100.66329,0.09840424097486787,,0.08770985248622623,,11.401227703091143,30.43409891383161,1,,0.06162402045886724,,5,,1,,70.88326555104229,4.89542135998355
2022-01-20_tttr2xfcs_with_weights_CH2_BIN1_20 nM AF48870_T833s_1_correlation-CH2_2,Not known,20 nM AF48870_T833s_1,,13 February 2022 18:31:57,Equation 1B,1,Triplet Eq 2A,1,,0.001018,100.66329,0.15626277738295066,,0.09119485551705589,,10.965530833183601,31.527106255693617,1,,0.06282707553720032,,5,,1,,71.28949368288083,4.849645199485672
2022-01-20_tttr2xfcs_with_weights_CH2_BIN1_20 nM AF48883_T986s_1_correlation-CH2_2,Not known,20 nM AF48890_T1070s_1,,13 February 2022 18:31:57,Equation 1B,1,Triplet Eq 2A,1,,0.001018,100.66329,0.16395212117437608,,0.08622456248559154,,11.597623358971568,29.978179757834454,1,,0.05377521872288998,,5,,1,,73.22438511168828,4.7483229888077565
2022-01-20_tttr2xfcs_with_weights_CH2_BIN1_20 nM AF48890_T1070s_1_correlation-CH2_2,Not known,20 nM AF48883_T986s_1,,13 February 2022 18:31:57,Equation 1B,1,Triplet Eq 2A,1,,0.001018,100.66329,0.18240864960202235,,0.09797133679467845,,10.207067012831832,34.07513668368734,1,,0.08393342465824895,,5,,1,,73.42655400068263,4.737041091819574
2022-01-20_tttr2xfcs_with_weights_CH2_BIN1_20 nM AF48891_T1082s_1_correlation-CH2_2,Not known,20 nM AF48891_T1082s_1,,13 February 2022 18:31:57,Equation 1B,1,Triplet Eq 2A,1,,0.001018,100.66329,0.19765602655843978,,0.09488510348667281,,10.539062120962496,33.133526887037995,1,,0.07759919671321046,,5,,1,,74.98321428554854,4.657225899149918
2022-01-20_tttr2xfcs_with_weights_CH2_BIN1_20 nM AF488102_T1214s_1_correlation-CH2_2,Not known,20 nM AF488102_T1214s_1,,13 February 2022 18:31:57,Equation 1B,1,Triplet Eq 2A,1,,0.001018,100.66329,0.1932480477516441,,0.0996003122904434,,10.040129162285263,34.78443498734467,1,,0.10172138991885014,,5,,1,,75.08665227595671,4.65139517003459
2022-01-20_tttr2xfcs_with_weights_CH2_BIN1_20 nM AF488104_T1238s_1_correlation-CH2_2,Not known,20 nM AF488104_T1238s_1,,13 February 2022 18:31:57,Equation 1B,1,Triplet Eq 2A,1,,0.001018,100.66329,0.17483836567937439,,0.09121278376276655,,10.963375513249101,31.8995151410212,1,,0.07032296487084261,,5,,1,,73.62986946939256,4.750026879619874
