name_of_plot,master_file,parent_name,parent_uqid,time of fit,Diff_eq,Diff_species,Triplet_eq,Triplet_species,Dimen,xmin,xmax,offset,stdev(offset),GN0,stdev(GN0),N (FCS),cpm (kHz),A1,stdev(A1),txy1,stdev(txy1),AR1,stdev(AR1),alpha1,stdev(alpha1),N (mom),bri (kHz)
2022-01-20_tttr2xfcs_with_weights_CH2_BIN1_20 nM AF48816_T182s_1_correlation-CH2_2,Not known,20 nM AF48816_T182s_1,,13 February 2022 18:33:27,Equation 1B,1,Triplet Eq 2A,1,,0.001018,100.66329,0.32117944671349336,,0.15243304068960412,,6.560257510287923,52.65828748661727,1,,0.0670676651742354,,5,,0.5,,72.05341491297169,4.794626437646344
2022-01-20_tttr2xfcs_with_weights_CH2_BIN1_20 nM AF48822_T254s_1_correlation-CH2_2,Not known,20 nM AF48822_T254s_1,,13 February 2022 18:33:27,Equation 1B,1,Triplet Eq 2A,1,,0.001018,100.66329,0.14974395803411167,,0.09602014085539025,,10.414481702396538,33.12585341791529,1,,0.03928318769672717,,5,,0.7022881725639628,,73.93694490243975,4.66621732443108
2022-01-20_tttr2xfcs_with_weights_CH2_BIN1_20 nM AF48826_T302s_1_correlation-CH2_2,Not known,20 nM AF48826_T302s_1,,13 February 2022 18:33:27,Equation 1B,1,Triplet Eq 2A,1,,0.001018,100.66329,0.2375018052366498,,0.12470226453838502,,8.019100564867342,43.227993215488596,1,,0.057550922792993904,,5,,0.5587612145173302,,70.72147178942751,4.9018630135972705
2022-01-20_tttr2xfcs_with_weights_CH2_BIN1_20 nM AF48827_T314s_1_correlation-CH2_2,Not known,20 nM AF48827_T314s_1,,13 February 2022 18:33:27,Equation 1B,1,Triplet Eq 2A,1,,0.001018,100.66329,0.16454794683875557,,0.12702110303662414,,7.87270757451751,43.965949739214025,1,,0.049049092731948137,,5,,0.5,,72.15174031325756,4.7975056472239
2022-01-20_tttr2xfcs_with_weights_CH2_BIN1_20 nM AF48839_T459s_1_correlation-CH2_2,Not known,20 nM AF48839_T459s_1,,13 February 2022 18:33:27,Equation 1B,1,Triplet Eq 2A,1,,0.001018,100.66329,0.18864850372406466,,0.14172256665767569,,7.056039299764121,46.96132864528154,1,,0.07006949474708964,,5,,0.5008959602205122,,69.52530622418314,4.766286919876197
2022-01-20_tttr2xfcs_with_weights_CH2_BIN1_20 nM AF48850_T592s_1_correlation-CH2_2,Not known,20 nM AF48850_T592s_1,,13 February 2022 18:33:27,Equation 1B,1,Triplet Eq 2A,1,,0.001018,100.66329,0.16323076004570317,,0.0944595568498235,,10.586541302431153,32.825286672877766,1,,0.03975069370902334,,5,,0.7359950566706102,,76.74830707804418,4.5280951623794
2022-01-20_tttr2xfcs_with_weights_CH2_BIN1_20 nM AF48851_T604s_1_correlation-CH2_2,Not known,20 nM AF48851_T604s_1,,13 February 2022 18:33:27,Equation 1B,1,Triplet Eq 2A,1,,0.001018,100.66329,0.2141866323451658,,0.13705784636825932,,7.296189357252194,47.73193424169377,1,,0.06004765310618928,,5,,0.5,,72.33574215478897,4.814751917717552
2022-01-20_tttr2xfcs_with_weights_CH2_BIN1_20 nM AF48857_T676s_1_correlation-CH2_2,Not known,20 nM AF48857_T676s_1,,13 February 2022 18:33:27,Equation 1B,1,Triplet Eq 2A,1,,0.001018,100.66329,0.095179537738338,,0.10825771985769093,,9.2372165358234,37.563923104901306,1,,0.03937749365472048,,5,,0.5779456607045341,,70.88326555104229,4.89542135998355
2022-01-20_tttr2xfcs_with_weights_CH2_BIN1_20 nM AF48870_T833s_1_correlation-CH2_2,Not known,20 nM AF48870_T833s_1,,13 February 2022 18:33:27,Equation 1B,1,Triplet Eq 2A,1,,0.001018,100.66329,0.1534154626260652,,0.10790789361043061,,9.267162637890078,37.304994984589435,1,,0.04513748529384279,,5,,0.6295154714417232,,71.28949368288083,4.849645199485672
2022-01-20_tttr2xfcs_with_weights_CH2_BIN1_20 nM AF48883_T986s_1_correlation-CH2_2,Not known,20 nM AF48890_T1070s_1,,13 February 2022 18:33:27,Equation 1B,1,Triplet Eq 2A,1,,0.001018,100.66329,0.16192615744758845,,0.09944508790680805,,10.05580085501176,34.57463436595701,1,,0.04006007613936487,,5,,0.6768664896627788,,73.22438511168828,4.7483229888077565
