name_of_plot,master_file,parent_name,parent_uqid,time of fit,Diff_eq,Diff_species,Triplet_eq,Triplet_species,Dimen,xmin,xmax,offset,stdev(offset),GN0,stdev(GN0),N (FCS),cpm (kHz),A1,stdev(A1),txy1,stdev(txy1),AR1,stdev(AR1),alpha1,stdev(alpha1),N (mom),bri (kHz)
2022-01-20_tttr2xfcs_with_weights_CH2_BIN1_DiO LUV 10uM in 20 nM AF48823_T268s_1_correlation-CH2_2,Not known,DiO LUV 10uM in 20 nM AF48823_T268s_1,,13 February 2022 18:38:03,Equation 1B,1,Triplet Eq 2A,1,,0.001018,939.52409,0.019455392883968307,,0.2365076552046846,,4.228192948488513,123.19188314403941,1,,2.2486845151308477,,5,,1,,5.6274301650513205,92.56536145633959
2022-01-20_tttr2xfcs_with_weights_CH2_BIN1_DiO LUV 10uM in 20 nM AF48823_T287s_1_correlation-CH2_2,Not known,DiO LUV 10uM in 20 nM AF48823_T287s_1,,13 February 2022 18:38:04,Equation 1B,1,Triplet Eq 2A,1,,0.001018,939.52409,0.02620658443242932,,0.18192594999627962,,5.496741943743869,101.70905476238585,1,,2.1706851443852555,,5,,1,,2.845674811503627,196.4723415046846
2022-01-20_tttr2xfcs_with_weights_CH2_BIN1_DiO LUV 10uM in 20 nM AF48829_T342s_1_correlation-CH2_2,Not known,DiO LUV 10uM in 20 nM AF48829_T342s_1,,13 February 2022 18:38:04,Equation 1B,1,Triplet Eq 2A,1,,0.001018,939.52409,0.04079096005879419,,0.1584923607783496,,6.309452361546262,77.89125780034396,1,,1.5476321336885221,,5,,1,,5.656176065177315,86.89187861736673
2022-01-20_tttr2xfcs_with_weights_CH2_BIN1_DiO LUV 10uM in 20 nM AF48832_T378s_1_correlation-CH2_2,Not known,DiO LUV 10uM in 20 nM AF48832_T378s_1,,13 February 2022 18:38:04,Equation 1B,1,Triplet Eq 2A,1,,0.001018,939.52409,0.0069268997668273085,,0.13698361964072875,,7.300142912143302,69.31221811807063,1,,1.2115002324119177,,5,,1,,6.063669973321157,83.45018871859035
2022-01-20_tttr2xfcs_with_weights_CH2_BIN1_DiO LUV 10uM in 20 nM AF48846_T584s_1_correlation-CH2_2,Not known,DiO LUV 10uM in 20 nM AF48846_T584s_1,,13 February 2022 18:38:04,Equation 1B,1,Triplet Eq 2A,1,,0.001018,939.52409,0.062169782904366075,,0.4446699992920983,,2.2488587077877322,258.8814375460516,1,,17.514930332498256,,5,,1,,4.391758677586067,132.5703300992708
2022-01-20_tttr2xfcs_with_weights_CH2_BIN1_DiO LUV 10uM in 20 nM AF48848_T610s_1_correlation-CH2_2,Not known,DiO LUV 10uM in 20 nM AF48848_T610s_1,,13 February 2022 18:38:04,Equation 1B,1,Triplet Eq 2A,1,,0.001018,939.52409,0.015794951228667375,,0.14195027359286222,,7.044720483372733,79.00398968608965,1,,2.459224449242673,,5,,1,,2.0055341794701635,277.5264917879828
2022-01-20_tttr2xfcs_with_weights_CH2_BIN1_DiO LUV 10uM in 20 nM AF48851_T607s_1_correlation-CH2_2,Not known,DiO LUV 10uM in 20 nM AF48851_T607s_1,,13 February 2022 18:38:04,Equation 1B,1,Triplet Eq 2A,1,,0.001018,939.52409,0.021551572242503456,,0.18144716440958922,,5.511246225610079,100.01681368423122,1,,3.967621111315882,,5,,1,,3.1624814666468555,174.3076966618758
2022-01-20_tttr2xfcs_with_weights_CH2_BIN1_DiO LUV 10uM in 20 nM AF48869_T823s_1_correlation-CH2_2,Not known,DiO LUV 10uM in 20 nM AF48869_T823s_1,,13 February 2022 18:38:04,Equation 1B,1,Triplet Eq 2A,1,,0.001018,939.52409,0.03431247848311185,,0.3271891357890759,,3.056336200125713,170.16875256142447,1,,8.483527571580499,,5,,1,,9.72720758901272,53.47052840939971
2022-01-20_tttr2xfcs_with_weights_CH2_BIN1_DiO LUV 10uM in 20 nM AF48869_T825s_1_correlation-CH2_2,Not known,DiO LUV 10uM in 20 nM AF48869_T825s_1,,13 February 2022 18:38:04,Equation 1B,1,Triplet Eq 2A,1,,0.001018,939.52409,0.04973197209127398,,0.17566815003148642,,5.692551551438106,85.67166616651109,1,,4.411653969470488,,5,,1,,12.39908359867203,39.33474339180007
2022-01-20_tttr2xfcs_with_weights_CH2_BIN1_DiO LUV 10uM in 20 nM AF48878_T934s_1_correlation-CH2_2,Not known,DiO LUV 10uM in 20 nM AF48878_T934s_1,,13 February 2022 18:38:04,Equation 1B,1,Triplet Eq 2A,1,,0.001018,939.52409,0.015690711668110036,,0.1897548922949257,,5.269956352143767,100.56346914581543,1,,3.7395479154276425,,5,,1,,7.096885926984294,74.6794584768937
