name_of_plot,master_file,parent_name,parent_uqid,time of fit,Diff_eq,Diff_species,Triplet_eq,Triplet_species,Dimen,xmin,xmax,offset,stdev(offset),GN0,stdev(GN0),N (FCS),cpm (kHz),A1,stdev(A1),txy1,stdev(txy1),AR1,stdev(AR1),alpha1,stdev(alpha1),N (mom),bri (kHz)
2022-01-25_tttr2xfcs_with_weights_CH2_BIN1_weight0-CH2_2,Not known,weight0.2_DiO LUV 10uM in 20 nM AF4884_T39s_1,,13 February 2022 18:50:26,Equation 1B,1,Triplet Eq 2A,1,,0.001018,939.52409,0.023090597107625708,,0.12913869081638724,,7.743612651469621,67.44880490225229,1,,3.1631447762178766,,5,,1,,6.470131337926487,80.72843012224067
2022-01-25_tttr2xfcs_with_weights_CH2_BIN1_weight0-CH2_2,Not known,weight0.2_DiO LUV 10uM in 20 nM AF4889_T106s_1,,13 February 2022 18:50:26,Equation 1B,1,Triplet Eq 2A,1,,0.001018,939.52409,0.019800227586154514,,0.0904122282931647,,11.060450769529385,52.341950820212745,1,,0.9223888522147067,,5,,1,,2.5795615291824543,224.43912385442556
2022-01-25_tttr2xfcs_with_weights_CH2_BIN1_weight0-CH2_2,Not known,weight0.2_DiO LUV 10uM in 20 nM AF48823_T268s_1,,13 February 2022 18:50:26,Equation 1B,1,Triplet Eq 2A,1,,0.001018,939.52409,0.011762965016105872,,0.11751459916686495,,8.50958099750695,61.21089296561724,1,,0.8439059827005403,,5,,1,,5.6274301650513205,92.56536145633959
2022-01-25_tttr2xfcs_with_weights_CH2_BIN1_weight0-CH2_2,Not known,weight0.2_DiO LUV 10uM in 20 nM AF48823_T287s_1,,13 February 2022 18:50:26,Equation 1B,1,Triplet Eq 2A,1,,0.001018,939.52409,0.01424511134779915,,0.0933989915487652,,10.70675371776239,52.21642732320066,1,,0.668057413233069,,5,,1,,2.845674811503627,196.4723415046846
2022-01-25_tttr2xfcs_with_weights_CH2_BIN1_weight0-CH2_2,Not known,weight0.2_DiO LUV 10uM in 20 nM AF48825_T292s_1,,13 February 2022 18:50:26,Equation 1B,1,Triplet Eq 2A,1,,0.001018,939.52409,0.018836492452419983,,0.12809174152338754,,7.806904552214365,69.11752717944766,1,,1.6161286521945455,,5,,1,,5.344055959419828,100.97591296121487
2022-01-25_tttr2xfcs_with_weights_CH2_BIN1_weight0-CH2_2,Not known,weight0.2_DiO LUV 10uM in 20 nM AF48829_T341s_1,,13 February 2022 18:50:26,Equation 1B,1,Triplet Eq 2A,1,,0.001018,939.52409,0.029612677261271737,,0.1344908173377301,,7.435451875415583,75.9883477895085,1,,2.4532032317414774,,5,,1,,4.773809488683417,118.36164964777767
2022-01-25_tttr2xfcs_with_weights_CH2_BIN1_weight0-CH2_2,Not known,weight0.2_DiO LUV 10uM in 20 nM AF48829_T342s_1,,13 February 2022 18:50:26,Equation 1B,1,Triplet Eq 2A,1,,0.001018,939.52409,0.02446646700188054,,0.08741076438674596,,11.440238590930678,42.958123343842665,1,,0.39880205006669683,,5,,1,,5.656176065177315,86.89187861736673
2022-01-25_tttr2xfcs_with_weights_CH2_BIN1_weight0-CH2_2,Not known,weight0.2_DiO LUV 10uM in 20 nM AF48832_T378s_1,,13 February 2022 18:50:26,Equation 1B,1,Triplet Eq 2A,1,,0.001018,939.52409,0.004631488290992467,,0.0815021321292236,,12.269617663676282,41.23919030643674,1,,0.4742984853514296,,5,,1,,6.063669973321157,83.45018871859035
2022-01-25_tttr2xfcs_with_weights_CH2_BIN1_weight0-CH2_2,Not known,weight0.2_DiO LUV 10uM in 20 nM AF48840_T474s_1,,13 February 2022 18:50:26,Equation 1B,1,Triplet Eq 2A,1,,0.001018,939.52409,0.01574809346648765,,0.080228399080247,,12.464414240645239,39.775155096111206,1,,0.4582169568101885,,5,,1,,11.941273698278206,41.519759281268925
2022-01-25_tttr2xfcs_with_weights_CH2_BIN1_weight0-CH2_2,Not known,weight0.2_DiO LUV 10uM in 20 nM AF48843_T546s_1,,13 February 2022 18:50:26,Equation 1B,1,Triplet Eq 2A,1,,0.001018,939.52409,0.028097687724062678,,0.1140028610750287,,8.771709679653302,57.46438683951125,1,,1.801694025630644,,5,,1,,9.050174678769475,55.69904980155478
2022-01-25_tttr2xfcs_with_weights_CH2_BIN1_weight0-CH2_2,Not known,weight0.2_DiO LUV 10uM in 20 nM AF48844_T521s_1,,13 February 2022 18:50:26,Equation 1B,1,Triplet Eq 2A,1,,0.001018,939.52409,0.034562513317397695,,0.11327062153711012,,8.82841452116846,58.64773401397939,1,,1.5101038180532147,,5,,1,,8.75829633228027,59.12022006774829
2022-01-25_tttr2xfcs_with_weights_CH2_BIN1_weight0-CH2_2,Not known,weight0.2_DiO LUV 10uM in 20 nM AF48846_T584s_1,,13 February 2022 18:50:26,Equation 1B,1,Triplet Eq 2A,1,,0.001018,939.52409,0.02730531078328461,,0.15457497679590423,,6.469352418667139,89.99166182849419,1,,3.8943118797112,,5,,1,,4.391758677586067,132.5703300992708
2022-01-25_tttr2xfcs_with_weights_CH2_BIN1_weight0-CH2_2,Not known,weight0.2_DiO LUV 10uM in 20 nM AF48848_T610s_1,,13 February 2022 18:50:26,Equation 1B,1,Triplet Eq 2A,1,,0.001018,939.52409,0.008987900623543635,,0.07776653508865038,,12.859001611169184,43.281822433737105,1,,0.5551372512159076,,5,,1,,2.0055341794701635,277.5264917879828
2022-01-25_tttr2xfcs_with_weights_CH2_BIN1_weight0-CH2_2,Not known,weight0.2_DiO LUV 10uM in 20 nM AF48851_T607s_1,,13 February 2022 18:50:26,Equation 1B,1,Triplet Eq 2A,1,,0.001018,939.52409,0.015212215257234962,,0.08805428086550152,,11.356631275286317,48.53704179991253,1,,0.6858300518701937,,5,,1,,3.1624814666468555,174.3076966618758
2022-01-25_tttr2xfcs_with_weights_CH2_BIN1_weight0-CH2_2,Not known,weight0.2_DiO LUV 10uM in 20 nM AF48861_T728s_1,,13 February 2022 18:50:27,Equation 1B,1,Triplet Eq 2A,1,,0.001018,939.52409,0.016708420116830307,,0.10131234015012078,,9.87046591282205,48.56732773256547,1,,0.950735937300296,,5,,1,,13.21044782913605,36.289922867141335
2022-01-25_tttr2xfcs_with_weights_CH2_BIN1_weight0-CH2_2,Not known,weight0.2_DiO LUV 10uM in 20 nM AF48866_T787s_1,,13 February 2022 18:50:27,Equation 1B,1,Triplet Eq 2A,1,,0.001018,939.52409,0.00619849581774295,,0.06731033480157407,,14.85655958996381,33.71261381236321,1,,0.2926177988799094,,5,,1,,3.8125954792865855,131.37467906019282
2022-01-25_tttr2xfcs_with_weights_CH2_BIN1_weight0-CH2_2,Not known,weight0.2_DiO LUV 10uM in 20 nM AF48869_T823s_1,,13 February 2022 18:50:27,Equation 1B,1,Triplet Eq 2A,1,,0.001018,939.52409,0.0238022411304072,,0.14408876353261793,,6.9401664327116395,74.93954556079827,1,,2.8734586287395163,,5,,1,,9.72720758901272,53.47052840939971
