name_of_plot,master_file,parent_name,parent_uqid,time of fit,Diff_eq,Diff_species,Triplet_eq,Triplet_species,Dimen,xmin,xmax,offset,stdev(offset),GN0,stdev(GN0),N (FCS),cpm (kHz),A1,stdev(A1),txy1,stdev(txy1),AR1,stdev(AR1),alpha1,stdev(alpha1),N (mom),bri (kHz)
2022-01-25_tttr2xfcs_with_weights_CH2_BIN1_weight0-CH2_2,Not known,weight0.6_DiO LUV 10uM in 20 nM AF4884_T39s_1,,13 February 2022 18:56:43,Equation 1B,1,Triplet Eq 2A,1,,0.001018,939.52409,0.0025214030621440024,,0.08470731808653,,11.805355459117271,44.242413604261024,1,,0.48552782354799506,,5,,0.5,,6.470131337926487,80.72843012224067
2022-01-25_tttr2xfcs_with_weights_CH2_BIN1_weight0-CH2_2,Not known,weight0.6_DiO LUV 10uM in 20 nM AF4889_T106s_1,,13 February 2022 18:56:43,Equation 1B,1,Triplet Eq 2A,1,,0.001018,939.52409,0.016312391532025003,,0.1498281201029602,,6.674314536635788,86.73932986680917,1,,4.0175597888714485,,5,,0.618347556742096,,2.5795615291824543,224.43912385442556
2022-01-25_tttr2xfcs_with_weights_CH2_BIN1_weight0-CH2_2,Not known,weight0.6_DiO LUV 10uM in 20 nM AF48823_T268s_1,,13 February 2022 18:56:43,Equation 1B,1,Triplet Eq 2A,1,,0.001018,939.52409,0.004208581833438791,,0.09178709511405587,,10.89477773272361,47.80997505402367,1,,0.7716313482041474,,5,,0.5,,5.6274301650513205,92.56536145633959
2022-01-25_tttr2xfcs_with_weights_CH2_BIN1_weight0-CH2_2,Not known,weight0.6_DiO LUV 10uM in 20 nM AF48823_T287s_1,,13 February 2022 18:56:43,Equation 1B,1,Triplet Eq 2A,1,,0.001018,939.52409,-0.0013407893639672563,,0.15467704987582115,,6.465083222125238,86.47505502445308,1,,2.4264046582347905,,5,,0.7618032409921315,,2.845674811503627,196.4723415046846
2022-01-25_tttr2xfcs_with_weights_CH2_BIN1_weight0-CH2_2,Not known,weight0.6_DiO LUV 10uM in 20 nM AF48825_T292s_1,,13 February 2022 18:56:43,Equation 1B,1,Triplet Eq 2A,1,,0.001018,939.52409,0.01004037553516443,,0.09278427783474683,,10.777688023622355,50.06583382190662,1,,0.6193356848190857,,5,,0.5,,5.344055959419828,100.97591296121487
2022-01-25_tttr2xfcs_with_weights_CH2_BIN1_weight0-CH2_2,Not known,weight0.6_DiO LUV 10uM in 20 nM AF48829_T341s_1,,13 February 2022 18:56:43,Equation 1B,1,Triplet Eq 2A,1,,0.001018,939.52409,0.0037955507481629916,,0.10216663307081063,,9.787931440462664,57.72493468288181,1,,1.3554420578155724,,5,,0.5,,4.773809488683417,118.36164964777767
2022-01-25_tttr2xfcs_with_weights_CH2_BIN1_weight0-CH2_2,Not known,weight0.6_DiO LUV 10uM in 20 nM AF48829_T342s_1,,13 February 2022 18:56:43,Equation 1B,1,Triplet Eq 2A,1,,0.001018,939.52409,0.005820719310926932,,0.09381990909749241,,10.658718491837973,46.107905077756094,1,,0.5421362801186388,,5,,0.5,,5.656176065177315,86.89187861736673
2022-01-25_tttr2xfcs_with_weights_CH2_BIN1_weight0-CH2_2,Not known,weight0.6_DiO LUV 10uM in 20 nM AF48832_T378s_1,,13 February 2022 18:56:43,Equation 1B,1,Triplet Eq 2A,1,,0.001018,939.52409,0.005253611864458196,,0.08468148323541932,,11.808957068216948,42.84790730431235,1,,0.7594664264507033,,5,,0.5,,6.063669973321157,83.45018871859035
2022-01-25_tttr2xfcs_with_weights_CH2_BIN1_weight0-CH2_2,Not known,weight0.6_DiO LUV 10uM in 20 nM AF48840_T474s_1,,13 February 2022 18:56:43,Equation 1B,1,Triplet Eq 2A,1,,0.001018,939.52409,0.005366166033677915,,0.06815231913681945,,14.673014985630147,33.7881485222616,1,,0.1171120878158195,,5,,0.5,,11.941273698278206,41.519759281268925
2022-01-25_tttr2xfcs_with_weights_CH2_BIN1_weight0-CH2_2,Not known,weight0.6_DiO LUV 10uM in 20 nM AF48843_T546s_1,,13 February 2022 18:56:43,Equation 1B,1,Triplet Eq 2A,1,,0.001018,939.52409,0.0018788040160135635,,0.07782999763761693,,12.848516386394932,39.23106007859584,1,,0.19905634514060372,,5,,0.5,,9.050174678769475,55.69904980155478
