name_of_plot,master_file,parent_name,parent_uqid,time of fit,Diff_eq,Diff_species,Triplet_eq,Triplet_species,Dimen,xmin,xmax,offset,stdev(offset),GN0,stdev(GN0),N (FCS),cpm (kHz),A1,stdev(A1),txy1,stdev(txy1),AR1,stdev(AR1),alpha1,stdev(alpha1),N (mom),bri (kHz)
2022-02-10_multipletau_CH2_BIN0dot001_us_20 nM AF48816_T182s_1_delete_and_shift_DELSHIFTBIN_correlation-CH2_2,Not known,multipletau,,11 February 2022 13:54:22,Equation 1B,1,Triplet Eq 2A,1,,0.001,98.304,0.001077272908407144,,0.06909972880140912,,14.471836826942909,0.023759578510181338,1,,0.04053979434228256,,5,,0.9744568893002057,,-12.672685144178589,-27.132747536689816
2022-02-10_multipletau_CH2_BIN0dot001_us_20 nM AF48822_T254s_1_delete_and_shift_DELSHIFTBIN_correlation-CH2_2,Not known,multipletau,,11 February 2022 13:54:22,Equation 1B,1,Triplet Eq 2A,1,,0.001,98.304,0.00037392636331161594,,0.06848949548933188,,14.600779183075788,0.02358851153282046,1,,0.04119320302155065,,5,,0.9727309250865702,,-12.143600857999923,-28.36149442876585
2022-02-10_multipletau_CH2_BIN0dot001_us_20 nM AF48826_T302s_1_delete_and_shift_DELSHIFTBIN_correlation-CH2_2,Not known,multipletau,,11 February 2022 13:54:22,Equation 1B,1,Triplet Eq 2A,1,,0.001,98.304,0.001077272908407144,,0.06909972880140912,,14.471836826942909,0.023862369987308195,1,,0.04053979434228256,,5,,0.9744568893002057,,-12.332157626642438,-28.00258940760771
2022-02-10_multipletau_CH2_BIN0dot001_us_20 nM AF48827_T314s_1_delete_and_shift_DELSHIFTBIN_correlation-CH2_2,Not known,multipletau,,11 February 2022 13:54:22,Equation 1B,1,Triplet Eq 2A,1,,0.001,98.304,0.001077272908407144,,0.06909972880140912,,14.471836826942909,0.023824970262466636,1,,0.04053979434228256,,5,,0.9744568893002057,,-12.394742616403153,-27.817528222632525
2022-02-10_multipletau_CH2_BIN0dot001_us_20 nM AF48834_T399s_1_delete_and_shift_DELSHIFTBIN_correlation-CH2_2,Not known,multipletau,,11 February 2022 13:54:22,Equation 1B,1,Triplet Eq 2A,1,,0.001,98.304,0.001077272908407144,,0.06909972880140912,,14.471836826942909,0.023807139759318915,1,,0.04053979434228256,,5,,0.9744568893002057,,-12.444685870669502,-27.685155546836977
2022-02-10_multipletau_CH2_BIN0dot001_us_20 nM AF48838_T447s_1_delete_and_shift_DELSHIFTBIN_correlation-CH2_2,Not known,multipletau,,11 February 2022 13:54:22,Equation 1B,1,Triplet Eq 2A,1,,0.001,98.304,0.0007234019889989671,,0.07275810123122436,,13.74417395558485,0.024022568312817027,1,,0.041155676646468166,,5,,0.9719632114391928,,-13.151718902019613,-25.104732076813885
2022-02-10_multipletau_CH2_BIN0dot001_us_20 nM AF48839_T459s_1_delete_and_shift_DELSHIFTBIN_correlation-CH2_2,Not known,multipletau,,11 February 2022 13:54:22,Equation 1B,1,Triplet Eq 2A,1,,0.001,98.304,0.0007155913414673128,,0.07201254729660508,,13.886468921606157,0.02373973091961131,1,,0.04079762533908457,,5,,0.9727362961442473,,-13.135232359267336,-25.0974666289366
2022-02-10_multipletau_CH2_BIN0dot001_us_20 nM AF48843_T506s_1_delete_and_shift_DELSHIFTBIN_correlation-CH2_2,Not known,multipletau,,11 February 2022 13:54:22,Equation 1B,1,Triplet Eq 2A,1,,0.001,98.304,0.0008253077703824273,,0.07021874441480813,,14.241211635637196,0.023361418274270088,1,,0.04163833852112978,,5,,0.9718129412763414,,-12.630808640039106,-26.339954417750004
2022-02-10_multipletau_CH2_BIN0dot001_us_20 nM AF48850_T592s_1_delete_and_shift_DELSHIFTBIN_correlation-CH2_2,Not known,multipletau,,11 February 2022 13:54:22,Equation 1B,1,Triplet Eq 2A,1,,0.001,98.304,0.00031582112713570885,,0.06828014702697004,,14.645545499558006,0.023687688829501435,1,,0.04049006198887499,,5,,0.9730976863580304,,-12.280935661340978,-28.248592322310948
2022-02-10_multipletau_CH2_BIN0dot001_us_20 nM AF48851_T604s_1_delete_and_shift_DELSHIFTBIN_correlation-CH2_2,Not known,multipletau,,11 February 2022 13:54:22,Equation 1B,1,Triplet Eq 2A,1,,0.001,98.304,0.0007572620859046294,,0.06886909614740111,,14.520300917841169,0.02386668774599927,1,,0.040912491184822486,,5,,0.9717786343556062,,-12.27193284871622,-28.23935836612549
2022-02-10_multipletau_CH2_BIN0dot001_us_20 nM AF48857_T676s_1_delete_and_shift_DELSHIFTBIN_correlation-CH2_2,Not known,multipletau,,11 February 2022 13:54:22,Equation 1B,1,Triplet Eq 2A,1,,0.001,98.304,0.001077272908407144,,0.06909972880140912,,14.471836826942909,0.02391342980856064,1,,0.04053979434228256,,5,,0.9744568893002057,,-12.464389759604959,-27.764798762025677
2022-02-10_multipletau_CH2_BIN0dot001_us_20 nM AF48859_T698s_1_delete_and_shift_DELSHIFTBIN_correlation-CH2_2,Not known,multipletau,,11 February 2022 13:54:22,Equation 1B,1,Triplet Eq 2A,1,,0.001,98.304,0.001077272908407144,,0.06909972880140912,,14.471836826942909,0.023327463486218225,1,,0.04053979434228256,,5,,0.9744568893002057,,-12.706664424751418,-26.56804757594692
2022-02-10_multipletau_CH2_BIN0dot001_us_20 nM AF48863_T748s_1_delete_and_shift_DELSHIFTBIN_correlation-CH2_2,Not known,multipletau,,11 February 2022 13:54:22,Equation 1B,1,Triplet Eq 2A,1,,0.001,98.304,0.0005266820925604128,,0.06871182906535796,,14.553534865864373,0.023794036016851504,1,,0.04047793948616872,,5,,0.9722740608047413,,-12.548978978117056,-27.594862836487696
2022-02-10_multipletau_CH2_BIN0dot001_us_20 nM AF48869_T821s_1_delete_and_shift_DELSHIFTBIN_correlation-CH2_2,Not known,multipletau,,11 February 2022 13:54:22,Equation 1B,1,Triplet Eq 2A,1,,0.001,98.304,0.0006304710817052804,,0.06857714612576804,,14.58211746178582,0.023742940814358918,1,,0.04129680171698326,,5,,0.9718592127416638,,-12.590222596691763,-27.499305066229994
2022-02-10_multipletau_CH2_BIN0dot001_us_20 nM AF48870_T833s_1_delete_and_shift_DELSHIFTBIN_correlation-CH2_2,Not known,multipletau,,11 February 2022 13:54:22,Equation 1B,1,Triplet Eq 2A,1,,0.001,98.304,0.001077272908407144,,0.06909972880140912,,14.471836826942909,0.02379863275305438,1,,0.04053979434228256,,5,,0.9744568893002057,,-12.724309592958504,-27.067083483613004
