name_of_plot,master_file,parent_name,parent_uqid,time of fit,Diff_eq,Diff_species,Triplet_eq,Triplet_species,Dimen,xmin,xmax,offset,stdev(offset),GN0,stdev(GN0),N (FCS),cpm (kHz),A1,stdev(A1),txy1,stdev(txy1),AR1,stdev(AR1),alpha1,stdev(alpha1),N (mom),bri (kHz)
2022-02-10_multipletau_CH2_BIN0dot001_us_20 nM AF48816_T182s_1_delete_DELBIN_correlation-CH2_2,Not known,multipletau,,11 February 2022 13:51:30,Equation 1B,1,Triplet Eq 2A,1,,0.001,98.304,0.28818504584978655,,0.10755409503445017,,9.297646915997895,0.028036332289031164,1,,0.15085049146983084,,5,,1,,4.6515265939372155,56.04008202473549
2022-02-10_multipletau_CH2_BIN0dot001_us_20 nM AF48822_T254s_1_delete_DELBIN_correlation-CH2_2,Not known,multipletau,,11 February 2022 13:51:31,Equation 1B,1,Triplet Eq 2A,1,,0.001,98.304,0.14004741793914954,,0.08104428959691345,,12.338932267451014,0.024332977591348216,1,,0.06262639157615474,,5,,1,,18.995273716339856,15.806193793024148
2022-02-10_multipletau_CH2_BIN0dot001_us_20 nM AF48826_T302s_1_delete_DELBIN_correlation-CH2_2,Not known,multipletau,,11 February 2022 13:51:31,Equation 1B,1,Triplet Eq 2A,1,,0.001,98.304,0.155664032591559,,0.0901201452496318,,11.096298138779195,0.026506489743831785,1,,0.1072906981328817,,5,,1,,12.674572939393103,23.205825553848992
2022-02-10_multipletau_CH2_BIN0dot001_us_20 nM AF48827_T314s_1_delete_DELBIN_correlation-CH2_2,Not known,multipletau,,11 February 2022 13:51:31,Equation 1B,1,Triplet Eq 2A,1,,0.001,98.304,0.16017285332198553,,0.09108682794401324,,10.978535783622332,0.026590540358548236,1,,0.11891376413094705,,5,,1,,11.654465120350915,25.048357905086
2022-02-10_multipletau_CH2_BIN0dot001_us_20 nM AF48834_T399s_1_delete_DELBIN_correlation-CH2_2,Not known,multipletau,,11 February 2022 13:51:31,Equation 1B,1,Triplet Eq 2A,1,,0.001,98.304,0.18696792389333,,0.09417666298170473,,10.618341830547399,0.02687673584364076,1,,0.10630425218571116,,5,,1,,9.070965785536272,31.46152134411611
2022-02-10_multipletau_CH2_BIN0dot001_us_20 nM AF48838_T447s_1_delete_DELBIN_correlation-CH2_2,Not known,multipletau,,11 February 2022 13:51:31,Equation 1B,1,Triplet Eq 2A,1,,0.001,98.304,0.28643844780368843,,0.09596447542409482,,10.420522756787971,0.02453428460327444,1,,0.05369346638605011,,5,,1,,5.174723052041819,49.405558796067695
2022-02-10_multipletau_CH2_BIN0dot001_us_20 nM AF48839_T459s_1_delete_DELBIN_correlation-CH2_2,Not known,multipletau,,11 February 2022 13:51:31,Equation 1B,1,Triplet Eq 2A,1,,0.001,98.304,0.19274347371757655,,0.1045813249930411,,9.561936608343226,0.028180669680566806,1,,0.14940512586025845,,5,,1,,7.676581464331594,35.101795219583494
2022-02-10_multipletau_CH2_BIN0dot001_us_20 nM AF48843_T506s_1_delete_DELBIN_correlation-CH2_2,Not known,multipletau,,11 February 2022 13:51:31,Equation 1B,1,Triplet Eq 2A,1,,0.001,98.304,0.2264168071067707,,0.09390564050353971,,10.648987586238823,0.025175371830632183,1,,0.08529335945585895,,5,,1,,7.006615661341807,38.26272902673987
2022-02-10_multipletau_CH2_BIN0dot001_us_20 nM AF48850_T592s_1_delete_DELBIN_correlation-CH2_2,Not known,multipletau,,11 February 2022 13:51:31,Equation 1B,1,Triplet Eq 2A,1,,0.001,98.304,0.13078128065408431,,0.08011408837914324,,12.482199076739892,0.02443299997330855,1,,0.06012703725650384,,5,,1,,22.272574899237714,13.692964858275877
2022-02-10_multipletau_CH2_BIN0dot001_us_20 nM AF48851_T604s_1_delete_DELBIN_correlation-CH2_2,Not known,multipletau,,11 February 2022 13:51:31,Equation 1B,1,Triplet Eq 2A,1,,0.001,98.304,0.1771355060937132,,0.09579297035624817,,10.439179370689326,0.02759617890610122,1,,0.1408687359608477,,5,,1,,9.529443547554594,30.230671394223865
2022-02-10_multipletau_CH2_BIN0dot001_us_20 nM AF48857_T676s_1_delete_DELBIN_correlation-CH2_2,Not known,multipletau,,11 February 2022 13:51:31,Equation 1B,1,Triplet Eq 2A,1,,0.001,98.304,0.09625810680832711,,0.0831871554948789,,12.021086597456277,0.025956773333622823,1,,0.08280096664488089,,5,,1,,49.70320584425004,6.277837220885855
2022-02-10_multipletau_CH2_BIN0dot001_us_20 nM AF48859_T698s_1_delete_DELBIN_correlation-CH2_2,Not known,multipletau,,11 February 2022 13:51:31,Equation 1B,1,Triplet Eq 2A,1,,0.001,98.304,0.10607012566599333,,0.0826660000664813,,12.096871739237223,0.024999816629651086,1,,0.07541080228481123,,5,,1,,35.15025527480834,8.603624320953909
2022-02-10_multipletau_CH2_BIN0dot001_us_20 nM AF48863_T748s_1_delete_DELBIN_correlation-CH2_2,Not known,multipletau,,11 February 2022 13:51:31,Equation 1B,1,Triplet Eq 2A,1,,0.001,98.304,0.17882444046199406,,0.09594892036170014,,10.42221211276046,0.027584076119825628,1,,0.1326683007724208,,5,,1,,9.212741466934029,31.205380903195277
2022-02-10_multipletau_CH2_BIN0dot001_us_20 nM AF48869_T821s_1_delete_DELBIN_correlation-CH2_2,Not known,multipletau,,11 February 2022 13:51:31,Equation 1B,1,Triplet Eq 2A,1,,0.001,98.304,0.12579103178321244,,0.08195405247942096,,12.201959143522581,0.0249717363574302,1,,0.07707104990707206,,5,,1,,21.735171981270884,14.018942324479351
