name_of_plot,master_file,parent_name,parent_uqid,time of fit,Diff_eq,Diff_species,Triplet_eq,Triplet_species,Dimen,xmin,xmax,offset,stdev(offset),GN0,stdev(GN0),N (FCS),cpm (kHz),A1,stdev(A1),txy1,stdev(txy1),AR1,stdev(AR1),alpha1,stdev(alpha1),N (mom),bri (kHz)
2022-02-10_multipletau_CH2_BIN0dot001_us_20 nM AF48816_T182s_1_NOCORR_correlation-CH2_2,Not known,multipletau,,11 February 2022 13:57:58,Equation 1B,1,Triplet Eq 2A,1,,0.001,98.304,0.0006027172709469904,,0.06809822291041319,,14.684671012862594,0.023524662259058665,1,,0.042069992525062994,,5,,1,,-12.473365586353983,-27.695167022294928
2022-02-10_multipletau_CH2_BIN0dot001_us_20 nM AF48822_T254s_1_NOCORR_correlation-CH2_2,Not known,multipletau,,11 February 2022 13:57:58,Equation 1B,1,Triplet Eq 2A,1,,0.001,98.304,0.0006027172709469904,,0.06809822291041319,,14.684671012862594,0.023493110195997324,1,,0.042069992525062994,,5,,1,,-12.22256717172596,-28.22554433190258
2022-02-10_multipletau_CH2_BIN0dot001_us_20 nM AF48826_T302s_1_NOCORR_correlation-CH2_2,Not known,multipletau,,11 February 2022 13:57:58,Equation 1B,1,Triplet Eq 2A,1,,0.001,98.304,0.0006479595912522918,,0.0679179502854715,,14.723648104761969,0.02354373198448635,1,,0.043961316936344724,,5,,0.9972723897273317,,-12.32578361661661,-28.12394351027178
2022-02-10_multipletau_CH2_BIN0dot001_us_20 nM AF48827_T314s_1_NOCORR_correlation-CH2_2,Not known,multipletau,,11 February 2022 13:57:58,Equation 1B,1,Triplet Eq 2A,1,,0.001,98.304,0.0004946143530172089,,0.06780357138830247,,14.748485655322293,0.023468922411560126,1,,0.04325164155669353,,5,,0.9971532027954088,,-12.25029916509764,-28.254908568612034
2022-02-10_multipletau_CH2_BIN0dot001_us_20 nM AF48834_T399s_1_NOCORR_correlation-CH2_2,Not known,multipletau,,11 February 2022 13:57:58,Equation 1B,1,Triplet Eq 2A,1,,0.001,98.304,0.0005067332891365385,,0.06860416461440823,,14.57637456298069,0.02376083791893824,1,,0.04250734776469424,,5,,0.9973388898443866,,-12.410355396474543,-27.90789463298642
2022-02-10_multipletau_CH2_BIN0dot001_us_20 nM AF48838_T447s_1_NOCORR_correlation-CH2_2,Not known,multipletau,,11 February 2022 13:57:58,Equation 1B,1,Triplet Eq 2A,1,,0.001,98.304,0.0005908385820206034,,0.07254380706454236,,13.784774200095374,0.024003537299040135,1,,0.041167031509876745,,5,,0.9729858793819557,,-13.103950353020851,-25.250657191859794
2022-02-10_multipletau_CH2_BIN0dot001_us_20 nM AF48839_T459s_1_NOCORR_correlation-CH2_2,Not known,multipletau,,11 February 2022 13:57:58,Equation 1B,1,Triplet Eq 2A,1,,0.001,98.304,0.00045950903626684097,,0.07177452865308102,,13.932519220480783,0.023783278188710122,1,,0.04283956825749702,,5,,0.9977695940256757,,-13.213080984267604,-25.07825369882499
2022-02-10_multipletau_CH2_BIN0dot001_us_20 nM AF48843_T506s_1_NOCORR_correlation-CH2_2,Not known,multipletau,,11 February 2022 13:57:58,Equation 1B,1,Triplet Eq 2A,1,,0.001,98.304,0.0006337523793421284,,0.06979659639538634,,14.327346198017494,0.02324789501954306,1,,0.04255970282757626,,5,,0.997284968999464,,-12.612228950842134,-26.40934114665623
2022-02-10_multipletau_CH2_BIN0dot001_us_20 nM AF48850_T592s_1_NOCORR_correlation-CH2_2,Not known,multipletau,,11 February 2022 13:57:58,Equation 1B,1,Triplet Eq 2A,1,,0.001,98.304,0.0006027172709469904,,0.06809822291041319,,14.684671012862594,0.02366455828817518,1,,0.042069992525062994,,5,,1,,-12.365031857847947,-28.103952703527444
2022-02-10_multipletau_CH2_BIN0dot001_us_20 nM AF48851_T604s_1_NOCORR_correlation-CH2_2,Not known,multipletau,,11 February 2022 13:57:58,Equation 1B,1,Triplet Eq 2A,1,,0.001,98.304,0.0004473598436931721,,0.06864194662834915,,14.56835141075384,0.023905328804619142,1,,0.041369525530157075,,5,,0.9729250084967757,,-12.126839143766098,-28.71822112162736
