name_of_plot,master_file,parent_name,parent_uqid,time of fit,Diff_eq,Diff_species,Triplet_eq,Triplet_species,Dimen,xmin,xmax,offset,stdev(offset),GN0,stdev(GN0),N (FCS),cpm (kHz),A1,stdev(A1),txy1,stdev(txy1),AR1,stdev(AR1),alpha1,stdev(alpha1),N (mom),bri (kHz)
2022-02-10_tttr2xfcs_CH2_BIN1dot0_us_20 nM AF48816_T182s_1_delete_correlation-CH2_2,Not known,tttr2xfcs,,11 February 2022 12:31:00,Equation 1B,1,Triplet Eq 2A,1,,0.001018,100.66329,0.29092915606037456,,0.11463014084035797,,8.723709075719192,39.59920292670948,1,,0.10547840499682241,,5,,1,,72.05341491297169,4.794626437646344
2022-02-10_tttr2xfcs_CH2_BIN1dot0_us_20 nM AF48822_T254s_1_delete_correlation-CH2_2,Not known,tttr2xfcs,,11 February 2022 12:31:00,Equation 1B,1,Triplet Eq 2A,1,,0.001018,100.66329,0.1419903317469747,,0.0839710919579457,,11.908860259919196,28.969068976168284,1,,0.05006171438794407,,5,,1,,73.93694490243975,4.66621732443108
2022-02-10_tttr2xfcs_CH2_BIN1dot0_us_20 nM AF48826_T302s_1_delete_correlation-CH2_2,Not known,tttr2xfcs,,11 February 2022 12:31:00,Equation 1B,1,Triplet Eq 2A,1,,0.001018,100.66329,0.1577947863616866,,0.09425360854060713,,10.609673364061935,32.67297803781687,1,,0.08192667907596683,,5,,1,,70.72147178942751,4.9018630135972705
2022-02-10_tttr2xfcs_CH2_BIN1dot0_us_20 nM AF48827_T314s_1_delete_correlation-CH2_2,Not known,tttr2xfcs,,11 February 2022 12:31:00,Equation 1B,1,Triplet Eq 2A,1,,0.001018,100.66329,0.16282034806755988,,0.09692813059703886,,10.316922381979271,33.549837123652196,1,,0.08297639777386669,,5,,1,,72.15174031325756,4.7975056472239
2022-02-10_tttr2xfcs_CH2_BIN1dot0_us_20 nM AF48834_T399s_1_delete_correlation-CH2_2,Not known,tttr2xfcs,,11 February 2022 12:31:00,Equation 1B,1,Triplet Eq 2A,1,,0.001018,100.66329,0.18936625141145796,,0.09875305000244289,,10.126269517501107,34.202810110686,1,,0.0800757825118553,,5,,1,,72.73057789048494,4.762291327200964
2022-02-10_tttr2xfcs_CH2_BIN1dot0_us_20 nM AF48838_T447s_1_delete_correlation-CH2_2,Not known,tttr2xfcs,,11 February 2022 12:31:00,Equation 1B,1,Triplet Eq 2A,1,,0.001018,100.66329,0.2880748259013815,,0.09981124811390177,,10.018910883258652,33.025879312264685,1,,0.04432332656216237,,5,,1,,69.30673222711836,4.77442644183336
2022-02-10_tttr2xfcs_CH2_BIN1dot0_us_20 nM AF48839_T459s_1_delete_correlation-CH2_2,Not known,tttr2xfcs,,11 February 2022 12:31:00,Equation 1B,1,Triplet Eq 2A,1,,0.001018,100.66329,0.19549428330262217,,0.11028177740045583,,9.067681203294304,36.543077889622005,1,,0.1079847814224645,,5,,1,,69.52530622418314,4.766286919876197
2022-02-10_tttr2xfcs_CH2_BIN1dot0_us_20 nM AF48843_T506s_1_delete_correlation-CH2_2,Not known,tttr2xfcs,,11 February 2022 12:31:00,Equation 1B,1,Triplet Eq 2A,1,,0.001018,100.66329,0.22865365980627766,,0.09865535501938245,,10.136297211677295,32.86018882086862,1,,0.06467573821092612,,5,,1,,70.55263741473568,4.721259413150774
2022-02-10_tttr2xfcs_CH2_BIN1dot0_us_20 nM AF48850_T592s_1_delete_correlation-CH2_2,Not known,tttr2xfcs,,11 February 2022 12:31:00,Equation 1B,1,Triplet Eq 2A,1,,0.001018,100.66329,0.13270385943628588,,0.08251123485170707,,12.119561679051893,28.67317006416263,1,,0.04887297605083007,,5,,1,,76.74830707804418,4.5280951623794
2022-02-10_tttr2xfcs_CH2_BIN1dot0_us_20 nM AF48851_T604s_1_delete_correlation-CH2_2,Not known,tttr2xfcs,,11 February 2022 12:31:00,Equation 1B,1,Triplet Eq 2A,1,,0.001018,100.66329,0.17981085530943278,,0.10235240107838302,,9.770166497942583,35.64537315598921,1,,0.09669071520907381,,5,,1,,72.33574215478897,4.814751917717552
