name_of_plot,master_file,parent_name,parent_uqid,time of fit,Diff_eq,Diff_species,Triplet_eq,Triplet_species,Dimen,xmin,xmax,offset,stdev(offset),GN0,stdev(GN0),N (FCS),cpm (kHz),A1,stdev(A1),txy1,stdev(txy1),AR1,stdev(AR1),alpha1,stdev(alpha1),N (mom),bri (kHz)
2022-02-10_multipletau_CH2_BIN0dot001_us_DiO LUV 10uM in 20 nM AF4884_T39s_1_delete_and_shift_DELSHIFTBIN_correlation-CH2_2,Not known,multipletau,,12 February 2022 21:00:32,Equation 1B,1,Triplet Eq 2A,1,,0.001,983.04,0.0034424598782202874,,0.04282526603768337,,23.350701408838113,0.019264112809451523,1,,0.07866270996257739,,5,,1,,-9.757375526069163,-46.10159507576318
2022-02-10_multipletau_CH2_BIN0dot001_us_DiO LUV 10uM in 20 nM AF4887_T75s_1_delete_and_shift_DELSHIFTBIN_correlation-CH2_2,Not known,multipletau,,12 February 2022 21:00:32,Equation 1B,1,Triplet Eq 2A,1,,0.001,983.04,0.003773991880996386,,0.041084549664669553,,24.3400501687851,0.01905407304106058,1,,0.08455932456490552,,5,,1,,-9.579283317814165,-48.41459483845126
2022-02-10_multipletau_CH2_BIN0dot001_us_DiO LUV 10uM in 20 nM AF4889_T106s_1_delete_and_shift_DELSHIFTBIN_correlation-CH2_2,Not known,multipletau,,12 February 2022 21:00:32,Equation 1B,1,Triplet Eq 2A,1,,0.001,983.04,0.010912762003796806,,0.03956095453673104,,25.277448729694655,0.019237294645238698,1,,0.17894033645486856,,5,,1,,-10.152038873783413,-47.898728893423254
2022-02-10_multipletau_CH2_BIN0dot001_us_DiO LUV 10uM in 20 nM AF48814_T159s_1_delete_and_shift_DELSHIFTBIN_correlation-CH2_2,Not known,multipletau,,12 February 2022 21:00:32,Equation 1B,1,Triplet Eq 2A,1,,0.001,983.04,0.0063732653054534944,,0.041522074735860226,,24.08357497455101,0.0191497497767321,1,,0.09343046441150987,,5,,1,,-9.90722721774866,-46.55131571083482
2022-02-10_multipletau_CH2_BIN0dot001_us_DiO LUV 10uM in 20 nM AF48823_T268s_1_delete_and_shift_DELSHIFTBIN_correlation-CH2_2,Not known,multipletau,,12 February 2022 21:00:32,Equation 1B,1,Triplet Eq 2A,1,,0.001,983.04,0.003327477558594941,,0.04092169162804102,,24.43691744440897,0.018911105281274584,1,,0.09427613515054291,,5,,1,,-9.656177151723124,-47.85839565417716
2022-02-10_multipletau_CH2_BIN0dot001_us_DiO LUV 10uM in 20 nM AF48823_T287s_1_delete_and_shift_DELSHIFTBIN_correlation-CH2_2,Not known,multipletau,,12 February 2022 21:00:32,Equation 1B,1,Triplet Eq 2A,1,,0.001,983.04,0.0065174076655238845,,0.042864782053204674,,23.32917495669939,0.020607221662163826,1,,0.25730610310100205,,5,,1,,-10.185555951221726,-47.199142553655726
2022-02-10_multipletau_CH2_BIN0dot001_us_DiO LUV 10uM in 20 nM AF48825_T292s_1_delete_and_shift_DELSHIFTBIN_correlation-CH2_2,Not known,multipletau,,12 February 2022 21:00:32,Equation 1B,1,Triplet Eq 2A,1,,0.001,983.04,0.008557804232430206,,0.04208002430636839,,23.764244828362898,0.019594540694591458,1,,0.11918781610228857,,5,,1,,-10.096431146846372,-46.12020673898055
2022-02-10_multipletau_CH2_BIN0dot001_us_DiO LUV 10uM in 20 nM AF48829_T341s_1_delete_and_shift_DELSHIFTBIN_correlation-CH2_2,Not known,multipletau,,12 February 2022 21:00:33,Equation 1B,1,Triplet Eq 2A,1,,0.001,983.04,0.004764151812518899,,0.038172470125014055,,26.196889976598857,0.01801912198026344,1,,0.0944541065407566,,5,,1,,-9.270664864437515,-50.91813746416027
2022-02-10_multipletau_CH2_BIN0dot001_us_DiO LUV 10uM in 20 nM AF48829_T342s_1_delete_and_shift_DELSHIFTBIN_correlation-CH2_2,Not known,multipletau,,12 February 2022 21:00:33,Equation 1B,1,Triplet Eq 2A,1,,0.001,983.04,0.003286243071608112,,0.04412879257863496,,22.660941792550926,0.019705625007966632,1,,0.07028905355433172,,5,,1,,-9.809572549303136,-45.52166211962116
2022-02-10_multipletau_CH2_BIN0dot001_us_DiO LUV 10uM in 20 nM AF48832_T378s_1_delete_and_shift_DELSHIFTBIN_correlation-CH2_2,Not known,multipletau,,12 February 2022 21:00:33,Equation 1B,1,Triplet Eq 2A,1,,0.001,983.04,0.0062851541743136246,,0.040321029830348465,,24.800953849827742,0.018882455752486822,1,,0.10041641186310067,,5,,1,,-9.920297781682798,-47.20654054343087
