name_of_plot,master_file,parent_name,parent_uqid,time of fit,Diff_eq,Diff_species,Triplet_eq,Triplet_species,Dimen,xmin,xmax,offset,stdev(offset),GN0,stdev(GN0),N (FCS),cpm (kHz),A1,stdev(A1),txy1,stdev(txy1),AR1,stdev(AR1),alpha1,stdev(alpha1),N (mom),bri (kHz)
2022-02-10_multipletau_CH2_BIN0dot001_us_DiO LUV 10uM in 20 nM AF4884_T39s_1_delete_and_shift_DELSHIFTBIN_correlation-CH2_2,Not known,multipletau,,12 February 2022 21:01:17,Equation 1B,1,Triplet Eq 2A,1,,0.001,983.04,0.0022198634353404975,,0.05745531460695045,,17.404830290130004,0.025845155547122318,1,,0.037112774797598024,,5,,0.5322781268817546,,-9.757375526069163,-46.10159507576318
2022-02-10_multipletau_CH2_BIN0dot001_us_DiO LUV 10uM in 20 nM AF4887_T75s_1_delete_and_shift_DELSHIFTBIN_correlation-CH2_2,Not known,multipletau,,12 February 2022 21:01:17,Equation 1B,1,Triplet Eq 2A,1,,0.001,983.04,0.0024620709795124215,,0.05590389858569617,,17.8878401202571,0.025926947614760124,1,,0.038598684017414585,,5,,0.5112020380145322,,-9.579283317814165,-48.41459483845126
2022-02-10_multipletau_CH2_BIN0dot001_us_DiO LUV 10uM in 20 nM AF4889_T106s_1_delete_and_shift_DELSHIFTBIN_correlation-CH2_2,Not known,multipletau,,12 February 2022 21:01:17,Equation 1B,1,Triplet Eq 2A,1,,0.001,983.04,0.009210051496030146,,0.05330353287719973,,18.76048258009075,0.02591989449189843,1,,0.08904212091747868,,5,,0.5,,-10.152038873783413,-47.898728893423254
2022-02-10_multipletau_CH2_BIN0dot001_us_DiO LUV 10uM in 20 nM AF48814_T159s_1_delete_and_shift_DELSHIFTBIN_correlation-CH2_2,Not known,multipletau,,12 February 2022 21:01:17,Equation 1B,1,Triplet Eq 2A,1,,0.001,983.04,0.004813311173428062,,0.0562264812292469,,17.78521397991802,0.025931340213987394,1,,0.0455276405155487,,5,,0.5,,-9.90722721774866,-46.55131571083482
2022-02-10_multipletau_CH2_BIN0dot001_us_DiO LUV 10uM in 20 nM AF48823_T268s_1_delete_and_shift_DELSHIFTBIN_correlation-CH2_2,Not known,multipletau,,12 February 2022 21:01:17,Equation 1B,1,Triplet Eq 2A,1,,0.001,983.04,0.0018863001192846716,,0.05587021757580612,,17.898623692366595,0.025819254401003036,1,,0.043379719823141205,,5,,0.5,,-9.656177151723124,-47.85839565417716
2022-02-10_multipletau_CH2_BIN0dot001_us_DiO LUV 10uM in 20 nM AF48823_T287s_1_delete_and_shift_DELSHIFTBIN_correlation-CH2_2,Not known,multipletau,,12 February 2022 21:01:18,Equation 1B,1,Triplet Eq 2A,1,,0.001,983.04,0.004853805468387821,,0.05825549886793379,,17.165761506343237,0.02800630076040931,1,,0.11297011935061925,,5,,0.5,,-10.185555951221726,-47.199142553655726
2022-02-10_multipletau_CH2_BIN0dot001_us_DiO LUV 10uM in 20 nM AF48825_T292s_1_delete_and_shift_DELSHIFTBIN_correlation-CH2_2,Not known,multipletau,,12 February 2022 21:01:18,Equation 1B,1,Triplet Eq 2A,1,,0.001,983.04,0.00682493570127558,,0.05660342819093044,,17.666774468621846,0.026357355905156123,1,,0.06085015691208913,,5,,0.5,,-10.096431146846372,-46.12020673898055
2022-02-10_multipletau_CH2_BIN0dot001_us_DiO LUV 10uM in 20 nM AF48829_T341s_1_delete_and_shift_DELSHIFTBIN_correlation-CH2_2,Not known,multipletau,,12 February 2022 21:01:18,Equation 1B,1,Triplet Eq 2A,1,,0.001,983.04,0.003367362642286403,,0.051863736382933574,,19.281294980688333,0.024482015158456105,1,,0.04492671377332009,,5,,0.5,,-9.270664864437515,-50.91813746416027
2022-02-10_multipletau_CH2_BIN0dot001_us_DiO LUV 10uM in 20 nM AF48829_T342s_1_delete_and_shift_DELSHIFTBIN_correlation-CH2_2,Not known,multipletau,,12 February 2022 21:01:18,Equation 1B,1,Triplet Eq 2A,1,,0.001,983.04,0.0021673191837374888,,0.05812419498300121,,17.204539353920623,0.025955244258812835,1,,0.03494606249601624,,5,,0.5571257224081694,,-9.809572549303136,-45.52166211962116
2022-02-10_multipletau_CH2_BIN0dot001_us_DiO LUV 10uM in 20 nM AF48832_T378s_1_delete_and_shift_DELSHIFTBIN_correlation-CH2_2,Not known,multipletau,,12 February 2022 21:01:18,Equation 1B,1,Triplet Eq 2A,1,,0.001,983.04,0.004714508425288131,,0.05437135303973989,,18.39203816151315,0.02546226304971476,1,,0.05020655335928637,,5,,0.5,,-9.920297781682798,-47.20654054343087
2022-02-10_multipletau_CH2_BIN0dot001_us_DiO LUV 10uM in 20 nM AF48840_T474s_1_delete_and_shift_DELSHIFTBIN_correlation-CH2_2,Not known,multipletau,,12 February 2022 21:01:18,Equation 1B,1,Triplet Eq 2A,1,,0.001,983.04,0.0031394139523499495,,0.055483212023337836,,18.023469866513338,0.025925209247575853,1,,0.058694026304904265,,5,,0.5,,-9.80005486644275,-47.679554859155694
2022-02-10_multipletau_CH2_BIN0dot001_us_DiO LUV 10uM in 20 nM AF48842_T497s_1_delete_and_shift_DELSHIFTBIN_correlation-CH2_2,Not known,multipletau,,12 February 2022 21:01:18,Equation 1B,1,Triplet Eq 2A,1,,0.001,983.04,0.001416677100011327,,0.05210180896472939,,19.193191558415094,0.022747167503328006,1,,0.041373119279863,,5,,0.7073783275210461,,-9.53693972988916,-45.77891683529481
2022-02-10_multipletau_CH2_BIN0dot001_us_DiO LUV 10uM in 20 nM AF48843_T546s_1_delete_and_shift_DELSHIFTBIN_correlation-CH2_2,Not known,multipletau,,12 February 2022 21:01:18,Equation 1B,1,Triplet Eq 2A,1,,0.001,983.04,0.0019332463863848588,,0.05367565159764058,,18.630421247535576,0.02429335867420854,1,,0.042265565984208796,,5,,0.5945204116546239,,-9.502243159440251,-47.63038855938354
2022-02-10_multipletau_CH2_BIN0dot001_us_DiO LUV 10uM in 20 nM AF48844_T521s_1_delete_and_shift_DELSHIFTBIN_correlation-CH2_2,Not known,multipletau,,12 February 2022 21:01:18,Equation 1B,1,Triplet Eq 2A,1,,0.001,983.04,0.0027955030427276335,,0.055651955054985006,,17.968820664287254,0.025773234462481382,1,,0.03595464980455551,,5,,0.5192019421338948,,-9.523208675188094,-48.63010703542905
