name_of_plot,master_file,parent_name,parent_uqid,time of fit,Diff_eq,Diff_species,Triplet_eq,Triplet_species,Dimen,xmin,xmax,offset,stdev(offset),GN0,stdev(GN0),N (FCS),cpm (kHz),A1,stdev(A1),txy1,stdev(txy1),AR1,stdev(AR1),alpha1,stdev(alpha1),N (mom),bri (kHz)
2022-02-10_tttr2xfcs_CH2_BIN1dot0_us_DiO LUV 10uM in 20 nM AF4884_T39s_1_delete_correlation-CH2_2,Not known,tttr2xfcs,,12 February 2022 20:59:19,Equation 1B,1,Triplet Eq 2A,1,,0.001018,939.52409,-0.023750409037665704,,0.3920657657343359,,2.5505924959477357,204.77493750859426,1,,13.197690142451787,,5,,0.5,,6.470131337926487,80.72843012224067
2022-02-10_tttr2xfcs_CH2_BIN1dot0_us_DiO LUV 10uM in 20 nM AF4887_T75s_1_delete_correlation-CH2_2,Not known,tttr2xfcs,,12 February 2022 20:59:19,Equation 1B,1,Triplet Eq 2A,1,,0.001018,939.52409,-0.01582923528375711,,0.21188380084199399,,4.719567970869656,107.59396240117148,1,,12.909782676746735,,5,,0.5,,7.416931884136346,68.46799027171768
2022-02-10_tttr2xfcs_CH2_BIN1dot0_us_DiO LUV 10uM in 20 nM AF4889_T106s_1_delete_correlation-CH2_2,Not known,tttr2xfcs,,12 February 2022 20:59:19,Equation 1B,1,Triplet Eq 2A,1,,0.001018,939.52409,-0.013555909002910989,,0.24715249684071836,,4.046084958811754,143.0829001668094,1,,13.00264072479358,,5,,0.5,,2.5795615291824543,224.43912385442556
2022-02-10_tttr2xfcs_CH2_BIN1dot0_us_DiO LUV 10uM in 20 nM AF48814_T159s_1_delete_correlation-CH2_2,Not known,tttr2xfcs,,12 February 2022 20:59:19,Equation 1B,1,Triplet Eq 2A,1,,0.001018,939.52409,-0.02650095373638471,,0.26907064647400075,,3.7164960693571087,135.32813413642003,1,,12.915724148137445,,5,,0.5,,9.145628068780526,54.99585522766864
2022-02-10_tttr2xfcs_CH2_BIN1dot0_us_DiO LUV 10uM in 20 nM AF48823_T268s_1_delete_correlation-CH2_2,Not known,tttr2xfcs,,12 February 2022 20:59:19,Equation 1B,1,Triplet Eq 2A,1,,0.001018,939.52409,-0.05795560349377444,,0.31604819430038794,,3.164074397620352,164.62288371360447,1,,12.745684272961478,,5,,0.5,,5.6274301650513205,92.56536145633959
2022-02-10_tttr2xfcs_CH2_BIN1dot0_us_DiO LUV 10uM in 20 nM AF48823_T287s_1_delete_correlation-CH2_2,Not known,tttr2xfcs,,12 February 2022 20:59:19,Equation 1B,1,Triplet Eq 2A,1,,0.001018,939.52409,-0.030667675552758133,,0.23844765927063213,,4.193792478646331,133.30855787871604,1,,12.783270674964609,,5,,0.5,,2.845674811503627,196.4723415046846
2022-02-10_tttr2xfcs_CH2_BIN1dot0_us_DiO LUV 10uM in 20 nM AF48825_T292s_1_delete_correlation-CH2_2,Not known,tttr2xfcs,,12 February 2022 20:59:19,Equation 1B,1,Triplet Eq 2A,1,,0.001018,939.52409,-0.04914188279250218,,0.375647928966141,,2.662067118943533,202.69734513274523,1,,12.962855184289081,,5,,0.5,,5.344055959419828,100.97591296121487
2022-02-10_tttr2xfcs_CH2_BIN1dot0_us_DiO LUV 10uM in 20 nM AF48829_T341s_1_delete_correlation-CH2_2,Not known,tttr2xfcs,,12 February 2022 20:59:19,Equation 1B,1,Triplet Eq 2A,1,,0.001018,939.52409,-0.008121261437390002,,0.42182547651620733,,2.3706486584424638,238.33464358756873,1,,13.241714835568484,,5,,0.5,,4.773809488683417,118.36164964777767
2022-02-10_tttr2xfcs_CH2_BIN1dot0_us_DiO LUV 10uM in 20 nM AF48829_T342s_1_delete_correlation-CH2_2,Not known,tttr2xfcs,,12 February 2022 20:59:19,Equation 1B,1,Triplet Eq 2A,1,,0.001018,939.52409,-0.012783842919514744,,0.2078633700878668,,4.810852434352844,102.1546986066096,1,,12.827572988821803,,5,,0.5,,5.656176065177315,86.89187861736673
2022-02-10_tttr2xfcs_CH2_BIN1dot0_us_DiO LUV 10uM in 20 nM AF48832_T378s_1_delete_correlation-CH2_2,Not known,tttr2xfcs,,12 February 2022 20:59:19,Equation 1B,1,Triplet Eq 2A,1,,0.001018,939.52409,-0.041566555337907964,,0.17823564131210307,,5.610550127002545,90.18529134680243,1,,12.920916938259408,,5,,0.5,,6.063669973321157,83.45018871859035
2022-02-10_tttr2xfcs_CH2_BIN1dot0_us_DiO LUV 10uM in 20 nM AF48840_T474s_1_delete_correlation-CH2_2,Not known,tttr2xfcs,,12 February 2022 20:59:19,Equation 1B,1,Triplet Eq 2A,1,,0.001018,939.52409,-0.025273152923106734,,0.17464736479420312,,5.725823582728298,86.58562431076686,1,,12.888918800486795,,5,,0.5,,11.941273698278206,41.519759281268925
2022-02-10_tttr2xfcs_CH2_BIN1dot0_us_DiO LUV 10uM in 20 nM AF48842_T497s_1_delete_correlation-CH2_2,Not known,tttr2xfcs,,12 February 2022 20:59:19,Equation 1B,1,Triplet Eq 2A,1,,0.001018,939.52409,-0.01037647221421026,,0.2870600774606485,,3.483591340342631,136.71112703835985,1,,13.109476870059712,,5,,0.5,,12.377910246010769,38.477377183929185
2022-02-10_tttr2xfcs_CH2_BIN1dot0_us_DiO LUV 10uM in 20 nM AF48843_T546s_1_delete_correlation-CH2_2,Not known,tttr2xfcs,,12 February 2022 20:59:19,Equation 1B,1,Triplet Eq 2A,1,,0.001018,939.52409,-0.031780264562837335,,0.3135057361952084,,3.1897343000363385,158.02598927118797,1,,12.969770544181783,,5,,0.5,,9.050174678769475,55.69904980155478
2022-02-10_tttr2xfcs_CH2_BIN1dot0_us_DiO LUV 10uM in 20 nM AF48844_T521s_1_delete_correlation-CH2_2,Not known,tttr2xfcs,,12 February 2022 20:59:19,Equation 1B,1,Triplet Eq 2A,1,,0.001018,939.52409,-0.00791039014907321,,0.31699174369429667,,3.154656295920404,164.12770775447575,1,,13.297731625223243,,5,,0.5,,8.75829633228027,59.12022006774829
2022-02-10_tttr2xfcs_CH2_BIN1dot0_us_DiO LUV 10uM in 20 nM AF48846_T584s_1_delete_correlation-CH2_2,Not known,tttr2xfcs,,12 February 2022 20:59:19,Equation 1B,1,Triplet Eq 2A,1,,0.001018,939.52409,0.012132435747196168,,0.5434847692418785,,1.839977965518568,316.41018861112497,1,,13.491243856683562,,5,,0.5,,4.391758677586067,132.5703300992708
2022-02-10_tttr2xfcs_CH2_BIN1dot0_us_DiO LUV 10uM in 20 nM AF48848_T610s_1_delete_correlation-CH2_2,Not known,tttr2xfcs,,12 February 2022 20:59:19,Equation 1B,1,Triplet Eq 2A,1,,0.001018,939.52409,-0.02470080101844722,,0.18471950024451902,,5.413613606989346,102.80767428454915,1,,11.144499967944062,,5,,0.5,,2.0055341794701635,277.5264917879828
2022-02-10_tttr2xfcs_CH2_BIN1dot0_us_DiO LUV 10uM in 20 nM AF48851_T607s_1_delete_correlation-CH2_2,Not known,tttr2xfcs,,12 February 2022 20:59:19,Equation 1B,1,Triplet Eq 2A,1,,0.001018,939.52409,-0.029448322576782638,,0.23949871491367836,,4.175387748366108,132.01583185429075,1,,13.018206643912102,,5,,0.5,,3.1624814666468555,174.3076966618758
2022-02-10_tttr2xfcs_CH2_BIN1dot0_us_DiO LUV 10uM in 20 nM AF48861_T728s_1_delete_correlation-CH2_2,Not known,tttr2xfcs,,12 February 2022 20:59:19,Equation 1B,1,Triplet Eq 2A,1,,0.001018,939.52409,-0.04114880527223417,,0.2532834501638047,,3.9481458395851567,121.4195656236231,1,,13.029390204172502,,5,,0.5,,13.21044782913605,36.289922867141335
