name_of_plot,master_file,parent_name,parent_uqid,time of fit,Diff_eq,Diff_species,Triplet_eq,Triplet_species,Dimen,xmin,xmax,offset,stdev(offset),GN0,stdev(GN0),N (FCS),cpm (kHz),A1,stdev(A1),txy1,stdev(txy1),AR1,stdev(AR1),alpha1,stdev(alpha1),N (mom),bri (kHz)
2022-02-10_multipletau_CH2_BIN0dot001_us_DiO LUV 10uM in 20 nM AF4884_T39s_1_NOCORR_correlation-CH2_2,Not known,multipletau,,12 February 2022 21:04:22,Equation 1B,1,Triplet Eq 2A,1,,0.001,983.04,0.008964777810842166,,0.16071726178568127,,6.222107002628716,0.08394221101419934,1,,5.720382727920592,,5,,1,,94.08384920200604,5.551403875616233
2022-02-10_multipletau_CH2_BIN0dot001_us_DiO LUV 10uM in 20 nM AF4887_T75s_1_NOCORR_correlation-CH2_2,Not known,multipletau,,12 February 2022 21:04:22,Equation 1B,1,Triplet Eq 2A,1,,0.001,983.04,0.012451602795125912,,0.1412157293303346,,7.081364128076557,0.07170892636267401,1,,3.778551273706129,,5,,1,,-389.43446087526047,-1.3039345389882881
2022-02-10_multipletau_CH2_BIN0dot001_us_DiO LUV 10uM in 20 nM AF4889_T106s_1_NOCORR_correlation-CH2_2,Not known,multipletau,,12 February 2022 21:04:22,Equation 1B,1,Triplet Eq 2A,1,,0.001,983.04,0.05443463170124431,,0.3517400823704692,,2.8430083749930803,0.20363132775839968,1,,8.521517159339245,,5,,1,,4.807669592487452,120.41709357285984
2022-02-10_multipletau_CH2_BIN0dot001_us_DiO LUV 10uM in 20 nM AF48814_T159s_1_NOCORR_correlation-CH2_2,Not known,multipletau,,12 February 2022 21:04:22,Equation 1B,1,Triplet Eq 2A,1,,0.001,983.04,0.007141648447666106,,0.11748428822867232,,8.511776468812513,0.05908830905443211,1,,4.129826761238002,,5,,1,,-38.45817579448734,-13.077752476780711
2022-02-10_multipletau_CH2_BIN0dot001_us_DiO LUV 10uM in 20 nM AF48823_T268s_1_NOCORR_correlation-CH2_2,Not known,multipletau,,12 February 2022 21:04:22,Equation 1B,1,Triplet Eq 2A,1,,0.001,983.04,0.000915891980758521,,0.19056010103386634,,5.247688233657475,0.09925876470325522,1,,8.187763420636415,,5,,1,,31.96252200103619,16.296557501255304
2022-02-10_multipletau_CH2_BIN0dot001_us_DiO LUV 10uM in 20 nM AF48823_T287s_1_NOCORR_correlation-CH2_2,Not known,multipletau,,12 February 2022 21:04:22,Equation 1B,1,Triplet Eq 2A,1,,0.001,983.04,0.00007760736378678583,,0.3790057283866153,,2.6384825481580116,0.21189013653368585,1,,4.775863049101829,,5,,1,,5.496844439507286,101.70716335310185
2022-02-10_multipletau_CH2_BIN0dot001_us_DiO LUV 10uM in 20 nM AF48825_T292s_1_NOCORR_correlation-CH2_2,Not known,multipletau,,12 February 2022 21:04:22,Equation 1B,1,Triplet Eq 2A,1,,0.001,983.04,0.014958722563519527,,0.18750674733395317,,5.333141416073847,0.10117750411581405,1,,7.155674540175693,,5,,1,,25.84208815262441,20.88043200606162
2022-02-10_multipletau_CH2_BIN0dot001_us_DiO LUV 10uM in 20 nM AF48829_T341s_1_NOCORR_correlation-CH2_2,Not known,multipletau,,12 February 2022 21:04:22,Equation 1B,1,Triplet Eq 2A,1,,0.001,983.04,0.0008573522467152177,,0.2165641011899913,,4.6175704768478765,0.1223603853832086,1,,16.854605097683176,,5,,1,,19.751317110169538,28.606078682824307
2022-02-10_multipletau_CH2_BIN0dot001_us_DiO LUV 10uM in 20 nM AF48829_T342s_1_NOCORR_correlation-CH2_2,Not known,multipletau,,12 February 2022 21:04:22,Equation 1B,1,Triplet Eq 2A,1,,0.001,983.04,0.004105474058009135,,0.18976900569431687,,5.269564417757539,0.09326220186550557,1,,5.78640553642601,,5,,1,,29.68294835304492,16.55668430269557
2022-02-10_multipletau_CH2_BIN0dot001_us_DiO LUV 10uM in 20 nM AF48832_T378s_1_NOCORR_correlation-CH2_2,Not known,multipletau,,12 February 2022 21:04:22,Equation 1B,1,Triplet Eq 2A,1,,0.001,983.04,0.00984909734072083,,0.1687234181022575,,5.926859538810043,0.08537221010659435,1,,7.652246205311674,,5,,1,,47.10215991352517,10.74237623185489
