name_of_plot,master_file,parent_name,parent_uqid,time of fit,Diff_eq,Diff_species,Triplet_eq,Triplet_species,Dimen,xmin,xmax,offset,stdev(offset),GN0,stdev(GN0),N (FCS),cpm (kHz),A1,stdev(A1),txy1,stdev(txy1),AR1,stdev(AR1),alpha1,stdev(alpha1),N (mom),bri (kHz)
2022-02-10_tttr2xfcs_CH2_BIN1dot0_us_DiO LUV 10uM in 20 nM AF4884_T39s_1_delete_correlation-CH2_2,Not known,tttr2xfcs,,12 February 2022 21:08:37,Equation 1B,1,Triplet Eq 2A,1,,0.001018,939.52409,-0.02420149315793313,,0.3926507472915077,,2.546792555210879,205.08047186604875,1,,13.21855622378555,,5,,0.5,,6.470131337926487,80.72843012224067
2022-02-10_tttr2xfcs_CH2_BIN1dot0_us_DiO LUV 10uM in 20 nM AF4887_T75s_1_delete_correlation-CH2_2,Not known,tttr2xfcs,,12 February 2022 21:08:37,Equation 1B,1,Triplet Eq 2A,1,,0.001018,939.52409,-0.015870747875648454,,0.2119107466655432,,4.718967847243212,107.60764541003908,1,,12.931083636770511,,5,,0.5,,7.416931884136346,68.46799027171768
2022-02-10_tttr2xfcs_CH2_BIN1dot0_us_DiO LUV 10uM in 20 nM AF4889_T106s_1_delete_correlation-CH2_2,Not known,tttr2xfcs,,12 February 2022 21:08:37,Equation 1B,1,Triplet Eq 2A,1,,0.001018,939.52409,-0.013606191036466937,,0.24718752891441587,,4.045511536895664,143.103181130051,1,,13.023681431094861,,5,,0.5,,2.5795615291824543,224.43912385442556
2022-02-10_tttr2xfcs_CH2_BIN1dot0_us_DiO LUV 10uM in 20 nM AF48814_T159s_1_delete_correlation-CH2_2,Not known,tttr2xfcs,,12 February 2022 21:08:37,Equation 1B,1,Triplet Eq 2A,1,,0.001018,939.52409,-0.026556301458589535,,0.26910917877430285,,3.7159639242133857,135.34751382116897,1,,12.936862469508098,,5,,0.5,,9.145628068780526,54.99585522766864
2022-02-10_tttr2xfcs_CH2_BIN1dot0_us_DiO LUV 10uM in 20 nM AF48823_T268s_1_delete_correlation-CH2_2,Not known,tttr2xfcs,,12 February 2022 21:08:37,Equation 1B,1,Triplet Eq 2A,1,,0.001018,939.52409,-0.05802326952978361,,0.3160958689492336,,3.16359718121025,164.6477164394815,1,,12.767193443231376,,5,,0.5,,5.6274301650513205,92.56536145633959
2022-02-10_tttr2xfcs_CH2_BIN1dot0_us_DiO LUV 10uM in 20 nM AF48823_T287s_1_delete_correlation-CH2_2,Not known,tttr2xfcs,,12 February 2022 21:08:37,Equation 1B,1,Triplet Eq 2A,1,,0.001018,939.52409,-0.030716365954216923,,0.23848022663932425,,4.193219765395446,133.32676526631437,1,,12.804708821354176,,5,,0.5,,2.845674811503627,196.4723415046846
2022-02-10_tttr2xfcs_CH2_BIN1dot0_us_DiO LUV 10uM in 20 nM AF48825_T292s_1_delete_correlation-CH2_2,Not known,tttr2xfcs,,12 February 2022 21:08:37,Equation 1B,1,Triplet Eq 2A,1,,0.001018,939.52409,-0.04922092022399528,,0.3757058173176623,,2.6616569504817966,202.7285813362823,1,,12.983596817722875,,5,,0.5,,5.344055959419828,100.97591296121487
2022-02-10_tttr2xfcs_CH2_BIN1dot0_us_DiO LUV 10uM in 20 nM AF48829_T341s_1_delete_correlation-CH2_2,Not known,tttr2xfcs,,12 February 2022 21:08:37,Equation 1B,1,Triplet Eq 2A,1,,0.001018,939.52409,-0.008208926827465107,,0.42189073580014264,,2.3702819596250113,238.3715155856897,1,,13.262321577141762,,5,,0.5,,4.773809488683417,118.36164964777767
2022-02-10_tttr2xfcs_CH2_BIN1dot0_us_DiO LUV 10uM in 20 nM AF48829_T342s_1_delete_correlation-CH2_2,Not known,tttr2xfcs,,12 February 2022 21:08:37,Equation 1B,1,Triplet Eq 2A,1,,0.001018,939.52409,-0.012824294279750077,,0.20788892565947242,,4.810261041215955,102.16725792244283,1,,12.849001393534778,,5,,0.5,,5.656176065177315,86.89187861736673
2022-02-10_tttr2xfcs_CH2_BIN1dot0_us_DiO LUV 10uM in 20 nM AF48832_T378s_1_delete_correlation-CH2_2,Not known,tttr2xfcs,,12 February 2022 21:08:37,Equation 1B,1,Triplet Eq 2A,1,,0.001018,939.52409,-0.04160012019526641,,0.17825624302745163,,5.609901695538366,90.1957155901652,1,,12.942243299490025,,5,,0.5,,6.063669973321157,83.45018871859035
2022-02-10_tttr2xfcs_CH2_BIN1dot0_us_DiO LUV 10uM in 20 nM AF48840_T474s_1_delete_correlation-CH2_2,Not known,tttr2xfcs,,12 February 2022 21:08:37,Equation 1B,1,Triplet Eq 2A,1,,0.001018,939.52409,-0.025305831113472302,,0.17466708963036987,,5.725176975904264,86.59540337188204,1,,12.91027838239352,,5,,0.5,,11.941273698278206,41.519759281268925
2022-02-10_tttr2xfcs_CH2_BIN1dot0_us_DiO LUV 10uM in 20 nM AF48842_T497s_1_delete_correlation-CH2_2,Not known,tttr2xfcs,,12 February 2022 21:08:37,Equation 1B,1,Triplet Eq 2A,1,,0.001018,939.52409,-0.010434695648505934,,0.2871014540763287,,3.4830892905688327,136.7308324735869,1,,13.130272477412179,,5,,0.5,,12.377910246010769,38.477377183929185
2022-02-10_tttr2xfcs_CH2_BIN1dot0_us_DiO LUV 10uM in 20 nM AF48843_T546s_1_delete_correlation-CH2_2,Not known,tttr2xfcs,,12 February 2022 21:08:37,Equation 1B,1,Triplet Eq 2A,1,,0.001018,939.52409,-0.03184531401678978,,0.31355245846220153,,3.18925899960867,158.04954013999244,1,,12.990596018626967,,5,,0.5,,9.050174678769475,55.69904980155478
2022-02-10_tttr2xfcs_CH2_BIN1dot0_us_DiO LUV 10uM in 20 nM AF48844_T521s_1_delete_correlation-CH2_2,Not known,tttr2xfcs,,12 February 2022 21:08:38,Equation 1B,1,Triplet Eq 2A,1,,0.001018,939.52409,-0.007974867650457558,,0.31703915827218854,,3.1541845034217104,164.15225743483285,1,,13.318223605479197,,5,,0.5,,8.75829633228027,59.12022006774829
2022-02-10_tttr2xfcs_CH2_BIN1dot0_us_DiO LUV 10uM in 20 nM AF48846_T584s_1_delete_correlation-CH2_2,Not known,tttr2xfcs,,12 February 2022 21:08:38,Equation 1B,1,Triplet Eq 2A,1,,0.001018,939.52409,0.012022222162425248,,0.5435683521381169,,1.8396950375541858,316.45884955152326,1,,13.51136797556889,,5,,0.5,,4.391758677586067,132.5703300992708
2022-02-10_tttr2xfcs_CH2_BIN1dot0_us_DiO LUV 10uM in 20 nM AF48848_T610s_1_delete_correlation-CH2_2,Not known,tttr2xfcs,,12 February 2022 21:08:38,Equation 1B,1,Triplet Eq 2A,1,,0.001018,939.52409,-0.02474686726786419,,0.1847485328490605,,5.412762875995338,102.82383270067405,1,,11.168511484598298,,5,,0.5,,2.0055341794701635,277.5264917879828
2022-02-10_tttr2xfcs_CH2_BIN1dot0_us_DiO LUV 10uM in 20 nM AF48851_T607s_1_delete_correlation-CH2_2,Not known,tttr2xfcs,,12 February 2022 21:08:38,Equation 1B,1,Triplet Eq 2A,1,,0.001018,939.52409,-0.029496564658115457,,0.23953205746046344,,4.174806539893131,132.03421084246844,1,,13.039207620405683,,5,,0.5,,3.1624814666468555,174.3076966618758
2022-02-10_tttr2xfcs_CH2_BIN1dot0_us_DiO LUV 10uM in 20 nM AF48861_T728s_1_delete_correlation-CH2_2,Not known,tttr2xfcs,,12 February 2022 21:08:38,Equation 1B,1,Triplet Eq 2A,1,,0.001018,939.52409,-0.041200106839488264,,0.25331914527145777,,3.947589507806037,121.43667722117642,1,,13.050411674052066,,5,,0.5,,13.21044782913605,36.289922867141335
2022-02-10_tttr2xfcs_CH2_BIN1dot0_us_DiO LUV 10uM in 20 nM AF48866_T787s_1_delete_correlation-CH2_2,Not known,tttr2xfcs,,12 February 2022 21:08:38,Equation 1B,1,Triplet Eq 2A,1,,0.001018,939.52409,-0.024799994476448997,,0.14002370371883802,,7.141647974174144,70.1313559346545,1,,11.7910306607875,,5,,0.5,,3.8125954792865855,131.37467906019282
2022-02-10_tttr2xfcs_CH2_BIN1dot0_us_DiO LUV 10uM in 20 nM AF48869_T823s_1_delete_correlation-CH2_2,Not known,tttr2xfcs,,12 February 2022 21:08:38,Equation 1B,1,Triplet Eq 2A,1,,0.001018,939.52409,-0.043309001776615126,,0.4146938721797455,,2.411417354068252,215.67934630074663,1,,13.217468956872471,,5,,0.5,,9.72720758901272,53.47052840939971
2022-02-10_tttr2xfcs_CH2_BIN1dot0_us_DiO LUV 10uM in 20 nM AF48869_T825s_1_delete_correlation-CH2_2,Not known,tttr2xfcs,,12 February 2022 21:08:38,Equation 1B,1,Triplet Eq 2A,1,,0.001018,939.52409,0.0010247716701079935,,0.23278188598649746,,4.295866904601009,113.52548553776849,1,,13.092758217442304,,5,,0.5,,12.39908359867203,39.33474339180007
2022-02-10_tttr2xfcs_CH2_BIN1dot0_us_DiO LUV 10uM in 20 nM AF48870_T834s_1_delete_correlation-CH2_2,Not known,tttr2xfcs,,12 February 2022 21:08:38,Equation 1B,1,Triplet Eq 2A,1,,0.001018,939.52409,-0.03996995315040781,,0.31181639089844515,,3.2070155039594694,179.58493557577336,1,,12.958988364296596,,5,,0.5,,2.5548687678299915,225.43642533396994
2022-02-10_tttr2xfcs_CH2_BIN1dot0_us_DiO LUV 10uM in 20 nM AF48877_T922s_1_delete_correlation-CH2_2,Not known,tttr2xfcs,,12 February 2022 21:08:38,Equation 1B,1,Triplet Eq 2A,1,,0.001018,939.52409,-0.024497178893875714,,0.24018766043984632,,4.163411218414547,121.38129470912158,1,,13.038591869244438,,5,,0.5,,5.693445125628034,88.76620610790911
2022-02-10_tttr2xfcs_CH2_BIN1dot0_us_DiO LUV 10uM in 20 nM AF48878_T934s_1_delete_correlation-CH2_2,Not known,tttr2xfcs,,12 February 2022 21:08:38,Equation 1B,1,Triplet Eq 2A,1,,0.001018,939.52409,-0.0399388033733667,,0.2516048567519401,,3.9744860767370267,133.3417913124744,1,,13.0521000946611,,5,,0.5,,7.096885926984294,74.6794584768937
2022-02-10_tttr2xfcs_CH2_BIN1dot0_us_DiO LUV 10uM in 20 nM AF48882_T982s_1_delete_correlation-CH2_2,Not known,tttr2xfcs,,12 February 2022 21:08:38,Equation 1B,1,Triplet Eq 2A,1,,0.001018,939.52409,0.014069877207321401,,0.3824623582229466,,2.614636391006813,196.34866014511866,1,,13.262546017805676,,5,,0.5,,6.997162917643697,73.37345703644294
2022-02-10_tttr2xfcs_CH2_BIN1dot0_us_DiO LUV 10uM in 20 nM AF48887_T1042s_1_delete_correlation-CH2_2,Not known,tttr2xfcs,,12 February 2022 21:08:38,Equation 1B,1,Triplet Eq 2A,1,,0.001018,939.52409,-0.03271513931297939,,0.3132179722726341,,3.1926648165947857,166.85797577825326,1,,12.751765094459945,,5,,0.5,,4.436352080849116,120.08700549406124
2022-02-10_tttr2xfcs_CH2_BIN1dot0_us_DiO LUV 10uM in 20 nM AF48895_T1139s_1_delete_correlation-CH2_2,Not known,tttr2xfcs,,12 February 2022 21:08:38,Equation 1B,1,Triplet Eq 2A,1,,0.001018,939.52409,-0.002656833459545258,,0.3129809601384531,,3.19508253651478,154.93127323139768,1,,13.167529746720783,,5,,0.5,,6.450681444835977,76.74273939446576
2022-02-10_tttr2xfcs_CH2_BIN1dot0_us_DiO LUV 10uM in 20 nM AF488100_T1197s_1_delete_correlation-CH2_2,Not known,tttr2xfcs,,12 February 2022 21:08:38,Equation 1B,1,Triplet Eq 2A,1,,0.001018,939.52409,-0.027029395646020835,,0.1710820038061252,,5.845150148774428,83.57797454126316,1,,13.013168940830827,,5,,0.5,,5.799231987638304,84.24395655369942
2022-02-10_tttr2xfcs_CH2_BIN1dot0_us_DiO LUV 10uM in 20 nM AF488110_T1318s_1_delete_correlation-CH2_2,Not known,tttr2xfcs,,12 February 2022 21:08:38,Equation 1B,1,Triplet Eq 2A,1,,0.001018,939.52409,-0.03597521778066392,,0.28740648712499717,,3.479392584361138,144.04430156072556,1,,12.8694775164314,,5,,0.5,,6.000794673350526,83.5242284678153
2022-02-10_tttr2xfcs_CH2_BIN1dot0_us_DiO LUV 10uM in 20 nM AF488116_T1391s_1_delete_correlation-CH2_2,Not known,tttr2xfcs,,12 February 2022 21:08:38,Equation 1B,1,Triplet Eq 2A,1,,0.001018,939.52409,-0.0198996348165064,,0.24650123064428,,4.05677487851197,128.77955704073364,1,,12.734924518428517,,5,,0.5,,4.659817834834249,112.11936252243741
2022-02-10_tttr2xfcs_CH2_BIN1dot0_us_DiO LUV 10uM in 20 nM AF488117_T1403s_1_delete_correlation-CH2_2,Not known,tttr2xfcs,,12 February 2022 21:08:38,Equation 1B,1,Triplet Eq 2A,1,,0.001018,939.52409,-0.03388782278285747,,0.282420707503071,,3.5408168502981536,159.29553500580403,1,,12.894947275632026,,5,,0.5,,2.862220651330313,197.07234268465615
2022-02-10_tttr2xfcs_CH2_BIN1dot0_us_DiO LUV 10uM in 20 nM AF488128_T1536s_1_delete_correlation-CH2_2,Not known,tttr2xfcs,,12 February 2022 21:08:38,Equation 1B,1,Triplet Eq 2A,1,,0.001018,939.52409,-0.03161749487362093,,0.14464894015847518,,6.913289505643216,72.56819978102723,1,,11.759542716688186,,5,,0.5,,3.794522434351519,132.21955548064403
