name_of_plot,master_file,parent_name,parent_uqid,time of fit,Diff_eq,Diff_species,Triplet_eq,Triplet_species,Dimen,xmin,xmax,offset,stdev(offset),GN0,stdev(GN0),N (FCS),cpm (kHz),A1,stdev(A1),txy1,stdev(txy1),AR1,stdev(AR1),alpha1,stdev(alpha1),N (mom),bri (kHz)
2022-02-10_tttr2xfcs_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF4884_T39s_1_correlation-CH2_2,Not known,tttr2xfcs,,12 February 2022 21:06:25,Equation 1B,1,Triplet Eq 2A,1,,0.001018,939.52409,0.0032141539949691617,,0.180127369547837,,5.55162717642655,94.08006020025601,1,,5.03945260124815,,5,,0.6092833593356839,,6.470131337926487,80.72843012224067
2022-02-10_tttr2xfcs_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF4887_T75s_1_correlation-CH2_2,Not known,tttr2xfcs,,12 February 2022 21:06:25,Equation 1B,1,Triplet Eq 2A,1,,0.001018,939.52409,0.0018800713835697095,,0.16802181288798218,,5.951608203791291,85.3209756791528,1,,3.284828355335586,,5,,0.5645005011883144,,7.416931884136346,68.46799027171768
2022-02-10_tttr2xfcs_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF4889_T106s_1_correlation-CH2_2,Not known,tttr2xfcs,,12 February 2022 21:06:25,Equation 1B,1,Triplet Eq 2A,1,,0.001018,939.52409,0.04447594904367638,,0.369593794550924,,2.70567313289189,213.96729826315766,1,,9.02860141586692,,5,,0.820065640278211,,2.5795615291824543,224.43912385442556
2022-02-10_tttr2xfcs_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF48814_T159s_1_correlation-CH2_2,Not known,tttr2xfcs,,12 February 2022 21:06:25,Equation 1B,1,Triplet Eq 2A,1,,0.001018,939.52409,-0.009845586807648979,,0.1501234385391287,,6.661185020348148,75.50405476729274,1,,4.83063336077041,,5,,0.5,,9.145628068780526,54.99585522766864
2022-02-10_tttr2xfcs_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF48823_T268s_1_correlation-CH2_2,Not known,tttr2xfcs,,12 February 2022 21:06:25,Equation 1B,1,Triplet Eq 2A,1,,0.001018,939.52409,-0.0075876957718876955,,0.21361162412488108,,4.68139317837583,111.26582018931444,1,,7.513843776117647,,5,,0.6208814676970731,,5.6274301650513205,92.56536145633959
2022-02-10_tttr2xfcs_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF48823_T287s_1_correlation-CH2_2,Not known,tttr2xfcs,,12 February 2022 21:06:25,Equation 1B,1,Triplet Eq 2A,1,,0.001018,939.52409,-0.0013092864756913403,,0.3815854055954255,,2.620645300727896,213.33235261394,1,,4.8103353974960825,,5,,1.0344253352202395,,2.845674811503627,196.4723415046846
2022-02-10_tttr2xfcs_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF48825_T292s_1_correlation-CH2_2,Not known,tttr2xfcs,,12 February 2022 21:06:25,Equation 1B,1,Triplet Eq 2A,1,,0.001018,939.52409,-0.04035343584286034,,0.27719941548572513,,3.6075112144365136,156.6198050390498,1,,24.853521540784193,,5,,0.5086143442603129,,4.773809488683417,118.36164964777767
2022-02-10_tttr2xfcs_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF48829_T341s_1_correlation-CH2_2,Not known,tttr2xfcs,,12 February 2022 21:06:25,Equation 1B,1,Triplet Eq 2A,1,,0.001018,939.52409,0.004376423921686034,,0.21511865202032246,,4.648597369908813,116.07672048947849,1,,6.5633827036862655,,5,,0.5783808942147469,,5.344055959419828,100.97591296121487
2022-02-10_tttr2xfcs_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF48829_T342s_1_correlation-CH2_2,Not known,tttr2xfcs,,12 February 2022 21:06:25,Equation 1B,1,Triplet Eq 2A,1,,0.001018,939.52409,-0.013015556138622476,,0.2198888512975901,,4.547752167055682,108.06463554287426,1,,6.1056725742841245,,5,,0.6554360399751153,,5.656176065177315,86.89187861736673
2022-02-10_tttr2xfcs_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF48832_T378s_1_correlation-CH2_2,Not known,tttr2xfcs,,12 February 2022 21:06:25,Equation 1B,1,Triplet Eq 2A,1,,0.001018,939.52409,0.0006980708590407084,,0.19015801515674044,,5.258784380851556,96.21788253231806,1,,6.894745977327387,,5,,0.6621383881504955,,6.063669973321157,83.45018871859035
