To be ignored?,Number,Name,Correlation,Effective Volume fl,Background,Diffusion Amplitude 1,Diffusion Time 1 µs,Diffusion Anomaly 1,Structural Parameter,Triplet Amplitude 1,Triplet Time 1 µs,Number Molecules,Concentration nM/l,Diffusion Coefficient 1 µm²/s,Lateral Focal Radius µm,Axial Focal Radius µm,χ²,Part
,1,T1  P1  R1,HyD 2,1,0.0000301865794194419,0.000165825884747778,843.118671897962,1,5,0.167499075749724,40,7243.74164771369,12028.5149399304,32.2791006240195,0.329940070001714,1.64970035000857,0.0200239745981752,1
,2,T1  P1  R1,HyD 2,1,0.0000108930279222198,0.000182948543215504,608.740102802795,1,5,0.134980113170035,40,6318.95048617568,10492.86322237,44.7072770840604,0.329940070001714,1.64970035000857,0.0196259565689523,1
,3,T1  P1  R1,HyD 2,1,0.0000197077044654736,0.00015271335397654,483.716814833885,1,5,0,40,6548.21581715522,10873.5672277048,56.2624899808993,0.329940070001714,1.64970035000857,0.0166993737761354,1
,4,T1  P1  R2,HyD 2,1,0.0000161762187343443,0.000176821794124236,565.271146400096,1,5,0.181682385328367,40,6911.0225097142,11476.02186151,48.1452354706272,0.329940070001714,1.64970035000857,0.0239530330698481,1
,5,T1  P1  R2,HyD 2,1,0.0000423900855504073,0.000175330350301017,594.762328489019,1,5,0.102006069476014,40,6351.4004896247,10546.7477160847,45.7579627097826,0.329940070001714,1.64970035000857,0.0278036867290884,1
,6,T1  P1  R2,HyD 2,1,0.0000251086224839852,0.00017142771821177,602.325528322344,1,5,0.102101417733801,40,6496.68290134366,10787.9948152855,45.1833953045062,0.329940070001714,1.64970035000857,0.0151575915322354,1
,7,T1  P1  R3,HyD 2,1,0.0000495373818666586,0.000175977192856285,698.154678556131,1,5,0.170633124941992,40,6851.67774657656,11377.4775725605,38.9814940500981,0.329940070001714,1.64970035000857,0.0401039243957588,1
,8,T1  P1  R3,HyD 2,1,0.000068753194815349,0.000181946758429454,657.530895900412,1,5,0.0671466959279019,40,5891.72304163581,9783.43542257841,41.3898610968175,0.329940070001714,1.64970035000857,0.0185860281995171,1
,9,T1  P1  R3,HyD 2,1,0.000118865822799432,0.000191188282106403,896.656888372757,1,5,0.208281974276081,40,6606.45066358402,10970.2684567602,30.3517575129252,0.329940070001714,1.64970035000857,0.0292047176996259,1
,10,T1  P1  R1,HyD 2,1,0.00001480157699672,0.000127359211567623,614.545950428575,1,5,0.0498160873479461,40,8263.46068026266,13721.7980819953,44.2849105574687,0.329940070001714,1.64970035000857,0.0146234213986142,1
