To be ignored?,Number,Name,Correlation,Effective Volume fl,Background,Diffusion Amplitude 1,Diffusion Time 1 µs,Diffusion Anomaly 1,Structural Parameter,Triplet Amplitude 1,Triplet Time 1 µs,Number Molecules,Concentration nM/l,Diffusion Coefficient 1 µm²/s,Lateral Focal Radius µm,Axial Focal Radius µm,χ²,Part
,1,T1  P1  R1,HyD 2,1,0.0000568852925998169,0.000154960851615747,626.561688704495,1,5,0.102441430109133,40,7189.77347736823,11938.8986925749,43.4356471817725,0.329940070001714,1.64970035000857,0.0577822010538522,1
,2,T1  P1  R1,HyD 2,1,0.0000238391191067601,0.000166221623835576,546.917185770031,1,5,0.144821659689657,40,7034.86530764344,11681.667647561,49.7609385045499,0.329940070001714,1.64970035000857,0.0745991039575648,1
,3,T1  P1  R1,HyD 2,1,-0.00000124594818966346,0.000171926411004183,1249.27001091548,1,5,0.172269150373325,40,7026.97261433368,11668.5615231284,21.7848120985794,0.329940070001714,1.64970035000857,0.0366941847776306,1
,4,T1  P1  R1,HyD 2,1,0.00000989965760492554,0.000177575683975241,765.874607620508,1,5,0.0845346968724638,40,6151.40916016849,10214.6543296537,35.5346843692057,0.329940070001714,1.64970035000857,0.0517511449690531,1
,5,T1  P1  R1,HyD 2,1,0.00000861408575211273,0.000190199663242387,657.45006165553,1,5,0.244674254816338,40,6960.74891734215,11558.5944967793,41.3949500280727,0.329940070001714,1.64970035000857,0.0620849516358781,1
,6,T1  P1  R1,HyD 2,1,0.0000054875072059761,0.000182193696586436,531.399303089387,1,5,0.168030627369733,40,6597.19488629182,10954.8988783221,51.2140537068151,0.329940070001714,1.64970035000857,0.103222424338656,1
,7,T1  P1  R1,HyD 2,1,0.0000236112715016946,0.000177088537089912,734.749430464224,1,5,0.116362717397288,40,6390.50999269407,10611.6905681136,37.0399912130441,0.329940070001714,1.64970035000857,0.0644199238164298,1
,8,T1  P1  R1,HyD 2,1,0.00000276956895206964,0.000168408615769289,616.775403215751,1,5,0.151221324684723,40,6995.86199918448,11616.9011358159,44.1248342691514,0.329940070001714,1.64970035000857,0.0587302000806757,1
,9,T1  P1  R1,HyD 2,1,0.0000163038647897498,0.000150536276910491,444.298591153226,1,5,0,40,6642.91704646448,11030.8223048425,61.2541047621694,0.329940070001714,1.64970035000857,0.0588544907068356,1
,10,T1  P1  R1,HyD 2,1,0.0000207576436884071,0.000143462323893046,554.556085388815,1,5,0,40,6970.47122104,11574.7387604717,49.0754914881201,0.329940070001714,1.64970035000857,0.0487553411709127,1
,11,T1  P1  R2,HyD 2,1,0.00001983206008518,0.000182051868946967,703.186043609409,1,5,0.263511546753367,40,7458.28398824426,12384.7708465908,38.7025776400376,0.329940070001714,1.64970035000857,0.0749177019947092,1
,12,T1  P1  R2,HyD 2,1,0.00000472380339887505,0.000208791761557633,710.412278445325,1,5,0.345065636628106,40,7312.88701915817,12143.3335204232,38.3088993165235,0.329940070001714,1.64970035000857,0.0560177645439802,1
,13,T1  P1  R2,HyD 2,1,0.0000087358676550381,0.000156625595740975,511.067109781214,1,5,0.0211766738679607,40,6522.78334663035,10831.3356205403,53.2515435396238,0.329940070001714,1.64970035000857,0.0969661395003298,1
,14,T1  P1  R2,HyD 2,1,0.0000229627546853762,0.00018587909005256,299.933042482898,1,5,0.0508305178605916,40,5667.9458956475,9411.84476202732,90.7372933068412,0.329940070001714,1.64970035000857,0.0939847421653671,1
,15,T1  P1  R2,HyD 2,1,0.0000211010867301078,0.00018961314446256,891.496705582399,1,5,0.194285919820818,40,6545.61724557895,10869.2521984634,30.5274402897595,0.329940070001714,1.64970035000857,0.0510592308206018,1
,16,T1  P1  R2,HyD 2,1,0.0000252357694100804,0.000142484479304422,590.400786920825,1,5,0.0131007697194919,40,7111.47405786624,11808.8794589976,46.0959962301569,0.329940070001714,1.64970035000857,0.0540687684498064,1
