,e24-HeLa-GFP-SNAP_c07_run36_T1P1R2_CH1_BIN1.0,e24-HeLa-GFP-SNAP_c07_run36_T1P1R3_uncorrupted_CH1_BIN1.0,e24-HeLa-GFP-SNAP_c04_run33_T1P1R1_CH1_BIN1.0,e24-HeLa-GFP-SNAP_c02_run30_T1P1R1_CH1_BIN1.0,e24-HeLa-GFP-SNAP_c07_run36_T1P1R1_CH1_BIN1.0
0,14485.0,14212.0,21088.0,14873.0,14354
1,14746.0,14284.0,21852.0,15236.0,14369
2,14686.0,14307.0,21798.0,15531.0,14530
3,14613.0,14441.0,21773.0,14880.0,14184
4,14346.0,14367.0,21760.0,14990.0,14441
5,14548.0,14434.0,21729.0,14963.0,14414
6,14982.0,14286.0,21684.0,15017.0,14612
7,14869.0,14137.0,21580.0,15221.0,14594
8,14527.0,14307.0,21802.0,15115.0,14652
9,14407.0,14261.0,22034.0,15099.0,14413
10,14258.0,14483.0,22011.0,15022.0,14417
11,14241.0,14442.0,21878.0,14758.0,14539
12,14420.0,14540.0,21638.0,14844.0,14387
13,14388.0,14421.0,21573.0,14957.0,14449
14,14267.0,14587.0,21744.0,15023.0,14365
15,14256.0,14568.0,21502.0,14960.0,14366
16,14313.0,14475.0,21870.0,15213.0,14185
17,14444.0,14546.0,22173.0,15253.0,14199
18,14809.0,14688.0,21435.0,15337.0,14333
19,14569.0,14883.0,21808.0,15379.0,14540
20,14746.0,14709.0,21610.0,15332.0,14275
21,14806.0,14613.0,21626.0,15311.0,14327
22,14660.0,14738.0,21950.0,15177.0,14428
23,14585.0,14474.0,21911.0,15156.0,14489
24,14429.0,14132.0,21695.0,15310.0,14254
25,14600.0,14146.0,21678.0,15348.0,14404
26,14577.0,14291.0,21786.0,15305.0,14254
27,14627.0,14310.0,21933.0,15253.0,14304
28,14634.0,14589.0,22015.0,15278.0,13958
29,14565.0,14445.0,21844.0,15281.0,14177
30,14507.0,14453.0,22076.0,15152.0,14120
31,14731.0,14258.0,22048.0,14931.0,14334
32,14629.0,14619.0,21789.0,14885.0,14277
33,14698.0,14380.0,21736.0,14884.0,14542
34,14534.0,14354.0,21968.0,14950.0,14198
35,14812.0,14418.0,21436.0,15285.0,14131
36,15021.0,14214.0,21602.0,15268.0,14260
37,14711.0,14376.0,21715.0,15326.0,14311
38,14754.0,14478.0,21998.0,15308.0,14464
39,14852.0,14397.0,21764.0,15366.0,14478
40,14593.0,14458.0,21532.0,15121.0,14575
41,14843.0,14582.0,21792.0,15459.0,14608
42,14665.0,14850.0,21775.0,15405.0,14481
43,14684.0,14277.0,21736.0,15346.0,14697
44,14444.0,14557.0,21912.0,15266.0,14485
45,14547.0,14619.0,21566.0,15541.0,14474
46,14437.0,14583.0,21843.0,15311.0,14356
47,14532.0,14588.0,21879.0,15284.0,14333
48,14816.0,14507.0,21951.0,15554.0,14547
49,14706.0,14442.0,21596.0,14976.0,14542
50,14820.0,14669.0,21962.0,15078.0,14384
51,14778.0,14731.0,21649.0,15046.0,14845
52,14604.0,14804.0,21856.0,15104.0,14482
53,14652.0,14974.0,21934.0,14945.0,14442
54,14641.0,14785.0,21931.0,15050.0,14449
55,14699.0,14848.0,21831.0,15130.0,14352
56,15116.0,14902.0,21888.0,15033.0,14463
57,14767.0,14702.0,21750.0,14786.0,14390
58,14830.0,14694.0,21841.0,14958.0,14562
59,14793.0,14529.0,21988.0,15046.0,14636
60,14497.0,14460.0,21719.0,15221.0,14283
61,14812.0,14488.0,21829.0,15037.0,14459
62,15196.0,14368.0,21637.0,15057.0,14417
63,14716.0,14373.0,21677.0,15281.0,14192
64,14777.0,14362.0,21799.0,14975.0,14241
65,14695.0,14328.0,21676.0,15174.0,14380
66,14657.0,14287.0,21998.0,15026.0,14235
67,14840.0,14411.0,21852.0,14960.0,14311
68,14792.0,14701.0,22079.0,15037.0,14237
69,14965.0,14451.0,22158.0,14943.0,14259
70,14566.0,14594.0,22413.0,15036.0,14225
71,14488.0,14452.0,22540.0,15085.0,14662
72,14666.0,14215.0,22306.0,15081.0,14308
73,14298.0,14172.0,21921.0,15235.0,14218
74,14538.0,14254.0,21849.0,15119.0,14287
75,14705.0,14179.0,21992.0,14730.0,14476
76,14770.0,14486.0,21784.0,15042.0,14336
77,14763.0,14699.0,21879.0,15134.0,14320
78,14834.0,14404.0,21894.0,15088.0,14566
79,14894.0,14482.0,22100.0,15198.0,14299
80,15017.0,14673.0,22093.0,15311.0,14576
81,14714.0,14655.0,21966.0,15182.0,14672
82,14968.0,14698.0,21918.0,15195.0,14783
83,14751.0,14033.0,22077.0,15172.0,14396
84,14807.0,14466.0,21966.0,15034.0,14546
85,14634.0,14287.0,21932.0,14922.0,14473
86,14903.0,14397.0,22002.0,15109.0,14587
87,14867.0,14622.0,22022.0,15053.0,14836
