Time (ms),2022-02-19_multipletau_CH2_BIN0dot001_us_eGFP1-5uW_T0s_1_correlation-CH2_2,2022-02-19_multipletau_CH2_BIN0dot001_us_eGFP1-5uW_T0s_1_correlation-CH2_2 fitted model: ,2022-02-19_multipletau_CH2_BIN0dot001_us_eGFP2-5uW_T25s_1_correlation-CH2_2,2022-02-19_multipletau_CH2_BIN0dot001_us_eGFP2-5uW_T25s_1_correlation-CH2_2 fitted model: ,2022-02-19_multipletau_CH2_BIN0dot001_us_eGFP3-5uW_T48s_1_correlation-CH2_2,2022-02-19_multipletau_CH2_BIN0dot001_us_eGFP3-5uW_T48s_1_correlation-CH2_2 fitted model: ,2022-02-19_multipletau_CH2_BIN0dot001_us_eGFP4-5uW_T69s_1_correlation-CH2_2,2022-02-19_multipletau_CH2_BIN0dot001_us_eGFP4-5uW_T69s_1_correlation-CH2_2 fitted model: ,2022-02-19_multipletau_CH2_BIN0dot001_us_eGFP5-5uW_T91s_1_correlation-CH2_2,2022-02-19_multipletau_CH2_BIN0dot001_us_eGFP5-5uW_T91s_1_correlation-CH2_2 fitted model: ,
0.001,0.05737585772022976,0.05486222381608627,0.056644543805271556,0.054199992286486594,0.05765146600578801,0.05437689148455895,0.05806046856464652,0.05417344617960434,0.056734929296806146,0.05475745733963949,
0.002,0.057715215835850216,0.05448323090606221,0.05712095795074918,0.05382697557574729,0.05750403068591581,0.054000373459380954,0.05643020669521433,0.053804126995054234,0.05738127554260486,0.05437946779407117,
0.003,0.05633828252145258,0.05410938884445627,0.057174267117859424,0.05345900421475246,0.05566894425580406,0.05362897661614545,0.056377789906668085,0.05343975160517088,0.056848217896373746,0.054006613829738224,
0.004,0.05568718910738564,0.053740593393115516,0.054819514757967,0.053095976585986915,0.05595315271147867,0.053262597237214736,0.05377576091254552,0.05308022145841306,0.05468845183189084,0.0536387915502157,
0.005,0.05493240418899421,0.05337674310762152,0.052625281572861005,0.05273779378256509,0.05370627911174505,0.05290113438686237,0.0545150822568436,0.05272544060531836,0.0556217720841434,0.053275899842782415,
0.006,0.05281093196095772,0.05301773924431816,0.05353560583681947,0.05238435951844802,0.05290589023091203,0.05254448981862404,0.054027378228106535,0.052375315613187104,0.05389426476627072,0.05291784028581133,
0.007,0.05442575142480538,0.052663485671027674,0.05247065877571052,0.05203558004220521,0.052380025903137346,0.05219256788632673,0.05173151494574637,0.05202975548410162,0.05423735079310093,0.0525645170598327,
0.008,0.05315947683939225,0.05231388878128544,0.05291291991821061,0.051691364054159535,0.05165276844166845,0.05184527545862676,0.05060895369589255,0.05168867157612877,0.05162308778767335,0.052215836862101225,
0.009000000000000001,0.05312996524315492,0.05196885741193268,0.05060407726439001,0.05135162262676116,0.05094728264044548,0.05150252183689648,0.052205897809043125,0.05135197752756345,0.05235030340912315,0.05187170882450703,
0.01,0.05107212228713554,0.05162830276391471,0.050677541958038495,0.051016269128044696,0.050965572267213405,0.051164218676307376,0.05193949742090893,0.05101958918407621,0.052180990074650165,0.051532044434678966,
0.011,0.0513702853195772,0.051292138326140206,0.049557725879523465,0.05068521914803123,0.04946801512997626,0.050830279909965505,0.050568267024928414,0.05069142452863645,0.051056239189925946,0.05119675746013607,
0.012,0.051114293939016696,0.05096027980226437,0.05053243696098021,0.050358390427943676,0.05076818980603689,0.05050062167596231,0.05052542286079497,0.05036740361408833,0.05048802702886823,0.050865763875350946,
0.013000000000000001,0.04981232180419605,0.05063264504026586,0.05023005192332445,0.05003570279211117,0.051368551607878565,0.0501751622472109,0.05091482293974745,0.05004744849826306,0.05014821565365532,0.05053898179159531,
0.014,0.04994146367275412,0.05030915396469378,0.048242022310147833,0.04971707808244357,0.04917568163221603,0.049853821963944715,0.0489395385246991,0.049731483181517,0.05026273316826337,0.05021633138944468,
0.015,0.04972043428935001,0.04998972851146747,0.04779216231429407,0.04940244009536413,0.049153862337170694,0.049536523168761136,0.04907125969708575,0.04941943354659042,0.04957978826654285,0.04989773485382545,
0.016,0.049715287179292855,0.04967429256511757,0.04860842620584953,0.04909171452109296,0.04897717385104626,0.049223190144099045,0.049920388501425536,0.04911122730068668,0.04922835092678949,0.04958311631149309,
0.018000000000000002,0.0486065995938442,0.04905509411391887,0.04790119377600548,0.048481712492191104,0.04812571230412684,0.048608127876364066,0.04741415302001251,0.0485060645943417,0.04895784863098269,0.048965519063907045,
0.02,0.04669279770099663,0.04845098641857135,0.04820500324758,0.04788651322477774,0.04779624356918299,0.0480080659846269,0.04807909585462901,0.047915451139352604,0.046863286484243705,0.048362969264747584,
0.022,0.046408427260336484,0.04786142482136282,0.04690323105921114,0.04730558472273188,0.0469434888940511,0.04742246270125007,0.04721715393839256,0.04733886883735945,0.04695180970683802,0.04777492397204498,
0.024,0.047104876718053086,0.04728589056281174,0.04656166080963614,0.0467384201800324,0.04567034074621267,0.046850802036891515,0.04470179386675974,0.046775823900093653,0.04595353629604908,0.047200866053305666,
0.026000000000000002,0.04542520332616596,0.04672388926044069,0.04496046247768079,0.04618453650725821,0.04429255785538169,0.04629259226530709,0.04449801865140303,0.04622584544007065,0.04623642520504364,0.046640302669915173,
0.028,0.04546692279306108,0.046174949493530446,0.04547994002208946,0.04564347296032357,0.04474874537287669,0.04574736451378366,0.04427042475847428,0.04568848415819944,0.04505726399084205,0.046092763867100914,
0.03,0.04441223141736019,0.04563862148533954,0.0436313847723247,0.04511478986326753,0.04522389198187347,0.04521467145071027,0.04487927805039518,0.045163311120621566,0.044577005875886255,0.04555780126097559,
0.032,0.04372057532462101,0.04511447587504733,0.0437862646188614,0.044598067417656505,0.043934315630792545,0.04469408606256631,0.042577732521842666,0.04464991661778082,0.043918102036009606,0.04503498681495212,
0.036000000000000004,0.0429381907336147,0.04410110968845031,0.042346663721511385,0.04359891808376841,0.04290754954971889,0.043687625079685925,0.042314533732868795,0.043656914179165444,0.042641235926575184,0.04402418522193135,
0.04,0.041471921118058606,0.04313178270113242,0.041491777005974374,0.04264302370973556,0.04187234478672194,0.04272493032855511,0.040967988316050225,0.042706544887786094,0.042198703148861136,0.04305730022734563,
0.044,0.040839690326899616,0.04220368746621201,0.04099538697594309,0.04172763718256374,0.040843441213858196,0.04180321007105446,0.04068770078156924,0.041796123047059715,0.04053146948280921,0.04213153289510522,
0.048,0.0406544083677681,0.04131425019207244,0.039819043371032814,0.04085023918360836,0.0388733612499176,0.040919905054954034,0.039190661962848004,0.040923183895803905,0.03969101943267406,0.04124431717942327,
