,DiO LUV 10uM in 20 nM AF48889_T1067s_1_CH2_BIN1.0,DiO LUV 10uM in 20 nM AF4885_T51s_1_CH2_BIN1.0,DiO LUV 10uM in 20 nM AF48899_T1187s_1_CH2_BIN1.0
0,751,446,722
1,790,452,942
2,1121,468,666
3,1069,444,666
4,1396,476,1482
5,1414,472,1214
6,825,479,577
7,2356,385,751
8,2280,395,734
9,931,486,581
10,1382,434,1961
11,1379,499,2345
12,1778,454,2403
13,1422,434,1971
14,1486,414,1376
15,1289,432,593
16,1631,406,651
17,1675,387,913
18,1415,364,988
19,1032,395,729
20,835,459,550
21,841,439,434
22,732,403,465
23,807,335,590
24,732,409,525
25,658,406,463
26,641,425,451
27,658,418,552
28,669,416,457
29,479,391,426
30,530,349,360
31,565,366,442
32,735,354,382
33,721,431,395
34,840,425,325
35,895,438,408
36,706,456,476
37,1021,413,465
38,912,373,416
39,763,422,517
40,628,384,493
41,688,393,461
42,660,417,402
43,632,421,467
44,539,436,438
45,852,372,437
46,962,452,459
47,678,376,415
48,624,410,425
49,586,464,507
50,543,437,400
51,538,431,507
52,587,355,495
53,613,405,440
54,763,428,397
55,722,422,427
56,716,390,405
57,732,467,376
58,875,489,530
59,798,454,474
60,646,416,405
61,493,397,484
62,578,476,538
63,625,408,433
64,620,375,428
65,671,527,496
66,978,396,459
67,743,421,488
68,561,440,449
69,558,394,377
70,588,436,453
71,573,439,453
72,572,421,379
73,705,363,376
74,1008,378,362
75,686,497,402
76,1056,450,538
77,1288,517,482
78,1303,452,533
79,1193,478,463
80,754,420,519
81,500,392,577
82,690,457,645
83,530,427,467
84,468,447,583
85,419,419,502
86,488,483,425
87,537,498,496
88,467,472,496
89,427,377,472
90,470,404,405
91,436,397,487
92,353,358,409
93,432,432,454
94,495,471,358
95,582,433,462
96,410,459,358
97,488,454,494
98,478,435,493
99,459,429,466
100,475,355,405
101,485,408,395
102,434,459,420
103,396,345,447
104,384,352,534
105,386,366,421
106,503,448,406
107,353,360,531
108,455,394,427
109,513,429,436
110,479,407,458
111,381,551,456
112,432,423,421
113,448,424,428
114,518,480,459
115,537,467,425
116,511,452,458
117,455,509,468
118,470,466,520
119,433,355,530
120,438,346,658
121,422,519,858
122,479,443,1258
123,366,436,1288
124,362,547,1202
125,388,482,776
126,493,514,735
127,425,487,582
128,535,403,824
129,487,396,1007
130,443,401,753
131,483,475,574
132,421,440,607
133,422,359,536
134,480,448,474
135,479,503,459
136,558,447,437
137,523,512,369
138,565,511,431
139,555,417,405
140,500,454,441
141,503,485,444
142,502,452,477
143,573,468,421
144,528,469,447
145,537,451,491
146,644,462,388
147,629,495,400
148,571,526,325
149,592,416,433
150,599,359,484
151,630,451,521
152,746,516,507
153,523,412,484
154,574,438,462
155,614,514,435
156,596,548,482
157,528,582,531
158,492,576,467
159,526,642,481
160,489,650,534
161,553,526,480
162,566,557,440
163,537,565,431
164,478,513,458
165,518,439,503
166,592,497,469
167,571,447,456
168,548,487,402
169,452,511,380
170,577,440,362
171,572,427,484
172,608,445,533
173,530,468,486
174,499,468,414
175,531,356,451
176,534,415,401
177,491,458,384
178,616,401,428
179,562,412,435
180,528,456,415
181,545,453,445
182,531,478,455
183,629,459,481
184,526,594,439
185,530,563,494
186,566,632,452
187,523,587,556
188,518,619,634
189,484,697,812
190,522,658,836
191,514,613,848
192,526,503,819
193,620,443,1104
194,602,538,1526
195,507,476,766
196,574,555,1023
197,514,624,863
198,556,632,698
199,459,587,690
200,433,499,846
201,565,550,894
202,527,587,580
203,564,584,587
204,511,516,662
205,644,558,651
206,543,575,686
207,481,581,626
208,609,578,514
209,520,457,569
210,488,463,559
211,615,482,637
212,596,468,691
213,616,518,549
214,486,488,566
215,506,580,505
216,528,518,456
217,546,551,468
218,522,480,420
219,589,411,522
220,570,446,470
221,577,466,603
222,456,454,480
223,537,500,452
224,436,495,651
225,474,489,700
226,512,511,597
227,539,596,377
228,454,569,345
229,464,475,365
230,470,470,434
231,547,402,368
232,571,423,449
233,695,459,416
234,667,499,587
235,545,387,492
236,536,393,452
237,504,450,443
238,532,488,417
239,561,499,403
240,521,507,396
241,467,450,373
242,553,507,427
243,453,484,386
244,552,534,446
245,576,471,516
246,587,493,518
247,553,496,421
248,545,434,491
249,511,482,469
250,506,546,414
251,483,544,373
252,514,541,416
253,471,652,453
254,497,542,537
255,587,579,538
256,494,797,492
257,638,574,405
258,573,465,447
259,406,452,426
260,441,420,428
261,480,558,439
262,499,510,397
263,494,394,450
264,472,484,413
265,467,512,415
266,464,420,486
267,503,502,390
268,501,531,530
269,517,462,490
270,512,469,531
271,453,462,472
272,388,471,464
273,470,509,449
274,512,454,502
275,554,516,502
276,587,481,516
277,609,481,636
278,512,432,837
279,538,414,795
280,438,482,715
281,492,450,763
282,459,570,803
283,529,636,668
284,493,433,522
285,553,457,613
286,549,491,438
287,452,579,503
288,425,548,537
289,461,634,475
290,451,574,469
291,570,489,497
292,462,505,470
293,533,480,415
294,654,625,472
295,494,507,423
296,486,512,404
297,533,433,516
298,523,506,471
299,562,508,487
300,546,530,497
301,457,555,399
302,471,568,473
303,501,473,501
304,544,490,437
305,497,523,432
306,557,525,423
307,483,401,458
308,477,395,408
309,545,435,393
310,554,415,438
311,594,418,409
312,589,423,394
313,634,443,465
314,522,464,400
315,570,809,414
316,485,1486,394
317,470,1275,385
318,446,1232,385
319,492,880,398
320,600,638,425
321,574,843,388
322,470,864,395
323,473,1063,452
324,428,676,460
325,488,743,371
326,447,903,382
327,536,1149,357
328,500,787,361
329,492,1409,386
330,461,1118,380
331,542,1123,405
332,476,900,549
333,423,851,622
334,403,548,429
335,441,483,399
336,479,475,357
337,456,475,354
338,472,562,344
339,512,949,384
340,460,1115,332
341,504,748,340
342,453,1103,389
343,423,1341,348
344,480,899,427
345,517,1053,421
346,538,774,396
347,447,580,308
348,487,481,427
349,510,474,466
350,489,544,420
351,469,514,352
352,487,473,351
353,496,489,411
354,569,441,393
355,457,506,343
356,558,448,402
357,419,487,342
358,469,452,358
