Time (ms),2022-02-02_tttr2xfcs_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF4885_T51s_1_correlation-CH2_2,2022-02-02_tttr2xfcs_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF4885_T51s_1_correlation-CH2_2 fitted model: ,2022-02-02_tttr2xfcs_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF48889_T1067s_1_correlation-CH2_2,2022-02-02_tttr2xfcs_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF48889_T1067s_1_correlation-CH2_2 fitted model: ,2022-02-02_tttr2xfcs_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF48899_T1187s_1_correlation-CH2_2,2022-02-02_tttr2xfcs_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF48899_T1187s_1_correlation-CH2_2 fitted model: ,
0.000001,-1, ,-1, ,-1, ,
0.000002,-1, ,-1, ,-1, ,
0.000003,-1, ,-1, ,-1, ,
0.000004,-1, ,-1, ,-1, ,
0.000005,-1, ,-1, ,-1, ,
0.000006,-1, ,-1, ,-1, ,
0.000008,-1, ,-1, ,-1, ,
0.00001,-1, ,-1, ,-1, ,
0.000012,-1, ,-1, ,-1, ,
0.000014,-1, ,-1, ,-1, ,
0.000016,-1, ,-1, ,-1, ,
0.000018,-1, ,-1, ,-1, ,
0.000022,-1, ,-1, ,-1, ,
0.000026,-1, ,-1, ,-1, ,
0.00003,-1, ,-1, ,-1, ,
0.000034,-1, ,-1, ,-1, ,
0.000038,-1, ,-1, ,-1, ,
0.000042,-1, ,-1, ,-1, ,
0.00005,-1, ,-1, ,-1, ,
0.000058,-1, ,-1, ,-1, ,
0.000066,-1, ,-1, ,-1, ,
0.000074,-0.6400507553563177, ,-0.6112574426351074, ,-0.6254212681512481, ,
0.000082,-0.7775946516679693, ,-0.765017900044217, ,-0.7739247168378154, ,
0.00009,-1, ,-1, ,-1, ,
0.000106,-0.05470607482634737, ,-0.12397720296023662, ,-0.0859803984035945, ,
0.000122,0.7236719675386694, ,0.6131203683135551, ,0.6708726888545182, ,
0.000138,0.31110130032408945, ,0.23385449629152433, ,0.26280702300993997, ,
0.000154,-0.08535952395035029, ,-0.14724717461374637, ,-0.11691678048642917, ,
0.00017,0.8835092945069749, ,0.7665335220602152, ,0.8290506390466201, ,
0.000186,0.0016580471193023971, ,-0.06734035686784123, ,-0.029384613525094472, ,
0.000218,0.4106894396116543, ,0.3108835845328093, ,0.36847886988458933, ,
0.00025,0.2529167064898534, ,0.1690806214656253, ,0.21155421728748913, ,
0.000282,0.22377863954207, ,0.14221347789563232, ,0.1793645478364727, ,
0.000314,0.2818208673659761, ,0.19372745345695308, ,0.24853716952002491, ,
0.000346,0.37094370478280125, ,0.2880105542449134, ,0.3341894093477227, ,
0.000378,0.2182358070272783, ,0.12899078373571515, ,0.1779573603143818, ,
0.000442,0.3133896704114021, ,0.22491122193946866, ,0.2710303797296132, ,
0.000506,0.2403614333729931, ,0.1553431784990449, ,0.1995600767321304, ,
0.00057,0.31781379237045804, ,0.22568649005061991, ,0.2760820200889622, ,
0.000634,0.24936221494641875, ,0.16287244490569108, ,0.21030647419083248, ,
0.000698,0.2969544074909458, ,0.21010703278656062, ,0.25866245326111326, ,
0.000762,0.2694334301748367, ,0.18480280085308465, ,0.23394853060920884, ,
0.00089,0.2778545020034833, ,0.19048386598626887, ,0.23589993553561173, ,
0.001018,0.2788232448796306,0.265610101815745,0.18963730554278047,0.17838013255038004,0.24177060942822282,0.22541331451733246,
0.001146,0.2797996155485114,0.26560603415843637,0.19169329032900428,0.17837360611044276,0.23954988947598355,0.22540845815192997,
0.001274,0.27791048805488816,0.26560196662933133,0.18842484112893287,0.17836708013175628,0.2371285336757032,0.22540360198839585,
0.001402,0.27781134343199554,0.2655978992284238,0.19134910874203093,0.17836055461427175,0.2370735808053528,0.22539874602671753,
0.00153,0.27515181127443,0.26559383195570785,0.19023896241599925,0.1783540295579403,0.23738142142829322,0.22539389026688245,
0.001786,0.27594894572843653,0.26558569779482616,0.18949475047791653,0.17834098082854127,0.23835714776617611,0.22538417935269145,
0.002042,0.2763608779084885,0.2655775641466377,0.1911491698619625,0.17832793394316845,0.23549743212538865,0.2253744692457225,
0.002298,0.27595409625791456,0.26556943101109404,0.191149200366993,0.17831488890143127,0.23702834249196192,0.22536475994587477,
0.002554,0.27679572611287484,0.26556129838814685,0.18811954378864781,0.17830184570293903,0.23528724006058388,0.2253550514530478,
0.00281,0.274832879536711,0.2655531662777476,0.18659852861480863,0.17828880434730138,0.23465650565082719,0.22534534376714105,
0.003066,0.27708564674337777,0.265545034679848,0.18831031678803223,0.17827576483412808,0.23884515371405524,0.22533563688805391,
0.003578,0.27603816510187906,0.2655287730213537,0.18702810975371031,0.17824969133361365,0.23541242043797994,0.22531622554993652,
0.00409,0.27562696651494867,0.26551251341227666,0.1873398221378273,0.17822362519827536,0.23510259752174822,0.2252968174378917,
0.004602,0.2739686273988642,0.2654962558522297,0.1865188903021664,0.1781975664249948,0.2342451486189916,0.2252774125511157,
0.005114,0.27242470467721214,0.2654800003408257,0.18680346884487742,0.17817151501065512,0.23451318439614033,0.22525801088880507,
0.005626,0.2746698772126632,0.2654637468776778,0.18482198342844902,0.17814547095214128,0.2323591603659092,0.22523861245015667,
0.006138,0.27281448702293476,0.265447495462399,0.18514144829201395,0.17811943424634014,0.2334043165883879,0.22521921723436752,
0.007162,0.273235098362431,0.26541499877390173,0.1841686272601306,0.17806738288043156,0.2323596932710139,0.22518043646815689,
0.008186,0.27252997757892605,0.2653825102722408,0.18346559407884588,0.17801536088805836,0.23196851073049296,0.2251416685837551,
0.00921,0.2715690083953999,0.2653500299543246,0.18349556255616495,0.17796336824437778,0.23045321709979016,0.2251029135747485,
0.010234,0.27056259018979234,0.2653175578170631,0.18292199644225615,0.177911404924575,0.23080960940866335,0.22506417143472765,
0.011258,0.2700014431810822,0.26528509385736787,0.18086265734719542,0.17785947090386306,0.22997249248464535,0.22502544215728731,
0.012282,0.26957823168105977,0.2652526380721518,0.18224815602270383,0.17780756615748308,0.22997880246055513,0.22498672573602654,
