name_of_plot,master_file,parent_name,parent_uqid,time of fit,Diff_eq,Diff_species,Triplet_eq,Triplet_species,Dimen,xmin,xmax,offset,stdev(offset),GN0,stdev(GN0),N (FCS),A1,stdev(A1),A2,stdev(A2),txy1,stdev(txy1),txy2,stdev(txy2),alpha1,stdev(alpha1),alpha2,stdev(alpha2)
0cd20,Not known,average_data,average_data,Thu May 12 11:14:12 2022,Equation 1A,2,no triplet,1,2D,1.0,8192.0,-0.002576,None,0.045191,None,22.12829988272001,1.0,None,0.0,None,96.192376,None,1.0,None,1.0,None,1.0,None
dirty,Not known,average_data,average_data,Thu May 12 11:14:12 2022,Equation 1A,2,no triplet,1,2D,1.0,8192.0,-0.020206,None,0.419553,None,2.3834890943456486,0.719009,None,0.280991,None,138.387666,None,12.819032,None,1.0,None,1.0,None
19e3e,Not known,average_data,average_data,Thu May 12 11:15:04 2022,Equation 1A,2,no triplet,1,2D,1.0,8192.0,-0.00275,None,0.04382,None,22.820629849383845,1.0,None,0.0,None,102.14043,None,1.0,None,1.0,None,1.0,None
34a6d,Not known,average_data,average_data,Thu May 12 11:14:12 2022,Equation 1A,2,no triplet,1,2D,1.0,8192.0,-0.002905,None,0.046974,None,21.288372291054625,0.999986,None,1.4e-05,None,109.678065,None,1.001057,None,1.0,None,1.0,None
484af,Not known,average_data,average_data,Thu May 12 11:14:12 2022,Equation 1A,2,no triplet,1,2D,1.0,8192.0,-0.002499,None,0.045208,None,22.119978764820388,0.959838,None,0.040162,None,95.897595,None,16.733899,None,1.0,None,1.0,None
714af,Not known,average_data,average_data,Thu May 12 11:15:41 2022,Equation 1A,2,no triplet,1,2D,1.0,8192.0,-0.002521,None,0.044301,None,22.572853885916796,1.0,None,0.0,None,94.352161,None,1.0,None,1.0,None,1.0,None
34766,Not known,average_data,average_data,Thu May 12 11:14:12 2022,Equation 1A,2,no triplet,1,2D,1.0,8192.0,-0.004237,None,0.054182,None,18.456313904986896,0.617464,None,0.382536,None,197.857595,None,63.298976,None,1.0,None,1.0,None
c1204,Not known,average_data,average_data,Thu May 12 11:16:28 2022,Equation 1A,2,no triplet,1,2D,1.0,8192.0,-0.005214,None,0.051014,None,19.602462069235898,0.754558,None,0.245442,None,84.127941,None,650.562361,None,1.0,None,1.0,None
fe81d,Not known,average_data,average_data,Thu May 12 11:14:12 2022,Equation 1A,2,no triplet,1,2D,1.0,8192.0,-0.002581,None,0.043895,None,22.781637999772183,0.965887,None,0.034113,None,101.353818,None,0.831682,None,1.0,None,1.0,None
ff67b,Not known,average_data,average_data,Thu May 12 11:14:12 2022,Equation 1A,2,no triplet,1,2D,1.0,8192.0,-0.002598,None,0.045171,None,22.138097451904983,0.945796,None,0.054204,None,100.836039,None,5.141259,None,1.0,None,1.0,None
