name_of_plot,master_file,parent_name,parent_uqid,time of fit,Diff_eq,Diff_species,Triplet_eq,Triplet_species,Dimen,xmin,xmax,offset,stdev(offset),GN0,stdev(GN0),N (FCS),cpm (kHz),A1,stdev(A1),A2,stdev(A2),txy1,stdev(txy1),txy2,stdev(txy2),alpha1,stdev(alpha1),alpha2,stdev(alpha2),N (mom),bri (kHz),above zero
2022-04-25_multipletau_0cd20_0dot069-0dot01_2675_correlation-CH1_1,Not known,0cd20_0dot069-0dot01,0,Wed May  4 11:27:52 2022,Equation 1A,2,no triplet,1,2D,1.0,4096.0,-0.137511,None,0.432843,None,2.310306508364465,0.432843,0.108055,None,0.891945,None,1977.969505,None,480.015902,None,1.0,None,1.0,None,1.0,1.0,0.8
2022-04-25_multipletau_0cd20_0dot069-0dot01_2674_correlation-CH1_1,Not known,0cd20_0dot069-0dot01,0,Wed May  4 11:27:52 2022,Equation 1A,2,no triplet,1,2D,1.0,8192.0,-0.018039,None,0.105947,None,9.43868160495342,0.105947,0.857234,None,0.142766,None,309.390538,None,30.23064,None,1.0,None,1.0,None,1.0,1.0,0.8295454545454546
2022-04-25_multipletau_0cd20_0dot069-0dot01_2658_correlation-CH1_1,Not known,0cd20_0dot069-0dot01,0,Wed May  4 11:27:52 2022,Equation 1A,2,no triplet,1,2D,1.0,7168.0,-0.031396305578476724,None,0.15430057785488038,None,6.480857129002456,0.15430057785488038,0.9880939396525676,None,0.011906060347432357,None,299.1567925340697,None,515.6452502982316,None,1.0,None,1.0,None,1.0,1.0,0.8372093023255814
2022-04-25_multipletau_0cd20_0dot069-0dot01_2655_correlation-CH1_1,Not known,0cd20_0dot069-0dot01,0,Wed May  4 11:27:52 2022,Equation 1A,2,no triplet,1,2D,1.0,4096.0,-0.012205979288736013,None,0.10759190738784079,None,9.294379329062926,0.10759190738784077,0.9966574195284874,None,0.0033425804715125906,None,86.30694485287987,None,87.52480151251584,None,1.0,None,1.0,None,1.0,1.0,0.7375
2022-04-25_multipletau_0cd20_0dot069-0dot01_2644_correlation-CH1_1,Not known,0cd20_0dot069-0dot01,0,Wed May  4 11:27:51 2022,Equation 1A,2,no triplet,1,2D,1.0,4096.0,-0.026812909348353897,None,0.13700235396398106,None,7.299144657491852,0.13700235396398106,0.9789248801999646,None,0.021075119800035402,None,317.4835996104555,None,1.9395194975154393,None,1.0,None,1.0,None,1.0,1.0,0.85
2022-04-25_multipletau_0cd20_0dot069-0dot01_2638_correlation-CH1_1,Not known,0cd20_0dot069-0dot01,0,Wed May  4 11:27:51 2022,Equation 1A,2,no triplet,1,2D,1.0,4096.0,-0.16160966103459384,None,0.24334764637341008,None,4.109347326357652,0.24334764637341008,0.9442006793683035,None,0.05579932063169646,None,1990.082896918756,None,1398.6613915523833,None,1.0,None,1.0,None,1.0,1.0,0.8625
2022-04-25_multipletau_0cd20_0dot069-0dot01_2637_correlation-CH1_1,Not known,0cd20_0dot069-0dot01,0,Wed May  4 11:27:51 2022,Equation 1A,2,no triplet,1,2D,1.0,4096.0,-0.3328787498426521,None,0.5938030159002964,None,1.6840601566899196,0.5938030159002964,0.0016713818186190332,None,0.998328618181381,None,1.433267771060777,None,1435.8964400837344,None,1.0,None,1.0,None,1.0,1.0,0.7875
2022-04-25_multipletau_0cd20_0dot069-0dot01_2636_correlation-CH1_1,Not known,0cd20_0dot069-0dot01,0,Wed May  4 11:27:51 2022,Equation 1A,2,no triplet,1,2D,1.0,7168.0,-0.05313112857563995,None,0.4203252505893747,None,2.379109983513512,0.42032525058937464,0.6928132863762322,None,0.3071867136237678,None,265.7212871242345,None,0.2635305669456785,None,1.0,None,1.0,None,1.0,1.0,0.7558139534883721
2022-04-25_multipletau_0cd20_0dot069-0dot01_2633_correlation-CH1_1,Not known,0cd20_0dot069-0dot01,0,Wed May  4 11:27:51 2022,Equation 1A,2,no triplet,1,2D,1.0,8192.0,-0.046352,None,0.117992,None,8.475150857685266,0.11799200000000001,0.603058,None,0.396942,None,906.545061,None,1898.629409,None,1.0,None,1.0,None,1.0,1.0,0.7840909090909091
name_of_plot,master_file,parent_name,parent_uqid,time of fit,Diff_eq,Diff_species,Triplet_eq,Triplet_species,Dimen,xmin,xmax,offset,stdev(offset),GN0,stdev(GN0),N (FCS),cpm (kHz),A1,stdev(A1),A2,stdev(A2),txy1,stdev(txy1),txy2,stdev(txy2),alpha1,stdev(alpha1),alpha2,stdev(alpha2),N (mom),bri (kHz),above zero
2022-04-25_multipletau_0cd20_0dot069-0dot1_1612_correlation-CH1_1,Not known,0cd20_0dot069-0dot1,0,Wed May  4 11:41:13 2022,Equation 1A,2,no triplet,1,2D,1.0,8192.0,-0.003152,None,0.070302,None,14.22434639128332,0.070302,1.0,None,0.0,None,174.613384,None,0.01,None,1.0,None,1.0,None,1.0,1.0,0.7272727272727273
2022-04-25_multipletau_0cd20_0dot069-0dot1_1615_correlation-CH1_1,Not known,0cd20_0dot069-0dot1,0,Wed May  4 11:40:35 2022,Equation 1A,2,no triplet,1,2D,1.0,8192.0,-0.014158,None,0.104236,None,9.593614490195327,0.104236,0.318458,None,0.681542,None,26.278408,None,547.539913,None,1.0,None,1.0,None,1.0,1.0,0.8636363636363636
2022-04-25_multipletau_0cd20_0dot069-0dot1_1620_correlation-CH1_1,Not known,0cd20_0dot069-0dot1,0,Wed May  4 11:42:54 2022,Equation 1A,2,no triplet,1,2D,1.0,8192.0,-0.011324,None,0.09,None,11.11111111111111,0.09,1.0,None,0.0,None,116.52196,None,0.01019,None,1.0,None,1.0,None,1.0,1.0,0.8068181818181818
2022-04-25_multipletau_0cd20_0dot069-0dot1_1640_correlation-CH1_1,Not known,0cd20_0dot069-0dot1,0,Wed May  4 11:43:40 2022,Equation 1A,2,no triplet,1,2D,1.0,8192.0,-0.004493,None,0.103292,None,9.681291871587344,0.10329200000000001,0.887942,None,0.112058,None,106.626026,None,6.640966,None,1.0,None,1.0,None,1.0,1.0,0.8522727272727273
2022-04-25_multipletau_0cd20_0dot069-0dot1_1643_correlation-CH1_1,Not known,0cd20_0dot069-0dot1,0,Wed May  4 11:44:57 2022,Equation 1A,2,no triplet,1,2D,1.0,8192.0,-0.050651,None,0.168242,None,5.9438190225984,0.168242,0.786134,None,0.213866,None,1999.958604,None,18.311918,None,1.0,None,1.0,None,1.0,1.0,0.9090909090909091
2022-04-25_multipletau_0cd20_0dot069-0dot1_1648_correlation-CH1_1,Not known,0cd20_0dot069-0dot1,0,Wed May  4 11:35:32 2022,Equation 1A,2,no triplet,1,2D,1.0,8192.0,0.006932,None,0.28438,None,3.5164216892889795,0.28438,0.912505,None,0.087495,None,41.395178,None,0.011705,None,1.0,None,1.0,None,1.0,1.0,0.8409090909090909
2022-04-25_multipletau_0cd20_0dot069-0dot1_1657_correlation-CH1_1,Not known,0cd20_0dot069-0dot1,0,Wed May  4 11:45:48 2022,Equation 1A,2,no triplet,1,2D,1.0,8192.0,-0.003152,None,0.1,None,10.0,0.1,1.0,None,0.0,None,174.613384,None,0.01,None,1.0,None,1.0,None,1.0,1.0,0.7386363636363636
2022-04-25_multipletau_0cd20_0dot069-0dot1_1661_correlation-CH1_1,Not known,0cd20_0dot069-0dot1,0,Wed May  4 11:35:33 2022,Equation 1A,2,no triplet,1,2D,1.0,8192.0,-0.013877,None,0.13978,None,7.154099298898269,0.13978,0.950196,None,0.049804,None,263.126408,None,1.542075,None,1.0,None,1.0,None,1.0,1.0,0.8977272727272727
2022-04-25_multipletau_0cd20_0dot069-0dot1_1666_correlation-CH1_1,Not known,0cd20_0dot069-0dot1,0,Wed May  4 11:46:32 2022,Equation 1A,2,no triplet,1,2D,1.0,8192.0,-0.007,None,0.129835,None,7.7020834135633685,0.129835,0.996085,None,0.003915,None,63.543179,None,63.530561,None,1.0,None,1.0,None,1.0,1.0,0.8068181818181818
2022-04-25_multipletau_0cd20_0dot069-0dot1_1670_correlation-CH1_1,Not known,0cd20_0dot069-0dot1,0,Wed May  4 11:46:49 2022,Equation 1A,2,no triplet,1,2D,1.0,8192.0,-0.003152,None,0.070302,None,14.22434639128332,0.070302,1.0,None,0.0,None,174.613384,None,0.01,None,1.0,None,1.0,None,1.0,1.0,0.7613636363636364
