name_of_plot,master_file,parent_name,parent_uqid,time of fit,Diff_eq,Diff_species,Triplet_eq,Triplet_species,Dimen,xmin,xmax,offset,stdev(offset),GN0,stdev(GN0),N (FCS),cpm (kHz),A1,stdev(A1),txy1,stdev(txy1),alpha1,stdev(alpha1),N (mom),bri (kHz),above zero
2022-04-25_multipletau_0cd20_0dot069-0dot01_2600_correlation-CH1_1,Not known,0cd20_0dot069-0dot01,0,Thu Jul 21 14:47:01 2022,Equation 1A,1,no triplet,1,2D,1.0,8192.0,-0.001696,0.00017361552358917024,0.026615,0.0002604546101732457,37.572797294758594,0.026615,1.0,0,100.916751,4.240726826204577,1.0,0,1.0,1.0,0.8181818181818182
2022-04-25_multipletau_0cd20_0dot069-0dot01_2601_correlation-CH1_1,Not known,0cd20_0dot069-0dot01,0,Thu Jul 21 14:47:01 2022,Equation 1A,1,no triplet,1,2D,1.0,8192.0,-0.0018830243039434924,0.00034010302684431217,0.028253203286262383,0.0005911535437947071,35.39421671475504,0.028253203286262383,1.0,0,71.89473550586939,6.1295396484389135,1.0,0,1.0,1.0,0.8068181818181818
2022-04-25_multipletau_0cd20_0dot069-0dot01_2602_correlation-CH1_1,Not known,0cd20_0dot069-0dot01,0,Thu Jul 21 14:47:01 2022,Equation 1A,1,no triplet,1,2D,1.0,8192.0,-0.004127025574197307,0.0004993987363785482,0.02925342470019385,0.0005531322411866798,34.18403179281,0.02925342470019385,1.0,0,268.35940075589656,22.620994442281418,1.0,0,1.0,1.0,0.8068181818181818
2022-04-25_multipletau_0cd20_0dot069-0dot01_2603_correlation-CH1_1,Not known,0cd20_0dot069-0dot01,0,Thu Jul 21 14:47:01 2022,Equation 1A,1,no triplet,1,2D,1.0,8192.0,-0.0043011289100665095,0.0006305611752053431,0.051089725556341975,0.0009049966916232616,19.573407159864182,0.05108972555634197,1.0,0,112.96538421185176,8.707524821224665,1.0,0,1.0,1.0,0.8181818181818182
2022-04-25_multipletau_0cd20_0dot069-0dot01_2604_correlation-CH1_1,Not known,0cd20_0dot069-0dot01,0,Thu Jul 21 14:47:01 2022,Equation 1A,1,no triplet,1,2D,1.0,8192.0,-0.0021429410016926553,0.0002617266185199818,0.029183877767798582,0.00035801613747406453,34.2654943923661,0.029183877767798582,1.0,0,128.64225385929475,6.9542345872069795,1.0,0,1.0,1.0,0.8295454545454546
2022-04-25_multipletau_0cd20_0dot069-0dot01_2605_correlation-CH1_1,Not known,0cd20_0dot069-0dot01,0,Thu Jul 21 14:47:01 2022,Equation 1A,1,no triplet,1,2D,1.0,8192.0,-0.0018669777910103047,0.0003993069441573518,0.027691194684086987,0.0004764166044632096,36.112562545907764,0.02769119468408699,1.0,0,198.41286530871344,15.336403425742699,1.0,0,1.0,1.0,0.8409090909090909
2022-04-25_multipletau_0cd20_0dot069-0dot01_2606_correlation-CH1_1,Not known,0cd20_0dot069-0dot01,0,Thu Jul 21 14:47:01 2022,Equation 1A,1,no triplet,1,2D,1.0,8192.0,-0.0017534004162940153,0.0003216359680219701,0.0319162378029644,0.0004550029627703284,31.33201369702538,0.0319162378029644,1.0,0,117.35844286879313,7.30958147157818,1.0,0,1.0,1.0,0.8636363636363636
2022-04-25_multipletau_0cd20_0dot069-0dot01_2607_correlation-CH1_1,Not known,0cd20_0dot069-0dot01,0,Thu Jul 21 14:47:01 2022,Equation 1A,1,no triplet,1,2D,1.0,8192.0,-0.004336133684308852,0.0006075774045562008,0.04135101694268992,0.0007897663692885605,24.183202105668677,0.04135101694268992,1.0,0,149.29848515639904,12.699011434596974,1.0,0,1.0,1.0,0.8068181818181818
2022-04-25_multipletau_0cd20_0dot069-0dot01_2608_correlation-CH1_1,Not known,0cd20_0dot069-0dot01,0,Thu Jul 21 14:47:01 2022,Equation 1A,1,no triplet,1,2D,1.0,4096.0,-0.005003265040085747,0.001214635266569345,0.07678361780991182,0.0016205973583630715,13.02361139684294,0.07678361780991182,1.0,0,94.52106565813108,8.724531756896754,1.0,0,1.0,1.0,0.8125
2022-04-25_multipletau_0cd20_0dot069-0dot01_2609_correlation-CH1_1,Not known,0cd20_0dot069-0dot01,0,Thu Jul 21 14:47:01 2022,Equation 1A,1,no triplet,1,2D,1.0,8192.0,-0.0030523849924789515,0.0004309814390417496,0.03308275838065046,0.0005235597976432655,30.22722556849682,0.03308275838065046,1.0,0,186.06721653217008,13.220833670120872,1.0,0,1.0,1.0,0.8863636363636364
2022-04-25_multipletau_0cd20_0dot069-0dot01_2610_correlation-CH1_1,Not known,0cd20_0dot069-0dot01,0,Thu Jul 21 14:47:01 2022,Equation 1A,1,no triplet,1,2D,1.0,8192.0,-0.008762673236835994,0.0014782544965966605,0.07049981565390931,0.0016127446216779627,14.184434253120614,0.07049981565390931,1.0,0,288.08077370853795,29.25297388401679,1.0,0,1.0,1.0,0.8181818181818182
2022-04-25_multipletau_0cd20_0dot069-0dot01_2611_correlation-CH1_1,Not known,0cd20_0dot069-0dot01,0,Thu Jul 21 14:47:01 2022,Equation 1A,1,no triplet,1,2D,1.0,8192.0,-0.0017991458874696553,0.00036271433227979524,0.023264561492641746,0.0005111201199903487,42.98383188164909,0.023264561492641746,1.0,0,118.59441598035028,11.394872520932134,1.0,0,1.0,1.0,0.7954545454545454
2022-04-25_multipletau_0cd20_0dot069-0dot01_2612_correlation-CH1_1,Not known,0cd20_0dot069-0dot01,0,Thu Jul 21 14:47:01 2022,Equation 1A,1,no triplet,1,2D,1.0,8192.0,-0.00576709044448942,0.001200558532349572,0.04597135861130023,0.0012306205113462312,21.752674495771586,0.04597135861130023,1.0,0,411.1532265210669,47.08059291379094,1.0,0,1.0,1.0,0.8636363636363636
2022-04-25_multipletau_0cd20_0dot069-0dot01_2613_correlation-CH1_1,Not known,0cd20_0dot069-0dot01,0,Thu Jul 21 14:47:01 2022,Equation 1A,1,no triplet,1,2D,1.0,8192.0,-0.008192649199510793,0.0011365031358928272,0.03983333501463048,0.0011662947900260333,25.104601450837787,0.03983333501463048,1.0,0,407.9642797592222,51.15017610572062,1.0,0,1.0,1.0,0.8181818181818182
2022-04-25_multipletau_0cd20_0dot069-0dot01_2614_correlation-CH1_1,Not known,0cd20_0dot069-0dot01,0,Thu Jul 21 14:47:01 2022,Equation 1A,1,no triplet,1,2D,1.0,8192.0,-0.0034266921972831987,0.00029631312719287926,0.03268842889794433,0.00038906466638338386,30.591864880446636,0.03268842889794433,1.0,0,144.83619796501247,7.662990247046192,1.0,0,1.0,1.0,0.7613636363636364
2022-04-25_multipletau_0cd20_0dot069-0dot01_2615_correlation-CH1_1,Not known,0cd20_0dot069-0dot01,0,Thu Jul 21 14:47:01 2022,Equation 1A,1,no triplet,1,2D,1.0,8192.0,-0.0031634944079004246,0.00044569352182780914,0.03419682756442925,0.00056538574734427,29.242478651445925,0.03419682756442925,1.0,0,161.0580464639922,11.905008193029731,1.0,0,1.0,1.0,0.8409090909090909
2022-04-25_multipletau_0cd20_0dot069-0dot01_2616_correlation-CH1_1,Not known,0cd20_0dot069-0dot01,0,Thu Jul 21 14:47:01 2022,Equation 1A,1,no triplet,1,2D,1.0,8192.0,-0.0035593130235370696,0.0005515322854567521,0.034900561073399734,0.0007248051013911391,28.652834488731845,0.034900561073399734,1.0,0,144.48111052177887,13.334741621260864,1.0,0,1.0,1.0,0.8295454545454546
2022-04-25_multipletau_0cd20_0dot069-0dot01_2617_correlation-CH1_1,Not known,0cd20_0dot069-0dot01,0,Thu Jul 21 14:47:01 2022,Equation 1A,1,no triplet,1,2D,1.0,8192.0,-0.001552945585955423,0.0003530320766990903,0.02502409736396807,0.0005591765610512048,39.9614813455725,0.02502409736396807,1.0,0,88.54951257727556,8.344247167542315,1.0,0,1.0,1.0,0.8068181818181818
2022-04-25_multipletau_0cd20_0dot069-0dot01_2618_correlation-CH1_1,Not known,0cd20_0dot069-0dot01,0,Thu Jul 21 14:47:01 2022,Equation 1A,1,no triplet,1,2D,1.0,8192.0,-0.0017199156209020128,0.0005605163461556765,0.03426707561805408,0.0006594776494496638,29.18253110204526,0.03426707561805408,1.0,0,208.97729856246355,18.067424465928262,1.0,0,1.0,1.0,0.875
2022-04-25_multipletau_0cd20_0dot069-0dot01_2619_correlation-CH1_1,Not known,0cd20_0dot069-0dot01,0,Thu Jul 21 14:47:01 2022,Equation 1A,1,no triplet,1,2D,1.0,8192.0,-0.004344753891721398,0.0006707081372844639,0.03614108460471266,0.0008853438978879508,27.66934116497444,0.03614108460471266,1.0,0,142.55195323829227,15.507810344340161,1.0,0,1.0,1.0,0.7727272727272727
2022-04-25_multipletau_0cd20_0dot069-0dot01_2620_correlation-CH1_1,Not known,0cd20_0dot069-0dot01,0,Thu Jul 21 14:47:01 2022,Equation 1A,1,no triplet,1,2D,1.0,8192.0,-0.0036452023566753144,0.00044874948323862806,0.03246185871411397,0.0005996095796312896,30.80538329018152,0.03246185871411397,1.0,0,137.57699829963212,11.255986039352898,1.0,0,1.0,1.0,0.75
2022-04-25_multipletau_0cd20_0dot069-0dot01_2621_correlation-CH1_1,Not known,0cd20_0dot069-0dot01,0,Thu Jul 21 14:47:01 2022,Equation 1A,1,no triplet,1,2D,1.0,8192.0,-0.0034276367960176524,0.00043115844248857037,0.03095725680210167,0.0005494094599285949,32.302603760812254,0.030957256802101665,1.0,0,158.80363744809574,12.591315119059566,1.0,0,1.0,1.0,0.7386363636363636
2022-04-25_multipletau_0cd20_0dot069-0dot01_2622_correlation-CH1_1,Not known,0cd20_0dot069-0dot01,0,Thu Jul 21 14:47:01 2022,Equation 1A,1,no triplet,1,2D,1.0,8192.0,-0.001503459952634123,0.0003119172306786364,0.02485741189429218,0.00045644270543106474,40.22944964071752,0.02485741189429218,1.0,0,107.42899103244034,8.536005400380686,1.0,0,1.0,1.0,0.8295454545454546
2022-04-25_multipletau_0cd20_0dot069-0dot01_2623_correlation-CH1_1,Not known,0cd20_0dot069-0dot01,0,Thu Jul 21 14:47:01 2022,Equation 1A,1,no triplet,1,2D,1.0,8192.0,-0.0067305161088312415,0.0009088161034313289,0.046645038497932105,0.0010057785849409136,21.438507335444317,0.046645038497932105,1.0,0,269.3048767992223,25.88444464199192,1.0,0,1.0,1.0,0.8181818181818182
2022-04-25_multipletau_0cd20_0dot069-0dot01_2624_correlation-CH1_1,Not known,0cd20_0dot069-0dot01,0,Thu Jul 21 14:47:01 2022,Equation 1A,1,no triplet,1,2D,1.0,8192.0,-0.007460011463270133,0.0009492329563739183,0.04492057695483026,0.0010102996730772442,22.261512825303797,0.04492057695483026,1.0,0,327.0948413676066,32.317928423366865,1.0,0,1.0,1.0,0.8295454545454546
2022-04-25_multipletau_0cd20_0dot069-0dot01_2625_correlation-CH1_1,Not known,0cd20_0dot069-0dot01,0,Thu Jul 21 14:47:01 2022,Equation 1A,1,no triplet,1,2D,1.0,8192.0,-0.001296678618636582,0.00026042903929000144,0.024492327205600083,0.0004164120389327633,40.82911319963721,0.024492327205600083,1.0,0,86.61744485664336,6.190024300540388,1.0,0,1.0,1.0,0.8522727272727273
2022-04-25_multipletau_0cd20_0dot069-0dot01_2626_correlation-CH1_1,Not known,0cd20_0dot069-0dot01,0,Thu Jul 21 14:47:02 2022,Equation 1A,1,no triplet,1,2D,1.0,8192.0,-0.0028479321229382126,0.0004306491295543427,0.029476504733833425,0.0005660451320248206,33.92532489960352,0.029476504733833425,1.0,0,144.37753808240143,12.322205736613743,1.0,0,1.0,1.0,0.7613636363636364
2022-04-25_multipletau_0cd20_0dot069-0dot01_2627_correlation-CH1_1,Not known,0cd20_0dot069-0dot01,0,Thu Jul 21 14:47:02 2022,Equation 1A,1,no triplet,1,2D,1.0,8192.0,-0.0023675589085921933,0.0004276295278206561,0.030766386310638237,0.0006742726396379316,32.503004737161,0.030766386310638237,1.0,0,89.49853344715837,8.28433949102062,1.0,0,1.0,1.0,0.75
