name_of_plot,master_file,parent_name,parent_uqid,time of fit,Diff_eq,Diff_species,Triplet_eq,Triplet_species,Dimen,xmin,xmax,offset,stdev(offset),GN0,stdev(GN0),N (FCS),cpm (kHz),A1,stdev(A1),A2,stdev(A2),txy1,stdev(txy1),txy2,stdev(txy2),alpha1,stdev(alpha1),alpha2,stdev(alpha2),N (mom),bri (kHz),above zero
2022-04-25_multipletau_0cd20_1dot0-1dot0_1500_correlation-CH1_1,Not known,0cd20_1dot0-1dot0,0,Wed May  4 14:11:01 2022,Equation 1A,2,no triplet,1,2D,1.0,8192.0,-0.000656,None,0.032719,None,30.563281273877564,0.032719,0.999987,None,1.3e-05,None,9.062411,None,9.049627,None,1.0,None,1.0,None,1.0,1.0,0.6931818181818182
2022-04-25_multipletau_0cd20_1dot0-1dot0_1501_correlation-CH1_1,Not known,0cd20_1dot0-1dot0,0,Wed May  4 14:11:01 2022,Equation 1A,2,no triplet,1,2D,1.0,8192.0,-0.00062766800382974,None,0.041092034981710504,None,24.335616390015392,0.041092034981710504,0.894954226538844,None,0.10504577346115596,None,7.592602236153062,None,29.52998471117182,None,1.0,None,1.0,None,1.0,1.0,0.7045454545454546
2022-04-25_multipletau_0cd20_1dot0-1dot0_1502_correlation-CH1_1,Not known,0cd20_1dot0-1dot0,0,Wed May  4 14:11:01 2022,Equation 1A,2,no triplet,1,2D,1.0,8192.0,-0.0008394757978709144,None,0.035073140450096206,None,28.511846591634683,0.035073140450096206,0.25417444262760924,None,0.7458255573723908,None,2.290863995037412,None,16.412945880239054,None,1.0,None,1.0,None,1.0,1.0,0.7045454545454546
2022-04-25_multipletau_0cd20_1dot0-1dot0_1503_correlation-CH1_1,Not known,0cd20_1dot0-1dot0,0,Wed May  4 14:11:01 2022,Equation 1A,2,no triplet,1,2D,1.0,8192.0,-0.000583,None,0.03287,None,30.4228780042592,0.03287,0.641553,None,0.358447,None,8.115284,None,18.817824,None,1.0,None,1.0,None,1.0,1.0,0.7159090909090909
2022-04-25_multipletau_0cd20_1dot0-1dot0_1504_correlation-CH1_1,Not known,0cd20_1dot0-1dot0,0,Wed May  4 14:11:01 2022,Equation 1A,2,no triplet,1,2D,1.0,8192.0,-0.0007041487832869509,None,0.03384426029000494,None,29.547107587259788,0.03384426029000494,0.7350131424131604,None,0.2649868575868396,None,6.54168500138824,None,6.54141006226302,None,1.0,None,1.0,None,1.0,1.0,0.6704545454545454
2022-04-25_multipletau_0cd20_1dot0-1dot0_1505_correlation-CH1_1,Not known,0cd20_1dot0-1dot0,0,Wed May  4 14:11:01 2022,Equation 1A,2,no triplet,1,2D,1.0,8192.0,-0.000897,None,0.04196,None,23.832221163012395,0.04196,0.680109,None,0.319891,None,7.689783,None,7.689999,None,1.0,None,1.0,None,1.0,1.0,0.6931818181818182
2022-04-25_multipletau_0cd20_1dot0-1dot0_1506_correlation-CH1_1,Not known,0cd20_1dot0-1dot0,0,Wed May  4 14:11:01 2022,Equation 1A,2,no triplet,1,2D,1.0,8192.0,-0.0006559999999999899,None,0.032718999999999984,None,30.56328127387758,0.032718999999999984,0.999987,None,1.3000000000040757e-05,None,9.062410999999951,None,9.049627000000024,None,1.0,None,1.0,None,1.0,1.0,0.7386363636363636
2022-04-25_multipletau_0cd20_1dot0-1dot0_1507_correlation-CH1_1,Not known,0cd20_1dot0-1dot0,0,Wed May  4 14:11:01 2022,Equation 1A,2,no triplet,1,2D,1.0,8192.0,-0.0006559999999999899,None,0.032718999999999984,None,30.56328127387758,0.032718999999999984,0.999987,None,1.3000000000040757e-05,None,9.062410999999951,None,9.049627000000024,None,1.0,None,1.0,None,1.0,1.0,0.7954545454545454
2022-04-25_multipletau_0cd20_1dot0-1dot0_1508_correlation-CH1_1,Not known,0cd20_1dot0-1dot0,0,Wed May  4 14:11:01 2022,Equation 1A,2,no triplet,1,2D,1.0,8192.0,-0.0005011689474240244,None,0.03296776375760409,None,30.33266093971411,0.03296776375760409,0.9992084238857633,None,0.0007915761142367472,None,9.911244182465408,None,0.056554283052997194,None,1.0,None,1.0,None,1.0,1.0,0.7272727272727273
2022-04-25_multipletau_0cd20_1dot0-1dot0_1509_correlation-CH1_1,Not known,0cd20_1dot0-1dot0,0,Wed May  4 14:11:01 2022,Equation 1A,2,no triplet,1,2D,1.0,8192.0,-0.0006559999999999899,None,0.032718999999999984,None,30.56328127387758,0.032718999999999984,0.999987,None,1.3000000000040757e-05,None,9.062410999999951,None,9.049627000000024,None,1.0,None,1.0,None,1.0,1.0,0.75
