name_of_plot,master_file,parent_name,parent_uqid,time of fit,Diff_eq,Diff_species,Triplet_eq,Triplet_species,Dimen,xmin,xmax,offset,stdev(offset),GN0,stdev(GN0),N (FCS),A1,stdev(A1),txy1,stdev(txy1),alpha1,stdev(alpha1)
0cd20,Not known,average_data,average_data,Mon May 16 12:28:40 2022,Equation 1A,1,no triplet,1,2D,1,8192,0.000124,2.58605877932025E-05,0.033138,0.000616157723184042,30.1768362604864,1,0,1.681767,0.0529920242001356,1,0
19e3e,Not known,average_data,average_data,Mon May 16 12:28:40 2022,Equation 1A,1,no triplet,1,2D,1,8192,0.000766,0.000143043488982509,0.025524,0.00147909422675661,39.1788120984172,1,0,4.087635,0.480967762873241,1,0
34a6d,Not known,average_data,average_data,Mon May 16 12:28:40 2022,Equation 1A,1,no triplet,1,2D,1,8192,0.001153,0.000225596670660921,0.022862,0.00156851809922389,43.7407051001662,1,0,6.973308,1.09041109846309,1,0
484af,Not known,average_data,average_data,Mon May 16 12:28:40 2022,Equation 1A,1,no triplet,1,2D,1,8192,0.000022,1.28261014389338E-05,0.033409,0.000327573014397084,29.9320542368823,1,0,1.580716,0.0259285460012033,1,0
714af,Not known,average_data,average_data,Mon May 16 12:28:40 2022,Equation 1A,1,no triplet,1,2D,1,8192,0.000033,1.26364758753446E-05,0.034052,0.00034415020246319,29.366850698931,1,0,1.494558,0.0249742331856629,1,0
34766,Not known,average_data,average_data,Mon May 16 12:28:40 2022,Equation 1A,1,no triplet,1,2D,1,8192,0.000398,7.26976781784864E-05,0.028447,0.00105500263522382,35.1530917144163,1,0,2.749575,0.191057984084077,1,0
c1204,Not known,average_data,average_data,Mon May 16 12:28:40 2022,Equation 1A,1,no triplet,1,2D,1,8192,0.001077,0.000228165018546132,0.021848,0.00141991055374019,45.7707799340901,1,0,8.195872,1.26074344398308,1,0
fe81d,Not known,average_data,average_data,Mon May 16 12:28:40 2022,Equation 1A,1,no triplet,1,2D,1,8192,0.000012,9.25780921630897E-06,0.035489,0.000290936853867539,28.1777452168277,1,0,1.32456,0.0175016405479042,1,0
ff67b,Not known,average_data,average_data,Mon May 16 12:28:40 2022,Equation 1A,1,no triplet,1,2D,1,8192,-0.000029,6.63527593855642E-06,0.03579,0.000206679499182605,27.9407655769768,1,0,1.334302,0.0124382760912831,1,0
dirty,Not known,average_data,average_data,Mon May 16 12:28:40 2022,Equation 1A,1,no triplet,1,2D,1,8192,-0.018773,0.0017262316664204,0.307778,0.00219120287360788,3.24909512700713,1,0,160.759864,5.11607021912062,1,0
