name_of_plot,master_file,parent_name,parent_uqid,time of fit,Diff_eq,Diff_species,Triplet_eq,Triplet_species,Dimen,xmin,xmax,offset,stdev(offset),GN0,stdev(GN0),N (FCS),cpm (kHz),A1,stdev(A1),txy1,stdev(txy1),alpha1,stdev(alpha1),N (mom),bri (kHz),above zero
2022-04-25_multipletau_dirty_0dot069-0dot01_2600_correlation-CH1_1,Not known,dirty_0dot069-0dot01,0,Thu Jul 21 14:31:34 2022,Equation 1A,1,no triplet,1,2D,1.0,8192.0,-0.001329,0.00019255989179399095,0.027693,0.0002891139897532379,36.110208355902216,0.027693,1.0,0,100.717692,4.513856931405392,1.0,0,1.0,1.0,0.8297872340425532
2022-04-25_multipletau_dirty_0dot069-0dot01_2601_correlation-CH1_1,Not known,dirty_0dot069-0dot01,0,Thu Jul 21 14:31:34 2022,Equation 1A,1,no triplet,1,2D,1.0,8192.0,-0.014533137510745253,0.0056819165725966875,0.31217363781246593,0.006103965623546889,3.203345442643483,0.31217363781246593,1.0,0,311.2596789578242,26.85640347990135,1.0,0,1.0,1.0,0.8723404255319149
2022-04-25_multipletau_dirty_0dot069-0dot01_2602_correlation-CH1_1,Not known,dirty_0dot069-0dot01,0,Thu Jul 21 14:31:34 2022,Equation 1A,1,no triplet,1,2D,1.0,8192.0,-0.004116296988053492,0.0005421215970099567,0.029777681493185063,0.0006014457487958162,33.582198138188176,0.029777681493185066,1.0,0,266.35759756258386,23.99280712845406,1.0,0,1.0,1.0,0.8191489361702128
2022-04-25_multipletau_dirty_0dot069-0dot01_2603_correlation-CH1_1,Not known,dirty_0dot069-0dot01,0,Thu Jul 21 14:31:34 2022,Equation 1A,1,no triplet,1,2D,1.0,8192.0,-0.19034053594568123,0.028342632088229402,0.5237854790187978,0.027046088509365324,1.9091785474337513,0.5237854790187978,1.0,0,2192.3973940056326,303.98984703889425,1.0,0,1.0,1.0,0.8723404255319149
2022-04-25_multipletau_dirty_0dot069-0dot01_2604_correlation-CH1_1,Not known,dirty_0dot069-0dot01,0,Thu Jul 21 14:31:34 2022,Equation 1A,1,no triplet,1,2D,1.0,8192.0,-0.0021655990312556828,0.00026477230707443855,0.02942639770910401,0.0003634563267858342,33.9830926600512,0.02942639770910401,1.0,0,127.39326994671575,6.9277059016514855,1.0,0,1.0,1.0,0.8085106382978723
2022-04-25_multipletau_dirty_0dot069-0dot01_2605_correlation-CH1_1,Not known,dirty_0dot069-0dot01,0,Thu Jul 21 14:31:34 2022,Equation 1A,1,no triplet,1,2D,1.0,8192.0,-0.004071384772054376,0.0007419515914272133,0.038906995162394896,0.0009148687659612898,25.7023189744177,0.038906995162394896,1.0,0,176.7323559308536,18.641069732414156,1.0,0,1.0,1.0,0.7553191489361702
2022-04-25_multipletau_dirty_0dot069-0dot01_2606_correlation-CH1_1,Not known,dirty_0dot069-0dot01,0,Thu Jul 21 14:31:34 2022,Equation 1A,1,no triplet,1,2D,1.0,8192.0,-0.001754569607492762,0.00034252058893844496,0.03209586703190465,0.00048270972239897484,31.156659485346122,0.03209586703190465,1.0,0,118.5586475404761,7.798086912591274,1.0,0,1.0,1.0,0.8297872340425532
2022-04-25_multipletau_dirty_0dot069-0dot01_2607_correlation-CH1_1,Not known,dirty_0dot069-0dot01,0,Thu Jul 21 14:31:34 2022,Equation 1A,1,no triplet,1,2D,1.0,8192.0,-0.03151778725475607,0.004264429131397271,0.21816650446191055,0.004352887275843899,4.583655050377309,0.21816650446191055,1.0,0,423.20349438760167,35.97593204595,1.0,0,1.0,1.0,0.851063829787234
2022-04-25_multipletau_dirty_0dot069-0dot01_2608_correlation-CH1_1,Not known,dirty_0dot069-0dot01,0,Thu Jul 21 14:31:34 2022,Equation 1A,1,no triplet,1,2D,1.0,8192.0,-0.07844231058846585,0.02248014284017686,0.5154708226879438,0.021542986904573853,1.9399740120797895,0.5154708226879438,1.0,0,854.0579449503208,131.27337021990593,1.0,0,1.0,1.0,0.8297872340425532
2022-04-25_multipletau_dirty_0dot069-0dot01_2609_correlation-CH1_1,Not known,dirty_0dot069-0dot01,0,Thu Jul 21 14:31:34 2022,Equation 1A,1,no triplet,1,2D,1.0,8192.0,-0.002906303117190534,0.0003581089841397869,0.03616100119536248,0.0004854004311968831,27.654101571951124,0.03616100119536248,1.0,0,131.9994590110915,7.824685320326396,1.0,0,1.0,1.0,0.8617021276595744
2022-04-25_multipletau_dirty_0dot069-0dot01_2610_correlation-CH1_1,Not known,dirty_0dot069-0dot01,0,Thu Jul 21 14:31:34 2022,Equation 1A,1,no triplet,1,2D,1.0,8192.0,-0.35426500708327757,0.029303435739732736,0.7318985236269979,0.028300809707789202,1.3663096286140841,0.7318985236269979,1.0,0,3459.713473028493,301.2283896613896,1.0,0,1.0,1.0,0.7978723404255319
2022-04-25_multipletau_dirty_0dot069-0dot01_2611_correlation-CH1_1,Not known,dirty_0dot069-0dot01,0,Thu Jul 21 14:31:34 2022,Equation 1A,1,no triplet,1,2D,1.0,8192.0,-0.013576768453827603,0.0017728891211823312,0.08520494098429841,0.0017996870321952004,11.736408574994263,0.08520494098429841,1.0,0,440.67056008325835,39.41732460104404,1.0,0,1.0,1.0,0.7978723404255319
2022-04-25_multipletau_dirty_0dot069-0dot01_2612_correlation-CH1_1,Not known,dirty_0dot069-0dot01,0,Thu Jul 21 14:31:34 2022,Equation 1A,1,no triplet,1,2D,1.0,8192.0,-0.00498015553269926,0.0010523678650654657,0.04572353740939888,0.001100413927459974,21.87057381510559,0.04572353740939888,1.0,0,361.93496797927685,37.863854728675406,1.0,0,1.0,1.0,0.8191489361702128
