name_of_plot,master_file,parent_name,parent_uqid,time of fit,Diff_eq,Diff_species,Triplet_eq,Triplet_species,Dimen,xmin,xmax,offset,stdev(offset),GN0,stdev(GN0),N (FCS),cpm (kHz),A1,stdev(A1),A2,stdev(A2),txy1,stdev(txy1),txy2,stdev(txy2),alpha1,stdev(alpha1),alpha2,stdev(alpha2),N (mom),bri (kHz),above zero
2022-04-25_multipletau_dirty_0dot2-1dot0_0700_correlation-CH1_1,Not known,dirty_0dot2-1dot0,0,Tue May 10 15:28:15 2022,Equation 1A,2,no triplet,1,2D,1.0,8192.0,0.002572,None,0.174576,None,5.7281642379250295,0.174576,0.570866,None,0.429134,None,7.525495,None,2.120529,None,1.0,None,1.0,None,1.0,1.0,0.7978723404255319
2022-04-25_multipletau_dirty_0dot2-1dot0_0701_correlation-CH1_1,Not known,dirty_0dot2-1dot0,0,Tue May 10 15:28:15 2022,Equation 1A,2,no triplet,1,2D,1.0,8192.0,-0.0014149891549675164,None,0.6962222595634969,None,1.4363229360505643,0.6962222595634969,0.13471063878755984,None,0.8652893612124402,None,18.86057806344527,None,0.007793422459253611,None,1.0,None,1.0,None,1.0,1.0,0.7659574468085106
2022-04-25_multipletau_dirty_0dot2-1dot0_0702_correlation-CH1_1,Not known,dirty_0dot2-1dot0,0,Tue May 10 15:28:15 2022,Equation 1A,2,no triplet,1,2D,1.0,8192.0,-0.0009019676225004991,None,0.12964330020387013,None,7.7134722614084446,0.12964330020387013,0.32625287732068187,None,0.6737471226793181,None,28.36026654253428,None,4.586063612393736,None,1.0,None,1.0,None,1.0,1.0,0.7553191489361702
2022-04-25_multipletau_dirty_0dot2-1dot0_0703_correlation-CH1_1,Not known,dirty_0dot2-1dot0,0,Tue May 10 15:28:15 2022,Equation 1A,2,no triplet,1,2D,1.0,8192.0,-0.0022290297805157566,None,0.10607953214237241,None,9.426889238706964,0.10607953214237241,0.4169854543129031,None,0.5830145456870969,None,47.210738731696196,None,6.394924409400233,None,1.0,None,1.0,None,1.0,1.0,0.723404255319149
2022-04-25_multipletau_dirty_0dot2-1dot0_0704_correlation-CH1_1,Not known,dirty_0dot2-1dot0,0,Tue May 10 15:28:15 2022,Equation 1A,2,no triplet,1,2D,1.0,8192.0,-0.001857735035998731,None,0.08973401645062355,None,11.14404592098308,0.08973401645062355,0.17250751865102465,None,0.8274924813489754,None,129.91416137250246,None,7.962500515078082,None,1.0,None,1.0,None,1.0,1.0,0.8085106382978723
2022-04-25_multipletau_dirty_0dot2-1dot0_0705_correlation-CH1_1,Not known,dirty_0dot2-1dot0,0,Tue May 10 15:28:15 2022,Equation 1A,2,no triplet,1,2D,1.0,8192.0,-0.002686354386108092,None,0.09890363736581452,None,10.110851598928598,0.09890363736581452,0.7380728470254911,None,0.26192715297450886,None,24.852667411087793,None,3.3616522865343765,None,1.0,None,1.0,None,1.0,1.0,0.6914893617021277
2022-04-25_multipletau_dirty_0dot2-1dot0_0706_correlation-CH1_1,Not known,dirty_0dot2-1dot0,0,Tue May 10 15:28:15 2022,Equation 1A,2,no triplet,1,2D,1.0,8192.0,-0.002853843031263681,None,0.13680966158666877,None,7.309425287676055,0.13680966158666877,0.25095535382940715,None,0.7490446461705929,None,74.2381893046779,None,8.81372590896898,None,1.0,None,1.0,None,1.0,1.0,0.723404255319149
2022-04-25_multipletau_dirty_0dot2-1dot0_0707_correlation-CH1_1,Not known,dirty_0dot2-1dot0,0,Tue May 10 15:28:15 2022,Equation 1A,2,no triplet,1,2D,1.0,8192.0,-0.007628237687497985,None,0.31378684141964414,None,3.186876783856739,0.31378684141964414,0.44645976155140576,None,0.5535402384485942,None,2.8616132264703427,None,31.851089041982625,None,1.0,None,1.0,None,1.0,1.0,0.7127659574468085
2022-04-25_multipletau_dirty_0dot2-1dot0_0708_correlation-CH1_1,Not known,dirty_0dot2-1dot0,0,Tue May 10 15:28:15 2022,Equation 1A,2,no triplet,1,2D,1.0,8192.0,-0.004282049753939643,None,0.16583169117348456,None,6.030210467755838,0.16583169117348456,0.9999999491444909,None,5.0855509137193167e-08,None,10.100835343509841,None,4.7986306120316184,None,1.0,None,1.0,None,1.0,1.0,0.6914893617021277
2022-04-25_multipletau_dirty_0dot2-1dot0_0709_correlation-CH1_1,Not known,dirty_0dot2-1dot0,0,Tue May 10 15:28:15 2022,Equation 1A,2,no triplet,1,2D,1.0,8192.0,-0.0029859868247924526,None,0.0847607259123449,None,11.797916891770695,0.0847607259123449,7.431638637811488e-11,None,0.9999999999256837,None,1.0934448537415258,None,19.753859327367437,None,1.0,None,1.0,None,1.0,1.0,0.7021276595744681
2022-04-25_multipletau_dirty_0dot2-1dot0_0710_correlation-CH1_1,Not known,dirty_0dot2-1dot0,0,Tue May 10 15:28:15 2022,Equation 1A,2,no triplet,1,2D,1.0,8192.0,-0.010031407114938218,None,0.1659623608025913,None,6.025462611908002,0.1659623608025913,0.1349054787382103,None,0.8650945212617898,None,1999.9996952707168,None,13.97138689907696,None,1.0,None,1.0,None,1.0,1.0,0.7978723404255319
2022-04-25_multipletau_dirty_0dot2-1dot0_0711_correlation-CH1_1,Not known,dirty_0dot2-1dot0,0,Tue May 10 15:28:15 2022,Equation 1A,2,no triplet,1,2D,1.0,8192.0,-0.004532010501373862,None,0.1473716946982011,None,6.785563551046051,0.1473716946982011,6.106226635438361e-16,None,0.9999999999999993,None,80.30581101065071,None,15.463663105506633,None,1.0,None,1.0,None,1.0,1.0,0.6595744680851063
2022-04-25_multipletau_dirty_0dot2-1dot0_0712_correlation-CH1_1,Not known,dirty_0dot2-1dot0,0,Tue May 10 15:28:15 2022,Equation 1A,2,no triplet,1,2D,1.0,8192.0,-0.0022524203003375654,None,0.10092951849862612,None,9.907904197656627,0.10092951849862612,0.6348255949853241,None,0.3651744050146759,None,25.320506808055566,None,2.9153399367492976,None,1.0,None,1.0,None,1.0,1.0,0.6808510638297872
2022-04-25_multipletau_dirty_0dot2-1dot0_0713_correlation-CH1_1,Not known,dirty_0dot2-1dot0,0,Tue May 10 15:28:15 2022,Equation 1A,2,no triplet,1,2D,1.0,8192.0,-0.0031926832233216684,None,0.16873607554320944,None,5.92641494583014,0.16873607554320944,0.9999996360368779,None,3.63963122085309e-07,None,9.647965904482687,None,9.166056320235246,None,1.0,None,1.0,None,1.0,1.0,0.6914893617021277
2022-04-25_multipletau_dirty_0dot2-1dot0_0714_correlation-CH1_1,Not known,dirty_0dot2-1dot0,0,Tue May 10 15:28:15 2022,Equation 1A,2,no triplet,1,2D,1.0,8192.0,-0.0013940425088198038,None,0.08860240823518951,None,11.28637494079803,0.08860240823518951,0.990571142542396,None,0.009428857457604023,None,13.980435477953785,None,13.977478028762482,None,1.0,None,1.0,None,1.0,1.0,0.7127659574468085
