name_of_plot,master_file,parent_name,parent_uqid,time of fit,Diff_eq,Diff_species,Triplet_eq,Triplet_species,Dimen,xmin,xmax,offset,stdev(offset),GN0,stdev(GN0),N (FCS),cpm (kHz),A1,stdev(A1),A2,stdev(A2),txy1,stdev(txy1),txy2,stdev(txy2),alpha1,stdev(alpha1),alpha2,stdev(alpha2),N (mom),bri (kHz),above zero
2022-04-25_multipletau_dirty_3dot0-0dot1_2400_correlation-CH1_1,Not known,dirty_3dot0-0dot1,0,Thu Jul 21 15:58:57 2022,Equation 1A,2,no triplet,1,2D,1.0,8192.0,-0.193311,None,0.521206,None,1.9186271838773923,0.521206,0.469344,None,0.530656,None,86.258044,None,9999.999879,None,1.0,None,1.0,None,1.0,1.0,0.8617021276595744
2022-04-25_multipletau_dirty_3dot0-0dot1_2401_correlation-CH1_1,Not known,dirty_3dot0-0dot1,0,Thu Jul 21 15:58:58 2022,Equation 1A,2,no triplet,1,2D,1.0,8192.0,-0.010709732646074888,None,0.13193470483615877,None,7.579506857136913,0.13193470483615877,0.9384739343045743,None,0.061526065695425736,None,125.10328350787053,None,9999.96227237466,None,1.0,None,1.0,None,1.0,1.0,0.8191489361702128
2022-04-25_multipletau_dirty_3dot0-0dot1_2402_correlation-CH1_1,Not known,dirty_3dot0-0dot1,0,Thu Jul 21 15:58:58 2022,Equation 1A,2,no triplet,1,2D,1.0,8192.0,-0.007052180551637033,None,0.0870791155962751,None,11.483809787829035,0.0870791155962751,0.9999999998779385,None,1.220614720409685e-10,None,94.0636352929983,None,6505.334414779276,None,1.0,None,1.0,None,1.0,1.0,0.6595744680851063
2022-04-25_multipletau_dirty_3dot0-0dot1_2403_correlation-CH1_1,Not known,dirty_3dot0-0dot1,0,Thu Jul 21 15:58:58 2022,Equation 1A,2,no triplet,1,2D,1.0,8192.0,-0.03397996109201207,None,0.2239967751176189,None,4.464349986623281,0.2239967751176189,0.5249971628436698,None,0.4750028371563302,None,25.88355917080057,None,839.9235853951562,None,1.0,None,1.0,None,1.0,1.0,0.7659574468085106
2022-04-25_multipletau_dirty_3dot0-0dot1_2404_correlation-CH1_1,Not known,dirty_3dot0-0dot1,0,Thu Jul 21 15:58:58 2022,Equation 1A,2,no triplet,1,2D,1.0,8192.0,-0.0026155107198255756,None,0.08645588104321028,None,11.566593133209807,0.08645588104321028,0.9999999995201596,None,4.79840389644437e-10,None,51.55382359567219,None,9997.533249704898,None,1.0,None,1.0,None,1.0,1.0,0.7553191489361702
2022-04-25_multipletau_dirty_3dot0-0dot1_2405_correlation-CH1_1,Not known,dirty_3dot0-0dot1,0,Thu Jul 21 15:58:58 2022,Equation 1A,2,no triplet,1,2D,1.0,8192.0,-0.033972232744807984,None,0.42674833560035347,None,2.343301465003234,0.42674833560035347,0.7613578238784942,None,0.23864217612150584,None,64.20233364290478,None,971.9955860096024,None,1.0,None,1.0,None,1.0,1.0,0.7978723404255319
2022-04-25_multipletau_dirty_3dot0-0dot1_2406_correlation-CH1_1,Not known,dirty_3dot0-0dot1,0,Thu Jul 21 15:58:58 2022,Equation 1A,2,no triplet,1,2D,1.0,8192.0,-0.10337534639994539,None,0.44483410404427365,None,2.2480290762519224,0.44483410404427365,0.49947348995298196,None,0.500526510047018,None,55.307864866038635,None,3382.430666163299,None,1.0,None,1.0,None,1.0,1.0,0.8191489361702128
2022-04-25_multipletau_dirty_3dot0-0dot1_2407_correlation-CH1_1,Not known,dirty_3dot0-0dot1,0,Thu Jul 21 15:58:58 2022,Equation 1A,2,no triplet,1,2D,1.0,8192.0,-0.00805510160681644,None,0.16639604554297713,None,6.009758205111418,0.16639604554297713,0.9999999999999918,None,8.215650382226158e-15,None,56.72933973800478,None,1344.307540869555,None,1.0,None,1.0,None,1.0,1.0,0.723404255319149
2022-04-25_multipletau_dirty_3dot0-0dot1_2408_correlation-CH1_1,Not known,dirty_3dot0-0dot1,0,Thu Jul 21 15:58:58 2022,Equation 1A,2,no triplet,1,2D,1.0,8192.0,-0.005762234797880406,None,0.12314699393526327,None,8.120376860564592,0.12314699393526327,0.7910811416097979,None,0.20891885839020208,None,67.77707440089276,None,222.4689589498175,None,1.0,None,1.0,None,1.0,1.0,0.7872340425531915
2022-04-25_multipletau_dirty_3dot0-0dot1_2409_correlation-CH1_1,Not known,dirty_3dot0-0dot1,0,Thu Jul 21 15:58:59 2022,Equation 1A,2,no triplet,1,2D,1.0,8192.0,-0.05078526296831043,None,0.34643263623233206,None,2.886564068777165,0.34643263623233206,0.791864573458267,None,0.208135426541733,None,87.80042820026887,None,1996.6982952811738,None,1.0,None,1.0,None,1.0,1.0,0.8085106382978723
