name_of_plot,master_file,parent_name,parent_uqid,time of fit,Diff_eq,Diff_species,Triplet_eq,Triplet_species,Dimen,xmin,xmax,offset,stdev(offset),GN0,stdev(GN0),N (FCS),cpm (kHz),A1,stdev(A1),txy1,stdev(txy1),alpha1,stdev(alpha1),AR1,stdev(AR1),N (mom),bri (kHz),above zero
2022-05-25_tttr2xfcs_CH2_BIN1dot0_20 nM AF4881_T0s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon May 30 14:15:21 2022,Equation 1B,1,no triplet,1,3D,0.001018,100.66329,0.000483,0.00020045495888391587,0.069893,0.00042110641034969577,14.30758445051722,24.127912060697113,1.0,0,0.03806,0.0009593957407014718,1.0,0,5.0,0,75.27903415832783,4.580949676926938,0.55
2022-05-25_tttr2xfcs_CH2_BIN1dot0_20 nM AF4882_T14s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon May 30 14:15:21 2022,Equation 1B,1,no triplet,1,3D,0.001018,100.66329,0.0006986525473497984,0.00018234534582666937,0.06932121212576704,0.00037840892372876286,14.425598879975368,23.98578621730006,1.0,0,0.03956158133461917,0.0009079611168447024,1.0,0,5.0,0,73.65635723223237,4.684691104352212,0.65
2022-05-25_tttr2xfcs_CH2_BIN1dot0_20 nM AF4883_T26s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon May 30 14:15:21 2022,Equation 1B,1,no triplet,1,3D,0.001018,100.66329,0.0005779724985904844,0.00018577752912807806,0.07081068202888105,0.00038379709737472684,14.122163088220745,24.465179198609754,1.0,0,0.04013696885911971,0.0009162792611675038,1.0,0,5.0,0,73.529686186971,4.699034541175298,0.6111111111111112
2022-05-25_tttr2xfcs_CH2_BIN1dot0_20 nM AF4884_T38s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon May 30 14:15:21 2022,Equation 1B,1,no triplet,1,3D,0.001018,100.66329,0.0003903026103151408,0.00018015552167742458,0.06982369999674866,0.00037165672052260593,14.321784724192002,24.192901175749522,1.0,0,0.04032021767140764,0.0009044499371855705,1.0,0,5.0,0,73.28737439066626,4.72185198015634,0.5555555555555556
2022-05-25_tttr2xfcs_CH2_BIN1dot0_20 nM AF4885_T50s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon May 30 14:15:21 2022,Equation 1B,1,no triplet,1,3D,0.001018,100.66329,0.00047939447843226013,0.00021963174753236882,0.07057952199547751,0.000454728472211027,14.168415593181214,24.44131908152673,1.0,0,0.03985767521899143,0.0010806387954134403,1.0,0,5.0,0,70.76855927954026,4.883305170792333,0.5277777777777778
2022-05-25_tttr2xfcs_CH2_BIN1dot0_20 nM AF4886_T62s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon May 30 14:15:21 2022,Equation 1B,1,no triplet,1,3D,0.001018,100.66329,0.0004660756399472721,0.00019158994790448902,0.07067146093970945,0.0004007803454219261,14.14998341201847,24.480516096990748,1.0,0,0.0385710319007094,0.0009167187148054362,1.0,0,5.0,0,74.04823332541322,4.666549583232366,0.6055555555555555
2022-05-25_tttr2xfcs_CH2_BIN1dot0_20 nM AF4887_T74s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon May 30 14:15:21 2022,Equation 1B,1,no triplet,1,3D,0.001018,100.66329,0.00030929551530878285,0.0002118829287740081,0.071160914734122,0.0004353361527001378,14.052658031958872,24.629175758147152,1.0,0,0.040853564618881164,0.0010549521540468836,1.0,0,5.0,0,71.36116514950788,4.839618968427651,0.5222222222222223
2022-05-25_tttr2xfcs_CH2_BIN1dot0_20 nM AF4888_T86s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon May 30 14:15:21 2022,Equation 1B,1,no triplet,1,3D,0.001018,100.66329,0.0004179535249071442,0.00022753607610091441,0.07039581394303328,0.00047377646292422947,14.2053901217654,24.31770233755921,1.0,0,0.03914124841962275,0.0011060548508995613,1.0,0,5.0,0,74.02805040947176,4.652598989880174,0.5333333333333333
2022-05-25_tttr2xfcs_CH2_BIN1dot0_20 nM AF4889_T98s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon May 30 14:15:21 2022,Equation 1B,1,no triplet,1,3D,0.001018,100.66329,0.0005356810388428279,0.00023847312585563001,0.07059800726927294,0.0004943541170296303,14.164705757002857,24.325924423145743,1.0,0,0.03969862152395803,0.0011692356980753911,1.0,0,5.0,0,72.82659901541399,4.70935669348991,0.5722222222222222
2022-05-25_tttr2xfcs_CH2_BIN1dot0_20 nM AF48810_T110s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon May 30 14:15:21 2022,Equation 1B,1,no triplet,1,3D,0.001018,100.66329,0.0004737984140479323,0.0001684020748682303,0.0695734585199011,0.0003437570222811312,14.373297249754453,24.125944888858726,1.0,0,0.04172714198272532,0.0008724966646151063,1.0,0,5.0,0,71.9944163446496,4.806253463054817,0.5833333333333334
