name_of_plot,master_file,parent_name,parent_uqid,time of fit,Diff_eq,Diff_species,Triplet_eq,Triplet_species,Dimen,xmin,xmax,offset,stdev(offset),GN0,stdev(GN0),N (FCS),cpm (kHz),A1,stdev(A1),A2,stdev(A2),txy1,stdev(txy1),txy2,stdev(txy2),alpha1,stdev(alpha1),alpha2,stdev(alpha2),AR1,stdev(AR1),AR2,stdev(AR2),N (mom),bri (kHz),above zero
2022-05-25_tttr2xfcs_CH2_BIN1dot0_20 nM AF4881_T0s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon May 30 14:14:07 2022,Equation 1B,2,no triplet,1,3D,0.001018,100.66329,-3.5e-05,None,0.075148,None,13.30707404055996,25.942001853365387,0.32585,None,0.67415,None,0.007121,None,0.063505,None,1.0,None,1.0,None,5.0,None,5.0,None,75.27903415832783,4.580949676926938,0.55
2022-05-25_tttr2xfcs_CH2_BIN1dot0_20 nM AF4882_T14s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon May 30 14:14:07 2022,Equation 1B,2,no triplet,1,3D,0.001018,100.66329,0.0001247791287120048,None,0.07189052180957081,None,13.910039527169904,24.874791341589408,0.6611148992211816,None,0.3388851007788184,None,0.0214070328602033,None,0.11434626932821668,None,1.0,None,1.0,None,5.0,None,5.0,None,73.65635723223237,4.684691104352212,0.65
2022-05-25_tttr2xfcs_CH2_BIN1dot0_20 nM AF4883_T26s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon May 30 14:14:07 2022,Equation 1B,2,no triplet,1,3D,0.001018,100.66329,9.932332589412951e-05,None,0.07338312184213822,None,13.627111724017412,25.35396037124845,0.5418634242958139,None,0.4581365757041861,None,0.018655589670266592,None,0.08674136000793281,None,1.0,None,1.0,None,5.0,None,5.0,None,73.529686186971,4.699034541175298,0.6111111111111112
2022-05-25_tttr2xfcs_CH2_BIN1dot0_20 nM AF4884_T38s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon May 30 14:14:07 2022,Equation 1B,2,no triplet,1,3D,0.001018,100.66329,-0.00020249303262875884,None,0.07230352155349494,None,13.83058499108005,25.052123443527506,0.6918503977269619,None,0.3081496022730381,None,0.02295537014366577,None,0.12607460146924535,None,1.0,None,1.0,None,5.0,None,5.0,None,73.28737439066626,4.72185198015634,0.5555555555555556
2022-05-25_tttr2xfcs_CH2_BIN1dot0_20 nM AF4885_T50s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon May 30 14:14:07 2022,Equation 1B,2,no triplet,1,3D,0.001018,100.66329,-0.0003757632516342424,None,0.07427138848943102,None,13.464134983046698,25.7197931266031,0.6656080990522084,None,0.3343919009477916,None,0.019228518374409514,None,0.14216180263998654,None,1.0,None,1.0,None,5.0,None,5.0,None,70.76855927954026,4.883305170792333,0.5277777777777778
2022-05-25_tttr2xfcs_CH2_BIN1dot0_20 nM AF4886_T62s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon May 30 14:14:07 2022,Equation 1B,2,no triplet,1,3D,0.001018,100.66329,-8.299156419155906e-05,None,0.07504189115776656,None,13.325890173764678,25.994428302586673,0.38568114733992304,None,0.6143188526600769,None,0.010055292537837067,None,0.07065987715849974,None,1.0,None,1.0,None,5.0,None,5.0,None,74.04823332541322,4.666549583232366,0.6055555555555555
2022-05-25_tttr2xfcs_CH2_BIN1dot0_20 nM AF4887_T74s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon May 30 14:14:07 2022,Equation 1B,2,no triplet,1,3D,0.001018,100.66329,-0.00019812331923263482,None,0.07654137033443334,None,13.064830112535029,26.491380412683903,0.2952165547831107,None,0.7047834452168893,None,0.006644856755714524,None,0.06481812664671734,None,1.0,None,1.0,None,5.0,None,5.0,None,71.36116514950788,4.839618968427651,0.5222222222222223
2022-05-25_tttr2xfcs_CH2_BIN1dot0_20 nM AF4888_T86s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon May 30 14:14:07 2022,Equation 1B,2,no triplet,1,3D,0.001018,100.66329,-0.00011573544113208101,None,0.07547331108182201,None,13.249716829249502,26.071685381789532,0.3340409051999586,None,0.6659590948000413,None,0.007755655655769315,None,0.06637839084603792,None,1.0,None,1.0,None,5.0,None,5.0,None,74.02805040947176,4.652598989880174,0.5333333333333333
2022-05-25_tttr2xfcs_CH2_BIN1dot0_20 nM AF4889_T98s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon May 30 14:14:08 2022,Equation 1B,2,no triplet,1,3D,0.001018,100.66329,0.00011470599439422635,None,0.08465821520824154,None,11.812202720553566,29.17064411038156,0.26934241359528277,None,0.7306575864047172,None,0.0013909873821732522,None,0.0534230468939198,None,1.0,None,1.0,None,5.0,None,5.0,None,72.82659901541399,4.70935669348991,0.5722222222222222
2022-05-25_tttr2xfcs_CH2_BIN1dot0_20 nM AF48810_T110s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon May 30 14:14:08 2022,Equation 1B,2,no triplet,1,3D,0.001018,100.66329,-5.337531758020653e-06,None,0.0731515564120348,None,13.670249124535117,25.366719666899503,0.3674965104671485,None,0.6325034895328515,None,0.011627912122365443,None,0.07239718671700082,None,1.0,None,1.0,None,5.0,None,5.0,None,71.9944163446496,4.806253463054817,0.5833333333333334
