name_of_plot,master_file,parent_name,parent_uqid,time of fit,Diff_eq,Diff_species,Triplet_eq,Triplet_species,Dimen,xmin,xmax,offset,stdev(offset),GN0,stdev(GN0),N (FCS),cpm (kHz),A1,stdev(A1),A2,stdev(A2),txy1,stdev(txy1),txy2,stdev(txy2),alpha1,stdev(alpha1),alpha2,stdev(alpha2),AR1,stdev(AR1),AR2,stdev(AR2),N (mom),bri (kHz),above zero
2022-05-26_tttr2xfcs_CH2_BIN1dot0_20 nM AF4881_T0s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon May 30 14:25:16 2022,Equation 1B,2,no triplet,1,3D,0.001018,100.66329,-1.7e-05,None,0.072814,None,13.73362265498393,24.788966492601332,0.221707,None,0.778293,None,0.004612,None,0.046103,None,1.0,None,1.0,None,5.0,None,5.0,None,91.6792330628514,3.4650291953550916,0.5333333333333333
2022-05-26_tttr2xfcs_CH2_BIN1dot0_20 nM AF4882_T14s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon May 30 14:25:16 2022,Equation 1B,2,no triplet,1,3D,0.001018,100.66329,0.00011402237476554333,None,0.0696675891894806,None,14.353876912264306,23.73910533703507,0.301804041483889,None,0.698195958516111,None,0.01284259145247999,None,0.04959022354900731,None,1.0,None,1.0,None,5.0,None,5.0,None,91.39200946335461,3.463747095647017,0.5722222222222222
2022-05-26_tttr2xfcs_CH2_BIN1dot0_20 nM AF4883_T26s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon May 30 14:25:16 2022,Equation 1B,2,no triplet,1,3D,0.001018,100.66329,0.00029144576524631205,None,0.07117054150088394,None,14.05075722217991,24.21350261428883,0.18534787048005458,None,0.8146521295199454,None,0.007408303281287359,None,0.04433789962071603,None,1.0,None,1.0,None,5.0,None,5.0,None,90.63040962244472,3.488171081016025,0.65
2022-05-26_tttr2xfcs_CH2_BIN1dot0_20 nM AF4884_T38s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon May 30 14:25:16 2022,Equation 1B,2,no triplet,1,3D,0.001018,100.66329,0.00022669834176491932,None,0.06964184958596366,None,14.359182100205885,23.755019823554132,0.2710805362245916,None,0.7289194637754084,None,0.011599369718908528,None,0.04739082329858531,None,1.0,None,1.0,None,5.0,None,5.0,None,91.23336233520301,3.4669113906140008,0.7388888888888889
2022-05-26_tttr2xfcs_CH2_BIN1dot0_20 nM AF4885_T50s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon May 30 14:25:16 2022,Equation 1B,2,no triplet,1,3D,0.001018,100.66329,-4.3006381499344215e-06,None,0.0719977551281926,None,13.889321940934014,24.640568565406042,0.41651355864265804,None,0.583486441357342,None,0.011918628351019402,None,0.06537736225633164,None,1.0,None,1.0,None,5.0,None,5.0,None,83.33484762376973,3.892526595541127,0.5388888888888889
2022-05-26_tttr2xfcs_CH2_BIN1dot0_20 nM AF4886_T62s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon May 30 14:25:16 2022,Equation 1B,2,no triplet,1,3D,0.001018,100.66329,4.973869595525926e-06,None,0.0746837360565085,None,13.389796129686959,25.597506080078304,0.19073386246970264,None,0.8092661375302974,None,0.0032545381590583333,None,0.04487297803829242,None,1.0,None,1.0,None,5.0,None,5.0,None,87.20942525755609,3.751418341588747,0.5833333333333334
2022-05-26_tttr2xfcs_CH2_BIN1dot0_20 nM AF4887_T74s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon May 30 14:25:16 2022,Equation 1B,2,no triplet,1,3D,0.001018,100.66329,-0.00010761827538419144,None,0.09944481612322655,None,10.055828337606407,33.87291857955931,0.3396692046647932,None,0.6603307953352068,None,0.000265960762161567,None,0.04060412046902762,None,1.0,None,1.0,None,5.0,None,5.0,None,89.40392405301778,3.534485780586892,0.5166666666666667
2022-05-26_tttr2xfcs_CH2_BIN1dot0_20 nM AF4888_T86s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon May 30 14:25:16 2022,Equation 1B,2,no triplet,1,3D,0.001018,100.66329,-6.220600921369446e-06,None,0.07567486652679246,None,13.214427007227728,25.75822357663202,0.1777598425758523,None,0.8222401574241477,None,0.001693099867195532,None,0.04185754194680459,None,1.0,None,1.0,None,5.0,None,5.0,None,91.63338100622965,3.4631317378099298,0.5666666666666667
2022-05-26_tttr2xfcs_CH2_BIN1dot0_20 nM AF4889_T98s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon May 30 14:25:16 2022,Equation 1B,2,no triplet,1,3D,0.001018,100.66329,0.0001391267242084604,None,0.18824838833096244,None,5.312130472224199,63.820525778030635,0.657490211229863,None,0.34250978877013705,None,0.0001000000034416912,None,0.04085449632143853,None,1.0,None,1.0,None,5.0,None,5.0,None,89.67159027429868,3.476391491450417,0.5944444444444444
2022-05-26_tttr2xfcs_CH2_BIN1dot0_20 nM AF48810_T110s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon May 30 14:25:16 2022,Equation 1B,2,no triplet,1,3D,0.001018,100.66329,5.618353665082232e-05,None,0.07421776839567097,None,13.473862413496237,25.43510350901694,0.17717116403729216,None,0.8228288359627078,None,0.00289547272130986,None,0.04549257487534705,None,1.0,None,1.0,None,5.0,None,5.0,None,86.21684798492328,3.769148813332585,0.6055555555555555
