name_of_plot,master_file,parent_name,parent_uqid,time of fit,Diff_eq,Diff_species,Triplet_eq,Triplet_species,Dimen,xmin,xmax,offset,stdev(offset),GN0,stdev(GN0),N (FCS),cpm (kHz),A1,stdev(A1),txy1,stdev(txy1),alpha1,stdev(alpha1),AR1,stdev(AR1),N (mom),bri (kHz),above zero
2022-05-26_tttr2xfcs_CH2_BIN1dot0_20 nM AF4881_T0s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon May 30 14:19:24 2022,Equation 1B,1,no triplet,1,3D,0.001018,100.66329,0.000477,0.00019902540745934383,0.069876,0.0004175694517240306,14.311065315702102,24.127761893936363,1.0,0,0.038213,0.0009558882271864655,1.0,0,5.0,0,75.04519861731511,4.600916628216333,0.5388888888888889
2022-05-26_tttr2xfcs_CH2_BIN1dot0_20 nM AF4882_T14s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon May 30 14:19:24 2022,Equation 1B,1,no triplet,1,3D,0.001018,100.66329,0.0005626028328182819,0.00019462280050633449,0.06959572190784753,0.00040311108410552874,14.368699290512584,24.09348884325312,1.0,0,0.0398058916843446,0.0009701089397555962,1.0,0,5.0,0,73.26090294193234,4.7257049978316354,0.5388888888888889
2022-05-26_tttr2xfcs_CH2_BIN1dot0_20 nM AF4883_T26s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon May 30 14:19:24 2022,Equation 1B,1,no triplet,1,3D,0.001018,100.66329,0.0005779722079577443,0.00018577754768894824,0.07081068141754089,0.000383797011968186,14.12216321014367,24.465178987390964,1.0,0,0.04013697213971756,0.0009162794557413071,1.0,0,5.0,0,73.529686186971,4.699034541175298,0.6111111111111112
2022-05-26_tttr2xfcs_CH2_BIN1dot0_20 nM AF4884_T38s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon May 30 14:19:24 2022,Equation 1B,1,no triplet,1,3D,0.001018,100.66329,0.0005302819015871041,0.00017744068956990406,0.07017397483348663,0.00036788254289506407,14.250297241575172,24.32212552392152,1.0,0,0.03968135417293973,0.0008749469180646433,1.0,0,5.0,0,72.84709468260398,4.757638978262351,0.5777777777777777
2022-05-26_tttr2xfcs_CH2_BIN1dot0_20 nM AF4885_T50s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon May 30 14:19:24 2022,Equation 1B,1,no triplet,1,3D,0.001018,100.66329,0.0005604786075006363,0.0002190702736872969,0.07047584100636722,0.00045403906394597573,14.189259549377407,24.411366634987736,1.0,0,0.03972464037250952,0.0010765377941054837,1.0,0,5.0,0,70.70947308690302,4.895929620442534,0.5444444444444444
2022-05-26_tttr2xfcs_CH2_BIN1dot0_20 nM AF4886_T62s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon May 30 14:19:24 2022,Equation 1B,1,no triplet,1,3D,0.001018,100.66329,0.00039038654799949946,0.0002088164571583608,0.0707807248034673,0.00043617401646994916,14.128140150819895,24.529380105545243,1.0,0,0.038750820879084436,0.0010013676056300712,1.0,0,5.0,0,73.6552900505066,4.6973189580467,0.5333333333333333
2022-05-26_tttr2xfcs_CH2_BIN1dot0_20 nM AF4887_T74s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon May 30 14:19:24 2022,Equation 1B,1,no triplet,1,3D,0.001018,100.66329,0.0003416425332984918,0.00018686868911685792,0.07118129758017973,0.0003833861354756622,14.048634037242499,24.646755857925154,1.0,0,0.04104559310860372,0.0009336997943741688,1.0,0,5.0,0,70.99574674396803,4.874902644415874,0.5444444444444444
2022-05-26_tttr2xfcs_CH2_BIN1dot0_20 nM AF4888_T86s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon May 30 14:19:24 2022,Equation 1B,1,no triplet,1,3D,0.001018,100.66329,0.0005450014981528417,0.0002247054531039322,0.07032520139887583,0.00046813549084414626,14.219653553896332,24.31050171771355,1.0,0,0.039074032766720425,0.0010918696838227914,1.0,0,5.0,0,73.4103641499046,4.708730467324739,0.55
2022-05-26_tttr2xfcs_CH2_BIN1dot0_20 nM AF4889_T98s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon May 30 14:19:24 2022,Equation 1B,1,no triplet,1,3D,0.001018,100.66329,0.0005538698164377909,0.0002377357129356187,0.07066187618501915,0.0004915866724172753,14.151902751373697,24.373504523932983,1.0,0,0.04002005807269586,0.001172219804259898,1.0,0,5.0,0,72.00898297333609,4.790356807632154,0.5444444444444444
2022-05-26_tttr2xfcs_CH2_BIN1dot0_20 nM AF48810_T110s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon May 30 14:19:24 2022,Equation 1B,1,no triplet,1,3D,0.001018,100.66329,0.00046538589101596806,0.00017282994542387932,0.0698428231016952,0.000352760888100324,14.31786339083032,24.22219193298352,1.0,0,0.041740411116408714,0.0008922166725806326,1.0,0,5.0,0,71.60866492187336,4.828834372036419,0.5833333333333334
