name_of_plot,master_file,parent_name,parent_uqid,time of fit,Diff_eq,Diff_species,Triplet_eq,Triplet_species,Dimen,xmin,xmax,offset,stdev(offset),GN0,stdev(GN0),N (FCS),cpm (kHz),A1,stdev(A1),A2,stdev(A2),txy1,stdev(txy1),txy2,stdev(txy2),alpha1,stdev(alpha1),alpha2,stdev(alpha2),AR1,stdev(AR1),AR2,stdev(AR2),N (mom),bri (kHz),above zero
2022-05-26_tttr2xfcs_CH2_BIN1dot0_20 nM AF4881_T0s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon May 30 14:23:31 2022,Equation 1B,2,no triplet,1,3D,0.001018,100.66329,-0.000163,None,0.074687,None,13.389210973797313,25.78933516698349,0.386339,None,0.613661,None,0.009344,None,0.071372,None,1.0,None,1.0,None,5.0,None,5.0,None,75.04547705696699,4.601424861434329,0.5388888888888889
2022-05-26_tttr2xfcs_CH2_BIN1dot0_20 nM AF4882_T14s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon May 30 14:23:31 2022,Equation 1B,2,no triplet,1,3D,0.001018,100.66329,-0.00011799248567945231,None,0.07236550104847976,None,13.818739392546606,25.052364489538686,0.7060910017472014,None,0.2939089982527986,None,0.02232692865004658,None,0.13967010180101325,None,1.0,None,1.0,None,5.0,None,5.0,None,73.26090294193234,4.7257049978316354,0.5388888888888889
2022-05-26_tttr2xfcs_CH2_BIN1dot0_20 nM AF4883_T26s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon May 30 14:23:31 2022,Equation 1B,2,no triplet,1,3D,0.001018,100.66329,9.932456458705552e-05,None,0.07338312594553371,None,13.627110962024405,25.353961788976726,0.5418603488155356,None,0.4581396511844644,None,0.01865549662247955,None,0.08674089321401932,None,1.0,None,1.0,None,5.0,None,5.0,None,73.529686186971,4.699034541175298,0.6111111111111112
2022-05-26_tttr2xfcs_CH2_BIN1dot0_20 nM AF4884_T38s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon May 30 14:23:31 2022,Equation 1B,2,no triplet,1,3D,0.001018,100.66329,-0.00010998754481716944,None,0.07339698132881313,None,13.624538528636114,25.439713931527002,0.5426662859342503,None,0.45733371406574974,None,0.016887441642197368,None,0.09284636747844094,None,1.0,None,1.0,None,5.0,None,5.0,None,72.8384173474703,4.758775886825446,0.55
2022-05-26_tttr2xfcs_CH2_BIN1dot0_20 nM AF4885_T50s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon May 30 14:23:32 2022,Equation 1B,2,no triplet,1,3D,0.001018,100.66329,-0.0003795142229459092,None,0.07424607271989637,None,13.468725864769157,25.72003554992277,0.6666723885643158,None,0.33332761143568423,None,0.019228881732512713,None,0.14371456334896465,None,1.0,None,1.0,None,5.0,None,5.0,None,70.66392232473929,4.902550367910012,0.5277777777777778
2022-05-26_tttr2xfcs_CH2_BIN1dot0_20 nM AF4886_T62s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon May 30 14:23:32 2022,Equation 1B,2,no triplet,1,3D,0.001018,100.66329,-0.0003272422574961409,None,0.0748268261012591,None,13.364191054245092,25.932739485375315,0.5387666645222238,None,0.46123333547777623,None,0.014772008800155547,None,0.09620694276554795,None,1.0,None,1.0,None,5.0,None,5.0,None,73.68507268072159,4.703631420497655,0.5277777777777778
2022-05-26_tttr2xfcs_CH2_BIN1dot0_20 nM AF4887_T74s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon May 30 14:23:32 2022,Equation 1B,2,no triplet,1,3D,0.001018,100.66329,-0.00029580663505945903,None,0.07508598621816187,None,13.318064400119965,26.000875973179404,0.4490192969615402,None,0.5509807030384598,None,0.013360712443108972,None,0.08387270890293211,None,1.0,None,1.0,None,5.0,None,5.0,None,70.92097671737864,4.882880641158573,0.5222222222222223
2022-05-26_tttr2xfcs_CH2_BIN1dot0_20 nM AF4888_T86s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon May 30 14:23:32 2022,Equation 1B,2,no triplet,1,3D,0.001018,100.66329,-0.00012002935964272599,None,0.07553740798562864,None,13.238473845836157,26.112900285894124,0.36031318461202994,None,0.63968681538797,None,0.008339660698204535,None,0.07036643688443729,None,1.0,None,1.0,None,5.0,None,5.0,None,73.39394805619744,4.71036442225785,0.5333333333333333
2022-05-26_tttr2xfcs_CH2_BIN1dot0_20 nM AF4889_T98s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon May 30 14:23:32 2022,Equation 1B,2,no triplet,1,3D,0.001018,100.66329,0.00010623043540958221,None,0.08093141595057474,None,12.356141162916334,27.91579192766803,0.25342188821248185,None,0.7465781117875181,None,0.002230204534727244,None,0.055726554379409425,None,1.0,None,1.0,None,5.0,None,5.0,None,72.00898297333609,4.790356807632154,0.5444444444444444
2022-05-26_tttr2xfcs_CH2_BIN1dot0_20 nM AF48810_T110s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon May 30 14:23:32 2022,Equation 1B,2,no triplet,1,3D,0.001018,100.66329,-3.7149828259974704e-05,None,0.07341419910261328,None,13.621343176437426,25.459007587503386,0.36773196933297025,None,0.6322680306670297,None,0.011659385728844875,None,0.07248552387516878,None,1.0,None,1.0,None,5.0,None,5.0,None,71.68453418547848,4.819515402028147,0.5611111111111111
