name_of_plot,master_file,parent_name,parent_uqid,time of fit,Diff_eq,Diff_species,Triplet_eq,Triplet_species,Dimen,xmin,xmax,offset,stdev(offset),GN0,stdev(GN0),N (FCS),cpm (kHz),A1,stdev(A1),A2,stdev(A2),txy1,stdev(txy1),txy2,stdev(txy2),alpha1,stdev(alpha1),alpha2,stdev(alpha2),AR1,stdev(AR1),AR2,stdev(AR2),N (mom),bri (kHz),above zero
2022-05-27_tttr2xfcs_CH2_BIN1dot0_20 nM AF4881_T0s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon May 30 14:27:34 2022,Equation 1B,2,no triplet,1,3D,0.001018,100.66329,-0.028382,None,0.094139,None,10.622589999893775,30.873723629619413,0.690204,None,0.309796,None,0.027771,None,1860.938598,None,1.0,None,1.0,None,5.0,None,5.0,None,129.13665340019833,1.8427508798563592,0.6833333333333333
2022-05-27_tttr2xfcs_CH2_BIN1dot0_20 nM AF4882_T14s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon May 30 14:27:36 2022,Equation 1B,2,no triplet,1,3D,0.001018,100.66329,-0.01764258027239296,None,0.08325911494685265,None,12.01069697459956,27.25383113125399,0.7800959733875352,None,0.21990402661246478,None,0.02893684657373633,None,1999.9019354729307,None,1.0,None,1.0,None,5.0,None,5.0,None,130.3677401715781,1.7656162357829246,0.6166666666666667
2022-05-27_tttr2xfcs_CH2_BIN1dot0_20 nM AF4883_T26s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon May 30 14:27:37 2022,Equation 1B,2,no triplet,1,3D,0.001018,100.66329,-0.026589145070643694,None,0.09383635022460074,None,10.656850970934647,30.616885162087744,0.7052657749707403,None,0.2947342250292597,None,0.02851268975107408,None,1999.9701160644563,None,1.0,None,1.0,None,5.0,None,5.0,None,127.07013352116775,1.7716690238873412,0.6833333333333333
2022-05-27_tttr2xfcs_CH2_BIN1dot0_20 nM AF4884_T38s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon May 30 14:27:39 2022,Equation 1B,2,no triplet,1,3D,0.001018,100.66329,-0.026710955335405573,None,0.09331015981498403,None,10.716946600271678,30.57524245080541,0.7039989703584013,None,0.2960010296415987,None,0.026884734980437003,None,1999.9786688685328,None,1.0,None,1.0,None,5.0,None,5.0,None,133.1476642252901,1.7361454056686108,0.75
2022-05-27_tttr2xfcs_CH2_BIN1dot0_20 nM AF4885_T50s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon May 30 14:27:39 2022,Equation 1B,2,no triplet,1,3D,0.001018,100.66329,-0.0009653220414761465,None,0.06854916368169021,None,14.588070025821546,22.692913859549563,0.9679720408299834,None,0.03202795917001655,None,0.028311213704864925,None,35.21503908349866,None,1.0,None,1.0,None,5.0,None,5.0,None,111.87359306191428,2.2682185994516026,0.6166666666666667
2022-05-27_tttr2xfcs_CH2_BIN1dot0_20 nM AF4886_T62s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon May 30 14:27:39 2022,Equation 1B,2,no triplet,1,3D,0.001018,100.66329,-0.0034181565722855023,None,0.0709877549509182,None,14.086936552528138,23.62825361507511,0.9426054066980069,None,0.057394593301993146,None,0.029538671311665713,None,157.88556750496517,None,1.0,None,1.0,None,5.0,None,5.0,None,116.12712261768242,2.2707480091108017,0.5833333333333334
2022-05-27_tttr2xfcs_CH2_BIN1dot0_20 nM AF4887_T74s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon May 30 14:27:39 2022,Equation 1B,2,no triplet,1,3D,0.001018,100.66329,-0.016599233810067116,None,0.0836443717862953,None,11.95537701633913,27.382032428019095,0.7970747518740997,None,0.2029252481259003,None,0.029127249220635427,None,1999.9990141942733,None,1.0,None,1.0,None,5.0,None,5.0,None,127.6041099688899,1.820421468793952,0.5833333333333334
2022-05-27_tttr2xfcs_CH2_BIN1dot0_20 nM AF4888_T86s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon May 30 14:27:41 2022,Equation 1B,2,no triplet,1,3D,0.001018,100.66329,-0.023369628749465465,None,0.08905775516331803,None,11.228668386780646,29.0962824638023,0.7331173955466036,None,0.2668826044533964,None,0.028490089605450047,None,1999.911085575782,None,1.0,None,1.0,None,5.0,None,5.0,None,135.6907728640116,1.7027500929883848,0.6166666666666667
2022-05-27_tttr2xfcs_CH2_BIN1dot0_20 nM AF4889_T98s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon May 30 14:27:43 2022,Equation 1B,2,no triplet,1,3D,0.001018,100.66329,-0.021724079400722185,None,0.08815397717752832,None,11.343787677170328,28.751226391012917,0.7453208666614523,None,0.25467913333854775,None,0.028531629939432885,None,1999.9989991152377,None,1.0,None,1.0,None,5.0,None,5.0,None,125.66976643761845,1.83587030441666,0.6666666666666666
2022-05-27_tttr2xfcs_CH2_BIN1dot0_20 nM AF48810_T110s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon May 30 14:27:44 2022,Equation 1B,2,no triplet,1,3D,0.001018,100.66329,-0.02641003168510625,None,0.09264393570340938,None,10.794014658459712,30.74930701420582,0.7053818238533069,None,0.29461817614669306,None,0.029924226999193466,None,1999.9812147604016,None,1.0,None,1.0,None,5.0,None,5.0,None,118.57568101001547,2.175558937659793,0.6777777777777778
2022-05-27_tttr2xfcs_CH2_BIN1dot0_20 nM AF48811_T122s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon May 30 14:27:44 2022,Equation 1B,2,no triplet,1,3D,0.001018,100.66329,-0.006766303232736637,None,0.07361017126222184,None,13.585079111386598,24.35624671366129,0.8968353214789146,None,0.10316467852108535,None,0.02972206448091725,None,594.0025969953119,None,1.0,None,1.0,None,5.0,None,5.0,None,115.7625860181352,2.230906158337518,0.6666666666666666
2022-05-27_tttr2xfcs_CH2_BIN1dot0_20 nM AF48811_T123s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon May 30 14:27:45 2022,Equation 1B,2,no triplet,1,3D,0.001018,100.66329,-0.012192546626505818,None,0.08103991061824001,None,12.33959899969245,25.417617694412954,0.8386579271900505,None,0.1613420728099495,None,0.029467889358242502,None,1999.9662594097101,None,1.0,None,1.0,None,5.0,None,5.0,None,115.66725290103528,1.9778435011695437,0.65
2022-05-27_tttr2xfcs_CH2_BIN1dot0_20 nM AF48812_T134s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon May 30 14:27:46 2022,Equation 1B,2,no triplet,1,3D,0.001018,100.66329,0.0005377783080757759,None,0.06636899040447737,None,15.067277562994814,21.751178010014637,0.9999998618327817,None,1.381672183331517e-07,None,0.028933530085817994,None,1999.9993174107335,None,1.0,None,1.0,None,5.0,None,5.0,None,129.45759325451777,1.8232272893813022,0.7166666666666667
2022-05-27_tttr2xfcs_CH2_BIN1dot0_20 nM AF48812_T135s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon May 30 14:27:46 2022,Equation 1B,2,no triplet,1,3D,0.001018,100.66329,-0.005047810829757915,None,0.07471475394656171,None,13.384237345079537,23.55186254419946,0.9211762295858199,None,0.0788237704141801,None,0.02915116155932578,None,491.36970514593014,None,1.0,None,1.0,None,5.0,None,5.0,None,116.44676837764915,1.9919656999333217,0.6333333333333333
2022-05-27_tttr2xfcs_CH2_BIN1dot0_20 nM AF48813_T146s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon May 30 14:27:46 2022,Equation 1B,2,no triplet,1,3D,0.001018,100.66329,0.0005899121895209802,None,0.06656359286128571,None,15.023227518441445,22.046431483725087,0.9946541678527345,None,0.005345832147265472,None,0.029115809969217293,None,18.433127443212072,None,1.0,None,1.0,None,5.0,None,5.0,None,113.59539223212661,2.291469663883953,0.75
2022-05-27_tttr2xfcs_CH2_BIN1dot0_20 nM AF48814_T158s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon May 30 14:27:46 2022,Equation 1B,2,no triplet,1,3D,0.001018,100.66329,-0.0016837766047717029,None,0.06881719370627894,None,14.531252237168154,22.788398098823606,0.9616416934928125,None,0.03835830650718752,None,0.028089973846946434,None,60.1072025056841,None,1.0,None,1.0,None,5.0,None,5.0,None,116.56897002973362,2.2073448816611596,0.6
2022-05-27_tttr2xfcs_CH2_BIN1dot0_20 nM AF48815_T170s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon May 30 14:27:47 2022,Equation 1B,2,no triplet,1,3D,0.001018,100.66329,-3.1563571029735726e-05,None,0.06733928188912813,None,14.850173211625073,22.025200087653953,0.992431066278689,None,0.007568933721310955,None,0.027285178503628493,None,58.06421018941851,None,1.0,None,1.0,None,5.0,None,5.0,None,134.83457074864782,1.7106255244586763,0.7
