name_of_plot,master_file,parent_name,parent_uqid,time of fit,Diff_eq,Diff_species,Triplet_eq,Triplet_species,Dimen,xmin,xmax,offset,stdev(offset),GN0,stdev(GN0),N (FCS),cpm (kHz),A1,stdev(A1),txy1,stdev(txy1),alpha1,stdev(alpha1),AR1,stdev(AR1),N (mom),bri (kHz),above zero
2022-05-25_tttr2xfcs_CH2_BIN1dot0_20 nM AF4881_T0s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon May 30 14:42:57 2022,Equation 1B,1,no triplet,1,3D,0.001018,100.66329,0.000413,0.00020178294597505,0.06992,0.0004228736175624411,14.302059496567507,24.143295551775886,1.0,0,0.03835,0.0009713231796609724,1.0,0,5.0,0,75.04547705696699,4.601424861434329,0.5388888888888889
2022-05-25_tttr2xfcs_CH2_BIN1dot0_20 nM AF4882_T14s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon May 30 14:42:57 2022,Equation 1B,1,no triplet,1,3D,0.001018,100.66329,0.0005626022810373277,0.0001946228367072198,0.06959572074102227,0.000403110940913108,14.368699531414771,24.09348843930744,1.0,0,0.039805897978309634,0.0009701093854239528,1.0,0,5.0,0,73.26090294193234,4.7257049978316354,0.5388888888888889
2022-05-25_tttr2xfcs_CH2_BIN1dot0_20 nM AF4883_T26s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon May 30 14:42:57 2022,Equation 1B,1,no triplet,1,3D,0.001018,100.66329,0.000577971992123949,0.000185777566782451,0.07081068096394237,0.00038379694867164016,14.122163300607316,24.46517883067211,1.0,0,0.04013697457532471,0.0009162803257829627,1.0,0,5.0,0,73.529686186971,4.699034541175298,0.6111111111111112
2022-05-25_tttr2xfcs_CH2_BIN1dot0_20 nM AF4884_T38s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon May 30 14:42:57 2022,Equation 1B,1,no triplet,1,3D,0.001018,100.66329,0.0005462617668045011,0.00017730348949835715,0.0701516188875688,0.0003677098192466485,14.254838531990098,24.314296954249226,1.0,0,0.039642751457957946,0.0008738586004675129,1.0,0,5.0,0,72.8383175893368,4.7577204594951,0.6
2022-05-25_tttr2xfcs_CH2_BIN1dot0_20 nM AF4885_T50s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon May 30 14:42:57 2022,Equation 1B,1,no triplet,1,3D,0.001018,100.66329,0.00048515768521872893,0.0002209297070331685,0.0705274111823948,0.0004572033907834525,14.1788842555676,24.431831292931275,1.0,0,0.039916881846518294,0.0010891430801072339,1.0,0,5.0,0,70.66392232473929,4.902550367910012,0.5277777777777778
2022-05-25_tttr2xfcs_CH2_BIN1dot0_20 nM AF4886_T62s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon May 30 14:42:57 2022,Equation 1B,1,no triplet,1,3D,0.001018,100.66329,0.0003686271156887466,0.00021126265385815543,0.07085835461355014,0.0004413484410563833,14.112661879517754,24.5573859843912,1.0,0,0.03873488178861232,0.0010116252424921606,1.0,0,5.0,0,73.68507268072159,4.703631420497655,0.5277777777777778
2022-05-25_tttr2xfcs_CH2_BIN1dot0_20 nM AF4887_T74s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon May 30 14:42:57 2022,Equation 1B,1,no triplet,1,3D,0.001018,100.66329,0.000341641935463044,0.00018686872364155965,0.07118129634350459,0.00038338600349226967,14.048634281317801,24.646755429722365,1.0,0,0.041045599941804047,0.000933700714970624,1.0,0,5.0,0,70.99574674396803,4.874902644415874,0.5444444444444444
2022-05-25_tttr2xfcs_CH2_BIN1dot0_20 nM AF4888_T86s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon May 30 14:42:57 2022,Equation 1B,1,no triplet,1,3D,0.001018,100.66329,0.00045999979094279997,0.0002272807510840624,0.0703743722630301,0.0004727035194698608,14.209718223310276,24.328064922965396,1.0,0,0.03928400035286476,0.0011084202027850632,1.0,0,5.0,0,73.39394805619744,4.71036442225785,0.5333333333333333
2022-05-25_tttr2xfcs_CH2_BIN1dot0_20 nM AF4889_T98s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon May 30 14:42:57 2022,Equation 1B,1,no triplet,1,3D,0.001018,100.66329,0.000553868775856392,0.0002377357808572964,0.07066187398931047,0.0004915863982513652,14.151903191122233,24.37350376656397,1.0,0,0.04002006982262963,0.0011722216681730202,1.0,0,5.0,0,72.00898297333609,4.790356807632154,0.5444444444444444
2022-05-25_tttr2xfcs_CH2_BIN1dot0_20 nM AF48810_T110s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon May 30 14:42:57 2022,Equation 1B,1,no triplet,1,3D,0.001018,100.66329,0.0004990884057343159,0.00017112229089884476,0.06984980874523751,0.0003490448170396767,14.316431468657125,24.237114902335087,1.0,0,0.041830673003079175,0.000884868375436876,1.0,0,5.0,0,71.22328094623455,4.872091665594177,0.5666666666666667
