name_of_plot,master_file,parent_name,parent_uqid,time of fit,Diff_eq,Diff_species,Triplet_eq,Triplet_species,Dimen,xmin,xmax,offset,stdev(offset),GN0,stdev(GN0),N (FCS),cpm (kHz),A1,stdev(A1),txy1,stdev(txy1),alpha1,stdev(alpha1),AR1,stdev(AR1),N (mom),bri (kHz),above zero
2022-05-26_tttr2xfcs_CH2_BIN1dot0_20 nM AF4881_T0s_1_correlation-CH2_2,Not known,tttr2xfcs,0,Mon May 30 14:12:23 2022,Equation 1B,1,no triplet,1,3D,0.001018,100.66329,0.000516,0.00019846734121219275,0.069854,0.00041666294760929923,14.315572479743466,24.120505827713853,1.0,0,0.038136,0.0009519575424528061,1.0,0,5.0,0,75.04547705696699,4.601424861434329,0.55
2022-05-26_tttr2xfcs_CH2_BIN1dot0_20 nM AF4882_T14s_1_correlation-CH2_2,Not known,tttr2xfcs,0,Mon May 30 14:12:24 2022,Equation 1B,1,no triplet,1,3D,0.001018,100.66329,0.000560141621083643,0.0001946060599648741,0.06959735424900515,0.00040306136497848295,14.368362286046159,24.09405394685994,1.0,0,0.03981068821949587,0.0009700968116693756,1.0,0,5.0,0,73.26090294193234,4.7257049978316354,0.5388888888888889
2022-05-26_tttr2xfcs_CH2_BIN1dot0_20 nM AF4883_T26s_1_correlation-CH2_2,Not known,tttr2xfcs,0,Mon May 30 14:12:24 2022,Equation 1B,1,no triplet,1,3D,0.001018,100.66329,0.0005771492613044771,0.00018577545778192123,0.07081105132211683,0.00038379054060163535,14.122089438427306,24.465306789884565,1.0,0,0.04013771117906585,0.000916278234292119,1.0,0,5.0,0,73.529686186971,4.699034541175298,0.6111111111111112
2022-05-26_tttr2xfcs_CH2_BIN1dot0_20 nM AF4884_T38s_1_correlation-CH2_2,Not known,tttr2xfcs,0,Mon May 30 14:12:24 2022,Equation 1B,1,no triplet,1,3D,0.001018,100.66329,0.00042391095386518085,0.00018161363126079083,0.07024266968037642,0.0003757832147502148,14.236360954819581,24.346415753123413,1.0,0,0.039935984009969,0.0008993053173211347,1.0,0,5.0,0,72.8384173474703,4.758775886825446,0.5388888888888889
2022-05-26_tttr2xfcs_CH2_BIN1dot0_20 nM AF4885_T50s_1_correlation-CH2_2,Not known,tttr2xfcs,0,Mon May 30 14:12:24 2022,Equation 1B,1,no triplet,1,3D,0.001018,100.66329,0.0005859267876830998,0.00021729743822753217,0.07046148169477764,0.0004504882060650569,14.19215117178151,24.408992256424938,1.0,0,0.03968985576661002,0.0010672839332630756,1.0,0,5.0,0,70.66392232473929,4.902550367910012,0.5388888888888889
2022-05-26_tttr2xfcs_CH2_BIN1dot0_20 nM AF4886_T62s_1_correlation-CH2_2,Not known,tttr2xfcs,0,Mon May 30 14:12:24 2022,Equation 1B,1,no triplet,1,3D,0.001018,100.66329,0.00041685352302123224,0.0002089009344895762,0.07084044020093533,0.00043690832356974425,14.11623074565249,24.5511773848878,1.0,0,0.03859454860100862,0.0009976565848484654,1.0,0,5.0,0,73.68507268072159,4.703631420497655,0.5333333333333333
2022-05-26_tttr2xfcs_CH2_BIN1dot0_20 nM AF4887_T74s_1_correlation-CH2_2,Not known,tttr2xfcs,0,Mon May 30 14:12:24 2022,Equation 1B,1,no triplet,1,3D,0.001018,100.66329,0.0003928762393745622,0.000185627208610684,0.07115832824456245,0.0003811221502774066,14.053168823234895,24.640801304386862,1.0,0,0.0409467866877251,0.0009259779179367258,1.0,0,5.0,0,70.92097671737864,4.882880641158573,0.5388888888888889
2022-05-26_tttr2xfcs_CH2_BIN1dot0_20 nM AF4888_T86s_1_correlation-CH2_2,Not known,tttr2xfcs,0,Mon May 30 14:12:24 2022,Equation 1B,1,no triplet,1,3D,0.001018,100.66329,0.0005540125816833052,0.0002245682469409226,0.07031843140872755,0.00046789942685793504,14.221022567859574,24.30872645227564,1.0,0,0.03906086408434594,0.0010910093131160062,1.0,0,5.0,0,73.39394805619744,4.71036442225785,0.5722222222222222
2022-05-26_tttr2xfcs_CH2_BIN1dot0_20 nM AF4889_T98s_1_correlation-CH2_2,Not known,tttr2xfcs,0,Mon May 30 14:12:24 2022,Equation 1B,1,no triplet,1,3D,0.001018,100.66329,0.0006434648833544276,0.00023558574839312692,0.07060388323461977,0.00048786765223577056,14.163526907959957,24.353500930549554,1.0,0,0.039829171590848866,0.0011580673091133118,1.0,0,5.0,0,72.00898297333609,4.790356807632154,0.5722222222222222
2022-05-26_tttr2xfcs_CH2_BIN1dot0_20 nM AF48810_T110s_1_correlation-CH2_2,Not known,tttr2xfcs,0,Mon May 30 14:12:24 2022,Equation 1B,1,no triplet,1,3D,0.001018,100.66329,0.0005576789765935342,0.00016931454952699273,0.06980681060443882,0.00034571181407491166,14.325249805015627,24.222195020694098,1.0,0,0.04169068476008663,0.0008736700826574093,1.0,0,5.0,0,71.22328094623455,4.872091665594177,0.6055555555555555
2022-05-26_tttr2xfcs_CH2_BIN1dot0_20 nM AF48811_T122s_1_correlation-CH2_2,Not known,tttr2xfcs,0,Mon May 30 14:12:24 2022,Equation 1B,1,no triplet,1,3D,0.001018,100.66329,0.0005227157246303626,0.00022284257073916213,0.07044860094160735,0.00046138821267335334,14.194746050796223,24.344590696072153,1.0,0,0.03985396748905389,0.001098396420923167,1.0,0,5.0,0,71.9199522667972,4.805100108127718,0.55
2022-05-26_tttr2xfcs_CH2_BIN1dot0_20 nM AF48811_T123s_1_correlation-CH2_2,Not known,tttr2xfcs,0,Mon May 30 14:12:24 2022,Equation 1B,1,no triplet,1,3D,0.001018,100.66329,0.0007627142898343209,0.0002540358606131763,0.07308283771209745,0.0005249942763764946,13.683103055458798,24.176607028533354,1.0,0,0.04009271410114268,0.0012128879978416196,1.0,0,5.0,0,67.6870081934195,4.887607887912209,0.6166666666666667
