name_of_plot,master_file,parent_name,parent_uqid,time of fit,Diff_eq,Diff_species,Triplet_eq,Triplet_species,Dimen,xmin,xmax,offset,stdev(offset),GN0,stdev(GN0),N (FCS),cpm (kHz),A1,stdev(A1),A2,stdev(A2),txy1,stdev(txy1),txy2,stdev(txy2),alpha1,stdev(alpha1),alpha2,stdev(alpha2),AR1,stdev(AR1),AR2,stdev(AR2),N (mom),bri (kHz),above zero
2022-05-23_tttr2xfcs_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF4881_T0s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Wed May 25 18:47:55 2022,Equation 1B,2,no triplet,1,3D,0.001018,469.762042,-0.000264,None,0.049606,None,20.158851751804217,23.576381958615094,0.763393,None,0.236607,None,0.038773,None,4.121477,None,1.0,None,1.0,None,5.0,None,5.0,None,58.28551014080584,6.065928070352863,0.7111111111111111
2022-05-23_tttr2xfcs_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF4882_T15s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Wed May 25 18:47:55 2022,Equation 1B,2,no triplet,1,3D,0.001018,469.762042,0.00020211934778058271,None,0.04911446159522734,None,20.360601898508325,22.984256857842993,0.8005122951257082,None,0.1994877048742918,None,0.040006156182974345,None,5.598852091268265,None,1.0,None,1.0,None,5.0,None,5.0,None,60.76504015387827,5.916534941918358,0.6833333333333333
2022-05-23_tttr2xfcs_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF48810_T120s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Wed May 25 18:47:55 2022,Equation 1B,2,no triplet,1,3D,0.001018,469.762042,-0.0008516148908166432,None,0.05470558431888809,None,18.279669478911533,24.863475980981992,0.7655617016234653,None,0.23443829837653474,None,0.0353175817072598,None,3.979351185935728,None,1.0,None,1.0,None,5.0,None,5.0,None,56.40584027695314,6.237783704959115,0.6666666666666666
2022-05-23_tttr2xfcs_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF48811_T123s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Wed May 25 18:47:55 2022,Equation 1B,2,no triplet,1,3D,0.001018,469.762042,-0.0032652611777505003,None,0.050299688882431984,None,19.88083867352243,23.889555208321816,0.7892377615910143,None,0.21076223840898567,None,0.04244647814680867,None,19.622176680492743,None,1.0,None,1.0,None,5.0,None,5.0,None,66.38134655480636,5.428560616862812,0.6333333333333333
2022-05-23_tttr2xfcs_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF48811_T124s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Wed May 25 18:47:56 2022,Equation 1B,2,no triplet,1,3D,0.001018,469.762042,-0.00162506648748717,None,0.052827568921213666,None,18.929510110362767,23.412887812544493,0.8418292645257412,None,0.15817073547425875,None,0.038677112838546156,None,7.988047239002446,None,1.0,None,1.0,None,5.0,None,5.0,None,69.46306526692135,5.103338309686569,0.6388888888888888
2022-05-23_tttr2xfcs_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF48811_T132s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Wed May 25 18:47:56 2022,Equation 1B,2,no triplet,1,3D,0.001018,469.762042,0.0029879911587455954,None,0.049815564000290136,None,20.07404754052721,23.115619774744083,0.7361381412816328,None,0.2638618587183672,None,0.03193780060284398,None,1.0004693427228153,None,1.0,None,1.0,None,5.0,None,5.0,None,54.55899932373207,6.226757835836547,0.7611111111111111
2022-05-23_tttr2xfcs_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF48812_T136s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Wed May 25 18:47:56 2022,Equation 1B,2,no triplet,1,3D,0.001018,469.762042,-0.005817381564913293,None,0.05474163986049233,None,18.267629587795952,24.453078250152608,0.7877750982510513,None,0.2122249017489487,None,0.04420362476187004,None,42.626330424485936,None,1.0,None,1.0,None,5.0,None,5.0,None,69.8823913713187,4.848081918103189,0.6277777777777778
2022-05-23_tttr2xfcs_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF48812_T145s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Wed May 25 18:47:56 2022,Equation 1B,2,no triplet,1,3D,0.001018,469.762042,-0.0021028328662117124,None,0.053087839881895305,None,18.836705396653986,23.72167165027913,0.8361679173423071,None,0.1638320826576929,None,0.042217337229256774,None,11.504907243928347,None,1.0,None,1.0,None,5.0,None,5.0,None,67.70725714563885,5.0133022800768625,0.65
2022-05-23_tttr2xfcs_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF48813_T147s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Wed May 25 18:47:56 2022,Equation 1B,2,no triplet,1,3D,0.001018,469.762042,-0.0022706555540900064,None,0.05166918371120051,None,19.353895846108102,23.22818581070325,0.8234461923892187,None,0.17655380761078132,None,0.04480146701188149,None,10.882330310389364,None,1.0,None,1.0,None,5.0,None,5.0,None,66.50043360949637,5.218790104456613,0.6111111111111112
2022-05-23_tttr2xfcs_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF48813_T148s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Wed May 25 18:47:56 2022,Equation 1B,2,no triplet,1,3D,0.001018,469.762042,-6.190121966120898e-05,None,0.04750515893623314,None,21.05034531812249,21.834474352044822,0.8229194998701569,None,0.1770805001298431,None,0.0368855395812261,None,2.7776720479692116,None,1.0,None,1.0,None,5.0,None,5.0,None,71.89934014528085,4.818987437263011,0.6888888888888889
2022-05-23_tttr2xfcs_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF48813_T158s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Wed May 25 18:47:56 2022,Equation 1B,2,no triplet,1,3D,0.001018,469.762042,-0.0017900890627722266,None,0.05298154798637846,None,18.87449570663922,25.62798024622356,0.7037174896248168,None,0.29628251037518316,None,0.04251383981501465,None,5.790635444299587,None,1.0,None,1.0,None,5.0,None,5.0,None,49.8963472326425,6.947225754194405,0.6277777777777778
2022-05-23_tttr2xfcs_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF48814_T159s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Wed May 25 18:47:56 2022,Equation 1B,2,no triplet,1,3D,0.001018,469.762042,-0.00022974022100519242,None,0.05409688014588096,None,18.48535437354869,24.35450773294095,0.7531229280662206,None,0.2468770719337794,None,0.03547730865615661,None,2.3467906708219854,None,1.0,None,1.0,None,5.0,None,5.0,None,55.549782738830565,6.178388586653081,0.6555555555555556
2022-05-23_tttr2xfcs_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF48814_T171s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Wed May 25 18:47:56 2022,Equation 1B,2,no triplet,1,3D,0.001018,469.762042,-0.003842270233476941,None,0.052160613374905206,None,19.171553693444604,24.133733172593487,0.7865306227848248,None,0.21346937721517523,None,0.040777196829388226,None,18.95552976671293,None,1.0,None,1.0,None,5.0,None,5.0,None,66.91449682407881,5.221622056921688,0.6333333333333333
2022-05-23_tttr2xfcs_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF48815_T171s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Wed May 25 18:47:56 2022,Equation 1B,2,no triplet,1,3D,0.001018,469.762042,0.0010696719433757051,None,0.04791197824870239,None,20.871607404920358,22.480480838100362,0.7925727165569972,None,0.20742728344300276,None,0.03860950821247628,None,5.1513185544445905,None,1.0,None,1.0,None,5.0,None,5.0,None,59.28431111541698,5.501689253250901,0.6944444444444444
2022-05-23_tttr2xfcs_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF48815_T184s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Wed May 25 18:47:56 2022,Equation 1B,2,no triplet,1,3D,0.001018,469.762042,0.002202783220477622,None,0.04732363331168829,None,21.131090958584824,22.356195397768005,0.725907905263284,None,0.27409209473671603,None,0.027361659434500925,None,0.7377575492125733,None,1.0,None,1.0,None,5.0,None,5.0,None,62.34834662802388,5.62994011613874,0.7777777777777778
2022-05-23_tttr2xfcs_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF48816_T183s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Wed May 25 18:47:56 2022,Equation 1B,2,no triplet,1,3D,0.001018,469.762042,-0.00032070024137087483,None,0.053860189150504105,None,18.566589085041127,25.26650635041358,0.7341497871766473,None,0.26585021282335275,None,0.04061253206535951,None,6.442586768385408,None,1.0,None,1.0,None,5.0,None,5.0,None,48.93062174257684,6.715094688961995,0.7333333333333333
2022-05-23_tttr2xfcs_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF48816_T184s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Wed May 25 18:47:56 2022,Equation 1B,2,no triplet,1,3D,0.001018,469.762042,-0.0022307390812631445,None,0.056238266290457174,None,17.781486983173334,26.478300346478004,0.6808698864000626,None,0.31913011359993737,None,0.03847613395961946,None,3.513996646281274,None,1.0,None,1.0,None,5.0,None,5.0,None,47.852236274719864,7.3799497991713725,0.6166666666666667
