name_of_plot,master_file,parent_name,parent_uqid,time of fit,Diff_eq,Diff_species,Triplet_eq,Triplet_species,Dimen,xmin,xmax,offset,stdev(offset),GN0,stdev(GN0),N (FCS),cpm (kHz),A1,stdev(A1),txy1,stdev(txy1),alpha1,stdev(alpha1),AR1,stdev(AR1),N (mom),bri (kHz),above zero
2022-05-23_tttr2xfcs_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF4881_T0s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Wed May 25 19:00:04 2022,Equation 1B,1,no triplet,1,3D,0.001018,469.762042,0.007732,0.0005088978112740188,0.041921,0.00091450152465404,23.85439278643162,20.49333779177881,1.0,0,0.107373,0.010804296856975596,1.0,0,5.0,0,43.4370311905658,9.20345810812305,0.7444444444444445
2022-05-23_tttr2xfcs_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF4882_T15s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Wed May 25 19:00:04 2022,Equation 1B,1,no triplet,1,3D,0.001018,469.762042,0.004644917760560974,0.00036374071803246745,0.04244919299298016,0.000704611010974893,23.55757387815053,20.078294246707703,1.0,0,0.07661394212206754,0.00570362024514935,1.0,0,5.0,0,57.11542310020582,6.4665458597455165,0.6888888888888889
2022-05-23_tttr2xfcs_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF48810_T111s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Wed May 25 19:00:04 2022,Equation 1B,1,no triplet,1,3D,0.001018,469.762042,0.004792815913870374,0.0005962570129246701,0.043199961285511373,0.0010757239634569767,23.148168892812993,20.514191811283737,1.0,0,0.10536242153064052,0.012085425181169477,1.0,0,5.0,0,48.894851082701976,7.604991568327932,0.7
2022-05-23_tttr2xfcs_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF48810_T112s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Wed May 25 19:00:04 2022,Equation 1B,1,no triplet,1,3D,0.001018,469.762042,0.006891496190059465,0.00024090328132445656,0.044528187567842055,0.0004988272292095988,22.457684774984937,20.08866812243358,1.0,0,0.05864094119978088,0.002868921598838965,1.0,0,5.0,0,54.30056405592003,7.172453315885247,0.8111111111111111
2022-05-23_tttr2xfcs_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF48810_T120s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Wed May 25 19:00:04 2022,Equation 1B,1,no triplet,1,3D,0.001018,469.762042,0.007102061540510185,0.0005113487650106092,0.04613784081022409,0.0009523368147931027,21.674182892806748,21.514407600420572,1.0,0,0.09095578852188063,0.008547748479609832,1.0,0,5.0,0,44.019667464837376,8.869403500119136,0.75
2022-05-23_tttr2xfcs_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF48811_T123s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Wed May 25 19:00:04 2022,Equation 1B,1,no triplet,1,3D,0.001018,469.762042,0.004667812711410035,0.0005580008309278036,0.04242223645423943,0.001021086824814409,23.572543165627135,20.668930793412756,1.0,0,0.09858004932938876,0.010873469450718553,1.0,0,5.0,0,50.63541101808741,7.748984239785127,0.6388888888888888
2022-05-23_tttr2xfcs_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF48811_T124s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Wed May 25 19:00:04 2022,Equation 1B,1,no triplet,1,3D,0.001018,469.762042,0.0022611060956045925,0.0004509252508606868,0.047857297737208926,0.0008842006143760653,20.89545476410179,21.524646407977748,1.0,0,0.07279763741101145,0.006004213876802179,1.0,0,5.0,0,59.30435881957341,6.358173236642994,0.6222222222222222
2022-05-23_tttr2xfcs_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF48811_T132s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Wed May 25 19:00:04 2022,Equation 1B,1,no triplet,1,3D,0.001018,469.762042,0.009657303315342425,0.00039515104561258885,0.04373456124759442,0.000739096785496682,22.865211664950774,20.85759671983185,1.0,0,0.08922359817873057,0.0068538179188732925,1.0,0,5.0,0,41.39689682275859,9.073028334856788,0.7944444444444444
2022-05-23_tttr2xfcs_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF48812_T135s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Wed May 25 19:00:04 2022,Equation 1B,1,no triplet,1,3D,0.001018,469.762042,0.012551360415226753,0.0006251326569151029,0.04568178717009245,0.0010459319941515852,21.89056212438845,21.951314339555044,1.0,0,0.15451118277175002,0.016711626556607625,1.0,0,5.0,0,31.748920195924253,11.096075949021781,0.7944444444444444
2022-05-23_tttr2xfcs_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF48812_T136s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Wed May 25 19:00:04 2022,Equation 1B,1,no triplet,1,3D,0.001018,469.762042,0.00632968812591117,0.0003545502907960451,0.044918568343889166,0.0007085593846713437,22.262508287088863,20.581672841808768,1.0,0,0.06736621434271926,0.004708190899791321,1.0,0,5.0,0,52.02183172135934,7.304100511967526,0.7166666666666667
