name_of_plot,master_file,parent_name,parent_uqid,time of fit,Diff_eq,Diff_species,Triplet_eq,Triplet_species,Dimen,xmin,xmax,offset,stdev(offset),GN0,stdev(GN0),N (FCS),cpm (kHz),A1,stdev(A1),txy1,stdev(txy1),alpha1,stdev(alpha1),AR1,stdev(AR1),N (mom),bri (kHz),above zero
2022-05-23_tttr2xfcs_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF4881_T0s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Wed May 25 19:05:58 2022,Equation 1B,1,no triplet,1,3D,0.001018,469.762042,0.008257,0.0006465893423743017,0.042622,0.0010837164980383584,23.462061845995027,21.151031078417923,1.0,0,0.153001,0.018371497840067367,1.0,0,5.0,0,38.385694910354864,11.31442693632333,0.7833333333333333
2022-05-23_tttr2xfcs_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF4882_T15s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Wed May 25 19:05:58 2022,Equation 1B,1,no triplet,1,3D,0.001018,469.762042,0.00476565547954122,0.00032949866481914804,0.041632321502713523,0.0006532195268998703,24.01979913454554,19.669564233884515,1.0,0,0.06960068429652766,0.004853647280714598,1.0,0,5.0,0,59.66784533970625,6.411836375679439,0.7055555555555556
2022-05-23_tttr2xfcs_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF4883_T27s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Wed May 25 19:05:58 2022,Equation 1B,1,no triplet,1,3D,0.001018,469.762042,0.012922130861631631,0.0006462745099202809,0.04317433446355061,0.0010736674224949977,23.161908861484303,21.062203511835754,1.0,0,0.16060393172056273,0.018908039473556324,1.0,0,5.0,0,32.09382856807789,13.64398917391347,0.7611111111111111
2022-05-23_tttr2xfcs_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF4883_T28s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Wed May 25 19:05:58 2022,Equation 1B,1,no triplet,1,3D,0.001018,469.762042,0.008093702504273437,0.0009199566619739006,0.048415881594008045,0.0014365391818224578,20.654379659664404,23.4276014323341,1.0,0,0.23010541885107172,0.03289357697466407,1.0,0,5.0,0,32.426177494545854,13.476687128030655,0.6888888888888889
2022-05-23_tttr2xfcs_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF4884_T39s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Wed May 25 19:05:58 2022,Equation 1B,1,no triplet,1,3D,0.001018,469.762042,0.0073694368742101,0.00042859674148924034,0.045709565817226495,0.0008290115495950823,21.877258777704938,21.028220350708015,1.0,0,0.07708745760253198,0.006274631586992127,1.0,0,5.0,0,46.2818733338831,8.31652824965434,0.7166666666666667
2022-05-23_tttr2xfcs_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF4884_T41s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Wed May 25 19:05:58 2022,Equation 1B,1,no triplet,1,3D,0.001018,469.762042,0.0058243611759525304,0.0005882328331984065,0.04562549004743716,0.0010601040656226385,21.917572807662832,21.32042467147089,1.0,0,0.10590850186626519,0.011339298941907676,1.0,0,5.0,0,45.04296316916309,9.15167772481108,0.6722222222222223
2022-05-23_tttr2xfcs_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF4885_T51s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Wed May 25 19:05:58 2022,Equation 1B,1,no triplet,1,3D,0.001018,469.762042,0.007408161373537059,0.0005130355792078768,0.0421422985328905,0.000932851221669125,23.72912809251582,20.366117899147046,1.0,0,0.10154770620601623,0.010324851137865038,1.0,0,5.0,0,45.101696711613094,9.290977902001492,0.7444444444444445
2022-05-23_tttr2xfcs_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF4885_T54s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Wed May 25 19:05:58 2022,Equation 1B,1,no triplet,1,3D,0.001018,469.762042,0.008508798868830825,0.00043556324756105177,0.042985877547302834,0.0008001560698198035,23.26345434961919,20.828735974029293,1.0,0,0.09681673602714173,0.008246819608280786,1.0,0,5.0,0,42.522593332964234,9.534600473266456,0.7388888888888889
2022-05-23_tttr2xfcs_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF4886_T63s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Wed May 25 19:05:58 2022,Equation 1B,1,no triplet,1,3D,0.001018,469.762042,0.004154306014114817,0.0005934474680912811,0.046049387596106765,0.0010776645228087174,21.715815393048675,21.03097165454677,1.0,0,0.10217120222962717,0.010987617308856534,1.0,0,5.0,0,48.77966345726871,8.512650683746012,0.6444444444444445
2022-05-23_tttr2xfcs_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF4886_T66s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Wed May 25 19:05:58 2022,Equation 1B,1,no triplet,1,3D,0.001018,469.762042,0.007027239293732057,0.00030134022163099593,0.04209284537237058,0.000595041374233819,23.757006473513247,20.047730074702834,1.0,0,0.07073459050993336,0.004451117988169501,1.0,0,5.0,0,52.59443782218965,7.702535030309986,0.7333333333333333
2022-05-23_tttr2xfcs_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF4887_T75s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Wed May 25 19:05:58 2022,Equation 1B,1,no triplet,1,3D,0.001018,469.762042,0.007021456155045458,0.0004874000652311143,0.0442288449057717,0.0009096123465482397,22.60967931969446,20.91979992062675,1.0,0,0.09010389347655878,0.008431019736908806,1.0,0,5.0,0,45.680656878167575,9.602731803165423,0.7222222222222222
2022-05-23_tttr2xfcs_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF4887_T76s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Wed May 25 19:05:58 2022,Equation 1B,1,no triplet,1,3D,0.001018,469.762042,0.00460444349158573,0.0005261275760771028,0.04803836543019894,0.001017699450271721,20.816694969628543,21.39873433590341,1.0,0,0.07707637958591562,0.0073281000484762444,1.0,0,5.0,0,51.33412691170331,7.739457318739852,0.65
2022-05-23_tttr2xfcs_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF4887_T80s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Wed May 25 19:05:58 2022,Equation 1B,1,no triplet,1,3D,0.001018,469.762042,0.008401524633384172,0.0007158070879188827,0.042057862436521876,0.001219785234404529,23.776767102924087,20.72109047011262,1.0,0,0.14009293744990456,0.019085083777858523,1.0,0,5.0,0,39.72806014498223,10.342397691440864,0.7333333333333333
