name_of_plot,master_file,parent_name,parent_uqid,time of fit,Diff_eq,Diff_species,Triplet_eq,Triplet_species,Dimen,xmin,xmax,offset,stdev(offset),GN0,stdev(GN0),N (FCS),cpm (kHz),A1,stdev(A1),txy1,stdev(txy1),alpha1,stdev(alpha1),AR1,stdev(AR1),N (mom),bri (kHz),above zero
2022-05-26_tttr2xfcs_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF4881_T0s_1_correlation-CH2_2,Not known,tttr2xfcs,0,Fri May 27 17:14:35 2022,Equation 1B,1,no triplet,1,3D,0.001018,939.52409,0.011779,0.0016298719404367658,0.209487,0.0018852301159536277,4.773565901464052,117.66331103871549,1.0,0,4.70921,0.20557986881339183,1.0,0,5.0,0,5.022938185532642,111.82731003288734,0.7833333333333333
2022-05-26_tttr2xfcs_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF4882_T15s_1_correlation-CH2_2,Not known,tttr2xfcs,0,Fri May 27 17:14:36 2022,Equation 1B,1,no triplet,1,3D,0.001018,939.52409,0.0016532683823282657,0.0019201853726236158,0.12494592477478067,0.0022197239118483367,8.00346231221654,66.3158870468999,1.0,0,4.743934592386333,0.408667252711455,1.0,0,5.0,0,9.188156549686322,57.768198614522866,0.7
2022-05-26_tttr2xfcs_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF48810_T111s_1_correlation-CH2_2,Not known,tttr2xfcs,0,Fri May 27 17:14:36 2022,Equation 1B,1,no triplet,1,3D,0.001018,939.52409,0.003155433448104983,0.0026727739526753373,0.15895866588516314,0.0028830721023775344,6.290943588583162,85.532770268296,1.0,0,12.093371995741862,0.9992159953677211,1.0,0,5.0,0,6.701578336486021,80.2958231506967,0.7444444444444445
2022-05-26_tttr2xfcs_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF48810_T112s_1_correlation-CH2_2,Not known,tttr2xfcs,0,Fri May 27 17:14:36 2022,Equation 1B,1,no triplet,1,3D,0.001018,939.52409,0.011882174203599272,0.0017953352475964326,0.11879856787387076,0.002077977662091169,8.417609891237971,57.89844776792939,1.0,0,4.670479496481631,0.39647652664159405,1.0,0,5.0,0,8.89558513351726,54.79020419693866,0.8166666666666667
2022-05-26_tttr2xfcs_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF48810_T120s_1_correlation-CH2_2,Not known,tttr2xfcs,0,Fri May 27 17:14:36 2022,Equation 1B,1,no triplet,1,3D,0.001018,939.52409,0.012681944292286751,0.0026279253186128355,0.28724672664430084,0.002975894704707999,3.48132774803838,152.9565830447197,1.0,0,6.149139161954063,0.30475479781847475,1.0,0,5.0,0,3.630363804488358,146.6846470666797,0.7555555555555555
2022-05-26_tttr2xfcs_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF48811_T123s_1_correlation-CH2_2,Not known,tttr2xfcs,0,Fri May 27 17:14:36 2022,Equation 1B,1,no triplet,1,3D,0.001018,939.52409,-0.038736938950094335,0.004179858619265869,0.506143703864153,0.004418754760812881,1.9757234800423322,293.05522978699935,1.0,0,16.60959911934431,0.6406066977428431,1.0,0,5.0,0,2.219236090981823,260.91188027741816,0.6833333333333333
2022-05-26_tttr2xfcs_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF48811_T124s_1_correlation-CH2_2,Not known,tttr2xfcs,0,Fri May 27 17:14:36 2022,Equation 1B,1,no triplet,1,3D,0.001018,939.52409,-0.0049730434165145,0.0018905255660355584,0.14738566260542493,0.0022133783300607103,6.784920475454661,72.32388153834665,1.0,0,4.066750652828548,0.29822685420664563,1.0,0,5.0,0,8.282242612629899,59.251624747235134,0.6388888888888888
2022-05-26_tttr2xfcs_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF48811_T132s_1_correlation-CH2_2,Not known,tttr2xfcs,0,Fri May 27 17:14:36 2022,Equation 1B,1,no triplet,1,3D,0.001018,939.52409,0.015050867778501398,0.0033150681423235124,0.4123865824404677,0.0036545746075995855,2.4249091570392216,237.2849127452037,1.0,0,8.819463698971015,0.3652210432170837,1.0,0,5.0,0,2.4900761425025846,231.08656421842275,0.8
2022-05-26_tttr2xfcs_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF48812_T135s_1_correlation-CH2_2,Not known,tttr2xfcs,0,Fri May 27 17:14:36 2022,Equation 1B,1,no triplet,1,3D,0.001018,939.52409,0.0420351737005864,0.00649752203519949,0.47693975008155387,0.006771183158679687,2.09670089320298,304.6472693131223,1.0,0,21.25768696422691,1.2963738016714383,1.0,0,5.0,0,1.9777190962408762,322.99134643709544,0.8055555555555556
2022-05-26_tttr2xfcs_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF48812_T136s_1_correlation-CH2_2,Not known,tttr2xfcs,0,Fri May 27 17:14:36 2022,Equation 1B,1,no triplet,1,3D,0.001018,939.52409,-0.0011763514590829027,0.0019341543911376368,0.23126787016770864,0.0022406388209440346,4.323990181925528,119.3843336722823,1.0,0,4.620834392067241,0.21736854689058566,1.0,0,5.0,0,4.882688255616123,105.72915617443326,0.7
