name_of_plot,master_file,parent_name,parent_uqid,time of fit,Diff_eq,Diff_species,Triplet_eq,Triplet_species,Dimen,xmin,xmax,offset,stdev(offset),GN0,stdev(GN0),N (FCS),cpm (kHz),A1,stdev(A1),A2,stdev(A2),txy1,stdev(txy1),txy2,stdev(txy2),alpha1,stdev(alpha1),alpha2,stdev(alpha2),AR1,stdev(AR1),AR2,stdev(AR2),N (mom),bri (kHz),above zero
2022-05-26_tttr2xfcs_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF4881_T0s_1_correlation-CH2_2,Not known,tttr2xfcs,0,Tue Aug  2 15:33:35 2022,Equation 1B,2,no triplet,1,3D,0.001018,469.762042,0.004691,None,0.227813,None,4.389565125782989,127.95654087204882,0.831835,None,0.168165,None,7.586217,None,0.085113,None,1.0,None,1.0,None,5.0,None,5.0,None,5.022938185532642,111.82731003288734,0.7833333333333333
2022-05-26_tttr2xfcs_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF4882_T15s_1_correlation-CH2_2,Not known,tttr2xfcs,0,Tue Aug  2 15:33:35 2022,Equation 1B,2,no triplet,1,3D,0.001018,469.762042,0.000367312107545148,None,0.13839548329585863,None,7.22566933678192,73.45433038006335,0.7187450594807303,None,0.2812549405192697,None,10.059191866519603,None,0.08152481879286566,None,1.0,None,1.0,None,5.0,None,5.0,None,9.188156549686322,57.768198614522866,0.7
2022-05-26_tttr2xfcs_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF48810_T111s_1_correlation-CH2_2,Not known,tttr2xfcs,0,Tue Aug  2 15:33:35 2022,Equation 1B,2,no triplet,1,3D,0.001018,469.762042,0.0022237751530327365,None,0.17277414675788685,None,5.7879029864423375,92.96662953638018,0.768966775856387,None,0.23103322414361305,None,21.879263722322918,None,0.13272969950643582,None,1.0,None,1.0,None,5.0,None,5.0,None,6.701578336486021,80.2958231506967,0.7444444444444445
2022-05-26_tttr2xfcs_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF48810_T112s_1_correlation-CH2_2,Not known,tttr2xfcs,0,Tue Aug  2 15:33:36 2022,Equation 1B,2,no triplet,1,3D,0.001018,469.762042,0.0070769720806278524,None,0.13798348248986408,None,7.247244249495279,67.24853335149967,0.7155842436279836,None,0.28441575637201644,None,10.688485969026287,None,0.05432471258524456,None,1.0,None,1.0,None,5.0,None,5.0,None,8.89558513351726,54.79020419693866,0.8166666666666667
2022-05-26_tttr2xfcs_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF48810_T120s_1_correlation-CH2_2,Not known,tttr2xfcs,0,Tue Aug  2 15:33:36 2022,Equation 1B,2,no triplet,1,3D,0.001018,469.762042,0.014453626995221125,None,0.29934199877682405,None,3.3406605290477636,159.39721865439088,0.8784818533176969,None,0.1215181466823031,None,7.633563484970348,None,0.05618186077931943,None,1.0,None,1.0,None,5.0,None,5.0,None,3.630363804488358,146.6846470666797,0.7555555555555555
2022-05-26_tttr2xfcs_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF48811_T123s_1_correlation-CH2_2,Not known,tttr2xfcs,0,Tue Aug  2 15:33:36 2022,Equation 1B,2,no triplet,1,3D,0.001018,469.762042,-0.07076218782287014,None,0.5500849951942751,None,1.8179008857473509,318.49706602752804,0.7952658389852363,None,0.20473416101476372,None,32.98474739970383,None,1.218310635284009,None,1.0,None,1.0,None,5.0,None,5.0,None,2.219236090981823,260.91188027741816,0.6833333333333333
2022-05-26_tttr2xfcs_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF48811_T124s_1_correlation-CH2_2,Not known,tttr2xfcs,0,Tue Aug  2 15:33:36 2022,Equation 1B,2,no triplet,1,3D,0.001018,469.762042,-0.006934994267815187,None,0.16388577477059907,None,6.101810858201458,80.42068102689855,0.7472139087082316,None,0.25278609129176843,None,7.659433804885653,None,0.055469186606528005,None,1.0,None,1.0,None,5.0,None,5.0,None,8.282242612629899,59.251624747235134,0.6388888888888888
2022-05-26_tttr2xfcs_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF48811_T132s_1_correlation-CH2_2,Not known,tttr2xfcs,0,Tue Aug  2 15:33:36 2022,Equation 1B,2,no triplet,1,3D,0.001018,469.762042,0.005354973826813714,None,0.4361564895851284,None,2.2927550635580336,250.96198320031885,0.8852607178722265,None,0.11473928212777351,None,12.049762781288168,None,0.13910640601106372,None,1.0,None,1.0,None,5.0,None,5.0,None,2.4900761425025846,231.08656421842275,0.8
2022-05-26_tttr2xfcs_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF48812_T135s_1_correlation-CH2_2,Not known,tttr2xfcs,0,Tue Aug  2 15:33:36 2022,Equation 1B,2,no triplet,1,3D,0.001018,469.762042,-0.04105251285828293,None,0.573441370042587,None,1.7438574407802743,366.28808453222365,0.6843316319126703,None,0.3156683680873297,None,89.64892675386163,None,2.5491444407865615,None,1.0,None,1.0,None,5.0,None,5.0,None,1.9777190962408762,322.99134643709544,0.8055555555555556
2022-05-26_tttr2xfcs_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF48812_T136s_1_correlation-CH2_2,Not known,tttr2xfcs,0,Tue Aug  2 15:33:36 2022,Equation 1B,2,no triplet,1,3D,0.001018,469.762042,0.0008833185642251884,None,0.24440319847122502,None,4.091599480919787,126.16500932750752,0.875397403307862,None,0.12460259669213802,None,5.457526328058852,None,0.022219469696577183,None,1.0,None,1.0,None,5.0,None,5.0,None,4.882688255616123,105.72915617443326,0.7
