name_of_plot,master_file,parent_name,parent_uqid,time of fit,Diff_eq,Diff_species,Triplet_eq,Triplet_species,Dimen,xmin,xmax,offset,stdev(offset),GN0,stdev(GN0),N (FCS),cpm (kHz),A1,stdev(A1),A2,stdev(A2),txy1,stdev(txy1),txy2,stdev(txy2),alpha1,stdev(alpha1),alpha2,stdev(alpha2),AR1,stdev(AR1),AR2,stdev(AR2),N (mom),bri (kHz),above zero
2022-05-26_tttr2xfcs_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF4881_T0s_1_correlation-CH2_2,Not known,tttr2xfcs,0,Fri May 27 17:13:20 2022,Equation 1B,2,no triplet,1,3D,0.001018,939.52409,0.007641,None,0.225299,None,4.438546109836262,126.5444935185074,0.839875,None,0.160125,None,7.016914,None,0.07,None,1.0,None,1.0,None,5.0,None,5.0,None,5.022938185532642,111.82731003288734,0.7833333333333333
2022-05-26_tttr2xfcs_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF4882_T15s_1_correlation-CH2_2,Not known,tttr2xfcs,0,Fri May 27 17:13:20 2022,Equation 1B,2,no triplet,1,3D,0.001018,939.52409,-0.007152767937298687,None,0.14450677907775417,None,6.920090575556556,76.69794157837099,0.686120143481494,None,0.31387985651850603,None,15.29067462546968,None,0.14256474360919194,None,1.0,None,1.0,None,5.0,None,5.0,None,9.188156549686322,57.768198614522866,0.7
2022-05-26_tttr2xfcs_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF48810_T111s_1_correlation-CH2_2,Not known,tttr2xfcs,0,Fri May 27 17:13:20 2022,Equation 1B,2,no triplet,1,3D,0.001018,939.52409,-0.013619641787315118,None,0.18562488258928822,None,5.3872087946990925,99.88137702450946,0.7085455638755405,None,0.29145443612445954,None,42.02943761453422,None,0.4405684267652221,None,1.0,None,1.0,None,5.0,None,5.0,None,6.701578336486021,80.2958231506967,0.7444444444444445
2022-05-26_tttr2xfcs_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF48810_T112s_1_correlation-CH2_2,Not known,tttr2xfcs,0,Fri May 27 17:13:20 2022,Equation 1B,2,no triplet,1,3D,0.001018,939.52409,0.005881528876052977,None,0.13905620539196464,None,7.191336748915665,67.77134260777515,0.7144768905521597,None,0.2855231094478403,None,11.224783762947562,None,0.05681037954789896,None,1.0,None,1.0,None,5.0,None,5.0,None,8.89558513351726,54.79020419693866,0.8166666666666667
2022-05-26_tttr2xfcs_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF48810_T120s_1_correlation-CH2_2,Not known,tttr2xfcs,0,Fri May 27 17:13:20 2022,Equation 1B,2,no triplet,1,3D,0.001018,939.52409,-0.017112957765799353,None,0.32109837023817744,None,3.114310419134926,170.98231233694162,0.32961498055232064,None,0.6703850194476794,None,83.46873328070026,None,3.029907850365749,None,1.0,None,1.0,None,5.0,None,5.0,None,3.630363804488358,146.6846470666797,0.7555555555555555
2022-05-26_tttr2xfcs_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF48811_T123s_1_correlation-CH2_2,Not known,tttr2xfcs,0,Fri May 27 17:13:20 2022,Equation 1B,2,no triplet,1,3D,0.001018,939.52409,-0.05680061927062385,None,0.5369354326457574,None,1.8624213251721629,310.8835206157517,0.8285818196068253,None,0.1714181803931747,None,27.74738323882502,None,0.8460503932150883,None,1.0,None,1.0,None,5.0,None,5.0,None,2.219236090981823,260.91188027741816,0.6833333333333333
2022-05-26_tttr2xfcs_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF48811_T124s_1_correlation-CH2_2,Not known,tttr2xfcs,0,Fri May 27 17:13:20 2022,Equation 1B,2,no triplet,1,3D,0.001018,939.52409,-0.011466451988539683,None,0.16763220298083784,None,5.965440901079793,82.25909750024725,0.7355429388681963,None,0.2644570611318037,None,9.193168785003108,None,0.07217123166341768,None,1.0,None,1.0,None,5.0,None,5.0,None,8.282242612629899,59.251624747235134,0.6388888888888888
2022-05-26_tttr2xfcs_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF48811_T132s_1_correlation-CH2_2,Not known,tttr2xfcs,0,Fri May 27 17:13:20 2022,Equation 1B,2,no triplet,1,3D,0.001018,939.52409,0.008452556546069578,None,0.43335483291620064,None,2.3075778185526166,249.3499257606845,0.8890770535538088,None,0.11092294644619116,None,11.634067516124507,None,0.12338625582345195,None,1.0,None,1.0,None,5.0,None,5.0,None,2.4900761425025846,231.08656421842275,0.8
2022-05-26_tttr2xfcs_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF48812_T135s_1_correlation-CH2_2,Not known,tttr2xfcs,0,Fri May 27 17:13:20 2022,Equation 1B,2,no triplet,1,3D,0.001018,939.52409,-0.0007171063942571498,None,0.533753774160282,None,1.873523052035053,340.9374659077968,0.7121294951876309,None,0.2878705048123691,None,61.33853296373912,None,1.9690332510074708,None,1.0,None,1.0,None,5.0,None,5.0,None,1.9777190962408762,322.99134643709544,0.8055555555555556
2022-05-26_tttr2xfcs_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF48812_T136s_1_correlation-CH2_2,Not known,tttr2xfcs,0,Fri May 27 17:13:20 2022,Equation 1B,2,no triplet,1,3D,0.001018,939.52409,-0.00408802514061124,None,0.2488707456380458,None,4.018150053901419,128.47123172352656,0.8714550520196848,None,0.12854494798031524,None,5.974649339530349,None,0.026964141811129893,None,1.0,None,1.0,None,5.0,None,5.0,None,4.882688255616123,105.72915617443326,0.7
