name_of_plot,master_file,parent_name,parent_uqid,time of fit,Diff_eq,Diff_species,Triplet_eq,Triplet_species,Dimen,xmin,xmax,offset,stdev(offset),GN0,stdev(GN0),N (FCS),cpm (kHz),A1,stdev(A1),txy1,stdev(txy1),alpha1,stdev(alpha1),AR1,stdev(AR1),T1,stdev(T1),tauT1,stdev(tauT1),N (mom),bri (kHz),above zero
2022-06-03_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-100001_T0s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Feb 20 16:16:08 2023,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,0.020546,0.0022821380513815977,0.5284,0.00459902161840514,1.8925056775170326,11.035832531791906,1.0,0,0.26231,0.022035366822558456,1.0,0,6.0,0,0.197319,0.02897312307369756,0.04,0,4.117435647321209,4.389072436829264,0.8333333333333334
2022-06-03_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-100002_T24s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Feb 20 16:16:08 2023,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,0.0046123381964999766,0.000932861023840852,0.43725816345930546,0.0018788865427747635,2.286978457048447,14.306045467109637,1.0,0,0.27184179079762727,0.010445661627872,1.0,0,6.0,0,0.1575868189994667,0.013876006851178986,0.04,0,5.050824726622894,6.249161070651188,0.75
2022-06-03_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-100003_T46s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Feb 20 16:16:08 2023,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,0.00014751160818127218,0.0011739775260537736,0.40954207830750744,0.002329587958763377,2.441751539018033,15.245839826060562,1.0,0,0.3082388605569821,0.015798326400453703,1.0,0,6.0,0,0.2002384769443366,0.016871618970832895,0.04,0,5.446566761460972,6.646722003353269,0.6888888888888889
2022-06-03_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-100004_T67s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Feb 20 16:16:08 2023,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,0.0006903577773611502,0.0011436610614295936,0.4093977527315272,0.0022588435931059133,2.4426123331843863,14.69914741618416,1.0,0,0.31954374583540374,0.01611302449019402,1.0,0,6.0,0,0.21961243420848264,0.01598324825619215,0.04,0,5.52520147836545,6.319737494152623,0.7111111111111111
2022-06-03_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-100005_T89s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Feb 20 16:16:09 2023,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,0.0018178421171421988,0.0011510701982302613,0.4355171967627782,0.0022816448858513335,2.2961205836027867,14.414961922807413,1.0,0,0.30950943022643423,0.014819493229708056,1.0,0,6.0,0,0.21078024321291577,0.015502293625828488,0.04,0,5.150687636945948,6.153067157905202,0.7222222222222222
2022-06-03_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-100006_T111s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Feb 20 16:16:09 2023,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,0.0017416182799134816,0.001400153740016795,0.46387297919429876,0.002774174475902937,2.155762557536549,14.242883363109565,1.0,0,0.3079559154036114,0.017219283926127024,1.0,0,6.0,0,0.22414407158777294,0.017773060326731243,0.04,0,4.875692041970327,6.0258222322302295,0.8
2022-06-03_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-100007_T133s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Feb 20 16:16:09 2023,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,0.0031243846545245813,0.0015560255848936022,0.504660036822835,0.0030974147993623954,1.9815319760519459,13.297234125424513,1.0,0,0.2928526243792147,0.017186789238196776,1.0,0,6.0,0,0.22426203404601885,0.018898278549818914,0.04,0,4.5650018536085355,5.378692565306538,0.7666666666666667
2022-06-03_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-100008_T156s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Feb 20 16:16:09 2023,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,0.0054703300615022155,0.0020880442639266915,0.5134674342783085,0.004176485537053262,1.9475431804268664,12.137365229315558,1.0,0,0.2799304192137087,0.021941252514884425,1.0,0,6.0,0,0.21606112784028353,0.025858817499501186,0.04,0,4.553880263280642,4.721339009350852,0.7166666666666667
2022-06-03_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-100009_T177s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Feb 20 16:16:09 2023,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,0.004091563742154136,0.0015803912258300257,0.5315641677692882,0.0031627952839751237,1.8812404233274513,11.763410247281964,1.0,0,0.2777709120920908,0.016043370264637792,1.0,0,6.0,0,0.2184228853395198,0.019030296867525776,0.04,0,4.387394511702594,4.529529781572135,0.7277777777777777
2022-06-03_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-1000010_T199s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Feb 20 16:16:09 2023,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,0.000878044927903221,0.002233498740472362,0.5402858723601446,0.004517928324921774,1.8508720126840896,11.334419809623217,1.0,0,0.2526763127179931,0.020663982908007465,1.0,0,6.0,0,0.1940157112935159,0.028628919129241624,0.04,0,4.500079951466318,4.229731353985421,0.7
