name_of_plot,master_file,parent_name,parent_uqid,time of fit,Diff_eq,Diff_species,Triplet_eq,Triplet_species,Dimen,xmin,xmax,offset,stdev(offset),GN0,stdev(GN0),N (FCS),cpm (kHz),A1,stdev(A1),txy1,stdev(txy1),alpha1,stdev(alpha1),AR1,stdev(AR1),T1,stdev(T1),tauT1,stdev(tauT1),N (mom),bri (kHz),above zero
2022-06-03_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-100001_T0s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Feb 20 16:30:08 2023,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,0.011229,0.002498889439359507,0.207936,0.004660929368706575,4.809172052939366,3.1768946485345047,1.0,0,0.420882,0.15373896158147293,1.0,0,6.0,0,0.560026,0.0568425259362459,0.04,0,16.569354399658383,0.5460013722389996,0.8388888888888889
2022-06-03_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-100002_T24s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Feb 20 16:30:08 2023,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,0.004188098133393492,0.0013543555246763018,0.17777529516372065,0.002869516331525438,5.6250785525573646,4.155343739594562,1.0,0,0.12682679533402255,0.033799749815524444,1.0,0,6.0,0,0.21664694831180498,0.11231228156225688,0.04,0,21.941022414416867,0.6157991678579646,0.8055555555555556
2022-06-03_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-100003_T46s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Feb 20 16:30:08 2023,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,0.0021484376800813276,0.0016224062870798732,0.1988051587069423,0.003174832676817228,5.030050560579744,5.5172758315235075,1.0,0,0.24286978286366148,0.06628015101284784,1.0,0,6.0,0,0.46081289500737865,0.0629456514606845,0.04,0,19.571978945063222,0.8714693223571235,0.6555555555555556
2022-06-03_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-100004_T67s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Feb 20 16:30:08 2023,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,0.0022564139232849056,0.0014629187096710046,0.1984587472713762,0.0029380841905070156,5.038830556723113,5.392435242353172,1.0,0,0.20357049665714658,0.04736542349223435,1.0,0,6.0,0,0.3760426649742077,0.0662060603310199,0.04,0,18.252626776172463,0.9493016953776373,0.6777777777777778
2022-06-03_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-100005_T89s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Feb 20 16:30:08 2023,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,0.0021358644331601617,0.0016201340044077715,0.208140466645899,0.0033647597555262827,4.804447766042823,5.24302916574799,1.0,0,0.1613151923222758,0.038390282340033145,1.0,0,6.0,0,0.26427971551035156,0.08669231243996907,0.04,0,16.874963490262306,0.9687088229189029,0.6944444444444444
2022-06-03_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-100006_T111s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Feb 20 16:30:08 2023,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,0.0037311328148531553,0.0014113892900495455,0.18336134822094396,0.002885475571774562,5.453712081103566,4.054366173233429,1.0,0,0.16892091849788213,0.04353567493714567,1.0,0,6.0,0,0.3306063260825609,0.08402919662713063,0.04,0,21.220996167469924,0.6167279549618812,0.8611111111111112
2022-06-03_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-100007_T133s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Feb 20 16:30:08 2023,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,0.002545649159266028,0.0023300550069468382,0.1718844428978844,0.004535349621372737,5.817862181943333,3.16641387051411,1.0,0,0.23497512239690957,0.11669760114291527,1.0,0,6.0,0,0.4872698096252681,0.11004532404026497,0.04,0,26.358275576774897,0.3877080812425459,0.7
2022-06-03_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-100008_T156s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Feb 20 16:30:08 2023,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,0.0006370047099049092,0.0024837249940128704,0.1895812047284434,0.004690956051977323,5.274784498982389,3.2469277486787513,1.0,0,0.36074968039937366,0.14797191865420115,1.0,0,6.0,0,0.5383565591627337,0.07037032817031531,0.04,0,23.028424832894984,0.4386082681559296,0.6277777777777778
2022-06-03_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-100009_T177s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Feb 20 16:30:08 2023,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,0.0035478463514806435,0.0031724057326495427,0.20412822315356013,0.006048213868260913,4.898881617402446,3.2984158533773056,1.0,0,0.32243586799721696,0.16030141214578772,1.0,0,6.0,0,0.5203334646209923,0.09205794447234436,0.04,0,20.12446227661505,0.48141713798171865,0.7444444444444445
2022-06-03_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-1000010_T199s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Feb 20 16:30:08 2023,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,0.00047315326339503194,0.002633449578925125,0.21296252766533896,0.004976725392711141,4.69566177187498,3.334732789391196,1.0,0,0.3552100438708594,0.1393184515498562,1.0,0,6.0,0,0.5398825835347121,0.06744600292036151,0.04,0,19.460056581824052,0.5015032667099879,0.6444444444444445
