name_of_plot,master_file,parent_name,parent_uqid,time of fit,Diff_eq,Diff_species,Triplet_eq,Triplet_species,Dimen,xmin,xmax,offset,stdev(offset),GN0,stdev(GN0),N (FCS),cpm (kHz),A1,stdev(A1),txy1,stdev(txy1),alpha1,stdev(alpha1),AR1,stdev(AR1),T1,stdev(T1),tauT1,stdev(tauT1),N (mom),bri (kHz),above zero
2022-06-03_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-100001_T0s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 13:50:17 2022,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,0.029947,0.0019058387692412115,0.483766,0.0038711491195813795,2.067115092834139,10.243743709630943,1.0,0,0.241065,0.01939683482153335,1.0,0,6.0,0,0.196492,0.028437849712083164,0.04,0,4.479715694560464,4.266220660724094,0.8444444444444444
2022-06-03_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-100002_T24s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 13:50:17 2022,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,0.0063132637075480336,0.0009283619267963353,0.3976795600664243,0.001896074454538141,2.514587372388388,12.371041552823172,1.0,0,0.23435106201443393,0.010810050325491623,1.0,0,6.0,0,0.16215887256781913,0.017223145457281083,0.04,0,5.897966595937774,4.7810485912700935,0.8111111111111111
2022-06-03_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-100003_T46s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 13:50:17 2022,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,0.0022167041761336215,0.0014725368048795625,0.3787880504731848,0.002959293876712804,2.6399988034226336,13.47137701771889,1.0,0,0.2684188631159484,0.02026886838122669,1.0,0,6.0,0,0.20535380225300548,0.025588622228665137,0.04,0,6.238721336472327,5.170541778988771,0.7111111111111111
2022-06-03_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-100004_T67s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 13:50:17 2022,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,0.0044424579496027405,0.0014750371504871377,0.3667216693473332,0.0029434411115610267,2.726863677785208,12.286085185777706,1.0,0,0.28412404694571164,0.02226427516521638,1.0,0,6.0,0,0.22865560234897053,0.025275395998730018,0.04,0,6.423120671859847,4.471086123730443,0.7277777777777777
2022-06-03_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-100005_T89s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 13:50:17 2022,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,0.007228596197527581,0.00129750526393463,0.37880280968595287,0.0026323724260667257,2.639895941714508,11.630909729762031,1.0,0,0.24297184983043243,0.017053067342866542,1.0,0,6.0,0,0.2018391900509564,0.024565071338109205,0.04,0,6.3025782553624365,4.132745753589419,0.7666666666666667
2022-06-03_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-100006_T111s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 13:50:17 2022,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,0.005966101114859956,0.0013587388021671972,0.4177460001927881,0.0027342465164373526,2.3937991016993676,12.088044289425135,1.0,0,0.26331461239505416,0.01696129956193023,1.0,0,6.0,0,0.21093488941159588,0.02176643548428959,0.04,0,5.581432786286795,4.5208718687217635,0.7777777777777778
2022-06-03_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-100007_T133s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 13:50:17 2022,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,0.007153096252399904,0.0016055992136432481,0.4433461679615646,0.00322836465306368,2.255573798230492,11.049005022238251,1.0,0,0.25904153758433324,0.01955172710184647,1.0,0,6.0,0,0.2378957319336128,0.024630303802510634,0.04,0,5.4889657535735195,3.944955206762735,0.7722222222222223
2022-06-03_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-100008_T156s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 13:50:17 2022,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,0.007582667972029222,0.0018465214970978456,0.4351168462486369,0.003748194412839482,2.2982332415338718,9.71460410255513,1.0,0,0.23642083255792948,0.021598116542682174,1.0,0,6.0,0,0.22298472055437557,0.03127050096585406,0.04,0,5.822457942109054,3.2941137022518587,0.7944444444444444
2022-06-03_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-100009_T177s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 13:50:18 2022,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,0.006548600998592891,0.0018880536659944495,0.45623986436240843,0.0038749446579534577,2.1918295136210686,9.60743207561493,1.0,0,0.21961407273797467,0.019091647635247223,1.0,0,6.0,0,0.1762317322004936,0.032436684923221715,0.04,0,5.3836270111991675,3.3437402226836204,0.7333333333333333
2022-06-03_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-1000010_T199s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 13:50:18 2022,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,0.003796889121373992,0.002406150545058221,0.4554713283784847,0.004932368796218806,2.195527880009664,8.926537018484472,1.0,0,0.2129143705386524,0.025628773010685946,1.0,0,6.0,0,0.215888883364157,0.042909288940436476,0.04,0,5.893096178713461,2.787614791608931,0.7166666666666667
