name_of_plot,master_file,parent_name,parent_uqid,time of fit,Diff_eq,Diff_species,Triplet_eq,Triplet_species,Dimen,xmin,xmax,offset,stdev(offset),GN0,stdev(GN0),N (FCS),cpm (kHz),A1,stdev(A1),A2,stdev(A2),txy1,stdev(txy1),txy2,stdev(txy2),alpha1,stdev(alpha1),alpha2,stdev(alpha2),AR1,stdev(AR1),AR2,stdev(AR2),T1,stdev(T1),tauT1,stdev(tauT1),N (mom),bri (kHz),above zero
2022-06-03_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-100001_T0s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 13:51:07 2022,Equation 1B,2,Triplet Eq 2B,1,3D,0.001018,939.52409,0.03082,None,1.350734,None,0.740338216110648,28.601788707525213,0.665311,None,0.334689,None,0.0001,None,0.203118,None,1.0,None,1.0,None,6.0,None,6.0,None,0.057887,None,0.04,None,4.479715694560464,4.266220660724094,0.8444444444444444
2022-06-03_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-100002_T24s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 13:51:07 2022,Equation 1B,2,Triplet Eq 2B,1,3D,0.001018,939.52409,-0.005668036061046489,None,0.40943787424578887,None,2.4423729774439282,12.73681995310045,0.03967432246125102,None,0.960325677538749,None,922.4717515969787,None,0.22609834872376455,None,1.0,None,1.0,None,6.0,None,6.0,None,0.14951589246886554,None,0.04,None,5.897966595937774,4.7810485912700935,0.8111111111111111
2022-06-03_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-100003_T46s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 13:51:07 2022,Equation 1B,2,Triplet Eq 2B,1,3D,0.001018,939.52409,0.03081999999999996,None,1.350734,None,0.740338216110648,48.03807021346271,0.665311,None,0.334689,None,0.0001,None,0.20311799999997887,None,1.0,None,1.0,None,6.0,None,6.0,None,0.057886999999978705,None,0.04,None,6.238721336472327,5.170541778988771,0.7111111111111111
2022-06-03_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-100004_T67s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 13:51:08 2022,Equation 1B,2,Triplet Eq 2B,1,3D,0.001018,939.52409,-0.009021983698676572,None,0.37967493306957717,None,2.6338320307723486,12.720051637251842,0.060674561444384545,None,0.9393254385556155,None,303.10113223553935,None,0.2554636285948446,None,1.0,None,1.0,None,6.0,None,6.0,None,0.2006005591509985,None,0.04,None,6.423120671859847,4.471086123730443,0.7277777777777777
2022-06-03_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-100005_T89s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 13:51:08 2022,Equation 1B,2,Triplet Eq 2B,1,3D,0.001018,939.52409,0.03081999999999996,None,1.350734,None,0.740338216110648,41.473465405246095,0.665311,None,0.334689,None,0.0001,None,0.20311799999997887,None,1.0,None,1.0,None,6.0,None,6.0,None,0.057886999999978705,None,0.04,None,6.3025782553624365,4.132745753589419,0.7666666666666667
2022-06-03_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-100006_T111s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 13:51:08 2022,Equation 1B,2,Triplet Eq 2B,1,3D,0.001018,939.52409,0.03081999999999996,None,1.350734,None,0.740338216110648,39.085311188370895,0.665311,None,0.334689,None,0.0001,None,0.20311799999997887,None,1.0,None,1.0,None,6.0,None,6.0,None,0.057886999999978705,None,0.04,None,5.581432786286795,4.5208718687217635,0.7777777777777778
2022-06-03_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-100007_T133s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 13:51:08 2022,Equation 1B,2,Triplet Eq 2B,1,3D,0.001018,939.52409,0.03081999999999996,None,1.350734,None,0.740338216110648,33.66278503844383,0.665311,None,0.334689,None,0.0001,None,0.20311799999997887,None,1.0,None,1.0,None,6.0,None,6.0,None,0.057886999999978705,None,0.04,None,5.4889657535735195,3.944955206762735,0.7722222222222223
2022-06-03_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-100008_T156s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 13:51:08 2022,Equation 1B,2,Triplet Eq 2B,1,3D,0.001018,939.52409,0.03081999999999996,None,1.350734,None,0.740338216110648,30.15706280046566,0.665311,None,0.334689,None,0.0001,None,0.20311799999997887,None,1.0,None,1.0,None,6.0,None,6.0,None,0.057886999999978705,None,0.04,None,5.822457942109054,3.2941137022518587,0.7944444444444444
2022-06-03_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-100009_T177s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 13:51:08 2022,Equation 1B,2,Triplet Eq 2B,1,3D,0.001018,939.52409,0.03081999999999996,None,1.350734,None,0.740338216110648,28.443558248376718,0.665311,None,0.334689,None,0.0001,None,0.20311799999997887,None,1.0,None,1.0,None,6.0,None,6.0,None,0.057886999999978705,None,0.04,None,5.3836270111991675,3.3437402226836204,0.7333333333333333
2022-06-03_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-1000010_T199s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 13:51:08 2022,Equation 1B,2,Triplet Eq 2B,1,3D,0.001018,939.52409,0.03081999999999996,None,1.350734,None,0.740338216110648,26.472307479926027,0.665311,None,0.334689,None,0.0001,None,0.20311799999997887,None,1.0,None,1.0,None,6.0,None,6.0,None,0.057886999999978705,None,0.04,None,5.893096178713461,2.787614791608931,0.7166666666666667
