Time (ms),1-25,1-25 fitted model: ,26-50,26-50 fitted model: ,51-75,51-75 fitted model: ,76-100,76-100 fitted model: ,101-125,101-125 fitted model: ,126-150,126-150 fitted model: ,151-175,151-175 fitted model: ,176-200,176-200 fitted model: ,201-225,201-225 fitted model: ,226-250,226-250 fitted model: ,
1e-06,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
2e-06,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
3e-06,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
4e-06,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
5e-06,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
6e-06,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
8e-06,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
1e-05,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
1.2e-05,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
1.4e-05,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
1.6e-05,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
1.8e-05,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
2.2e-05,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
2.6e-05,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
3e-05,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
3.4e-05,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
3.8e-05,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
4.2e-05,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
5e-05,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
5.8e-05,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
6.6e-05,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
7.4e-05,3.244353974638664, ,8.277028534585689, ,9.995295753987502, ,7.336563294577741, ,5.202042900314482, ,4.433658503940144, ,4.162974517455078, ,3.7207685659431102, ,3.3282124144490264, ,3.3749602868608632, ,
8.2e-05,1.5303012804361693, ,4.581462912998459, ,5.687370795199561, ,3.9977073371638983, ,2.850352039786352, ,2.1982709219276377, ,2.075202083558767, ,1.813954458697509, ,1.6751953084517752, ,1.7146658434401483, ,
9e-05,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
0.000106,1.340106899515633, ,3.5889934864379076, ,4.708769811279051, ,3.2851136522902853, ,2.21753282116933, ,1.8461887945721949, ,1.7068827949035028, ,1.5063639268076443, ,1.412461384221771, ,1.3743209989664036, ,
0.000122,2.7144498212046018, ,5.970062360546827, ,7.314581666934718, ,5.360146972515923, ,3.9359642668958426, ,3.506786075301148, ,3.201765068931225, ,2.962236719338219, ,2.7240947107257263, ,2.7934928123044154, ,
0.000138,1.3859373208479215, ,3.1614312426235993, ,3.801845075274012, ,2.9764091968291795, ,2.0774489709899537, ,1.8162721637416266, ,1.6151389445682718, ,1.5183776011207295, ,1.440414129424648, ,1.371180865202823, ,
0.000154,0.6449434089008405, ,1.9063943067731888, ,2.4834983235493215, ,1.5981445161708765, ,1.1351113259613148, ,0.8345262344941272, ,0.841237375979473, ,0.7198164328737637, ,0.6925469171863898, ,0.6579501167513335, ,
0.00017,2.151934675390482, ,4.20677511111717, ,5.061663545391308, ,3.869247327920696, ,3.0021533778184217, ,2.6656614305045467, ,2.551573545466617, ,2.3876776626964733, ,2.2767219090568065, ,2.313007317528641, ,
0.000186,0.5912232108190313, ,1.523671818092897, ,1.8015698615068203, ,1.2723443060021125, ,0.9438590209442108, ,0.8307087144249965, ,0.7725890300694137, ,0.6838791243634836, ,0.6289714637723226, ,0.5890001488133799, ,
0.000218,1.1408164494637196, ,2.293160973982537, ,2.777403412621337, ,2.2207132612795584, ,1.5812327385373823, ,1.4373364559099335, ,1.3646909824835374, ,1.2492737098220732, ,1.1756512221674398, ,1.193259131151164, ,
0.00025,0.8156005114615202, ,1.779421851489374, ,2.0444073559839633, ,1.6180299558778077, ,1.2821777015663924, ,1.0641241213727504, ,0.9685524189652586, ,0.916406976190421, ,0.8336149789190511, ,0.8590092559147736, ,
0.000282,0.7188508553250094, ,1.5914600117617603, ,1.8859479974735496, ,1.384547012182657, ,1.0534449562434447, ,0.9417909195367642, ,0.8957667479413876, ,0.8268921985915179, ,0.7671873754619771, ,0.7719060678098606, ,
0.000314,0.8211941685488161, ,1.6149330312976289, ,1.8153823098820678, ,1.5045575693560516, ,1.1565155002109266, ,1.031923893016198, ,0.9409426760520239, ,0.849553435241155, ,0.807371839563274, ,0.815766050704704, ,
0.000346,0.937897541788791, ,1.7530468366262275, ,1.993989658868967, ,1.6121177592461344, ,1.2708738541313125, ,1.103210380516015, ,1.0375942331439236, ,0.9759402194559078, ,0.9085577076011117, ,0.9043023991042021, ,
0.000378,0.6610018175007834, ,1.3358128027458531, ,1.6086776047906546, ,1.2884918025736087, ,0.9628895489669861, ,0.880594154878317, ,0.8079720793738286, ,0.7309593088953242, ,0.6990566302238722, ,0.6859227050882645, ,
0.000442,0.769300484829039, ,1.522294904248419, ,1.7860629051202912, ,1.4244431758877536, ,1.1168263856686476, ,0.9693840209339791, ,0.8972816297759217, ,0.8434250673219554, ,0.8025233500894147, ,0.7907405876689722, ,
0.000506,0.6565150629356665, ,1.3790655247164714, ,1.6329335029267456, ,1.2517312955116286, ,0.956222405670496, ,0.8413662014598542, ,0.8083036671345427, ,0.7300590329213824, ,0.6969407214976431, ,0.6817903021606644, ,
0.00057,0.7618639396198844, ,1.462473919870484, ,1.6920753321462092, ,1.3625384331055326, ,1.0929450338576825, ,0.9394868060834731, ,0.8749109982080074, ,0.8373444951254609, ,0.7878917751848943, ,0.7804622078064708, ,
0.000634,0.6744612020715038, ,1.3401179829680598, ,1.5849266532254382, ,1.2301018425834056, ,0.9808609050795029, ,0.8507168699239945, ,0.7902828421385815, ,0.7252819971810684, ,0.6750677415011797, ,0.6896696195702192, ,
0.000698,0.7148595691061997, ,1.4204479007915862, ,1.6440976049135492, ,1.3219785631920744, ,1.0213463310336763, ,0.9079981389042606, ,0.8426646016207302, ,0.7749724308690165, ,0.7257805459260126, ,0.7496245339745109, ,
0.000762,0.6977835691207389, ,1.308687548849945, ,1.5067751679213932, ,1.255196476618486, ,0.9757614072385337, ,0.8599350682372087, ,0.8128345715377686, ,0.748475070081633, ,0.702810407899659, ,0.7030273713536943, ,
0.00089,0.6805574278420621, ,1.3656223196609392, ,1.5852804387468953, ,1.2440064506370845, ,1.0014350087070607, ,0.8574062147298267, ,0.805871736892579, ,0.7392532038268917, ,0.6956934878144112, ,0.7006167651839196, ,
0.001018,0.6789249273846627,0.6488109120989995,1.2861008536733234,1.2858598059028892,1.5496771590200538,1.5010313177785901,1.2173754307032478,1.1852215683495606,0.9681319494320978,0.927084117681823,0.8525885454160819,0.8153256549191594,0.8048541581556786,0.7680457696299848,0.7315919796962408,0.7082778955998736,0.6947578376098046,0.6676860050612574,0.6981431942209697,0.6718715495278198,
