name_of_plot,master_file,parent_name,parent_uqid,time of fit,Diff_eq,Diff_species,Triplet_eq,Triplet_species,Dimen,xmin,xmax,offset,stdev(offset),GN0,stdev(GN0),N (FCS),cpm (kHz),A1,stdev(A1),A2,stdev(A2),txy1,stdev(txy1),txy2,stdev(txy2),alpha1,stdev(alpha1),alpha2,stdev(alpha2),AR1,stdev(AR1),AR2,stdev(AR2),T1,stdev(T1),tauT1,stdev(tauT1),N (mom),bri (kHz),above zero
2022-06-02_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-100001_T0s_1_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 13:41:11 2022,Equation 1B,2,Triplet Eq 2B,1,3D,0.001018,939.52409,0.019292,None,0.661049,None,1.5127471639772543,15.828056242662134,0.01718,None,0.98282,None,259.709619,None,0.355804,None,1.0,None,1.0,None,6.0,None,6.0,None,0.196821,None,0.04,None,2.9549672588055826,8.103117136775321,0.8388888888888889
2022-06-02_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-100002_T24s_1_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 13:41:11 2022,Equation 1B,2,Triplet Eq 2B,1,3D,0.001018,939.52409,-0.008801185057834227,None,0.48204649998915317,None,2.0744886645219944,16.28750254933599,0.03816152544643364,None,0.9618384745535664,None,1201.2940269550809,None,0.31590701052493325,None,1.0,None,1.0,None,6.0,None,6.0,None,0.16556447586346668,None,0.04,None,4.4732239385608645,7.553631261345771,0.7888888888888889
2022-06-02_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-100003_T46s_1_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 13:41:11 2022,Equation 1B,2,Triplet Eq 2B,1,3D,0.001018,939.52409,0.00014158166612521228,None,0.42884299008847115,None,2.3318557679902803,16.340592637982827,0.0054543458890628504,None,0.9945456541109372,None,33.78209282449504,None,0.3331580763091195,None,1.0,None,1.0,None,6.0,None,6.0,None,0.19673667835728992,None,0.04,None,5.014485547304746,7.598956563913309,0.7444444444444445
2022-06-02_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-100004_T67s_1_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 13:41:11 2022,Equation 1B,2,Triplet Eq 2B,1,3D,0.001018,939.52409,0.0013291510179820332,None,0.4306905133056067,None,2.3218528597829278,15.831795647652125,0.0013396445272951807,None,0.9986603554727048,None,57.07689289724204,None,0.34748209695617294,None,1.0,None,1.0,None,6.0,None,6.0,None,0.21797060987527317,None,0.04,None,5.041818647397618,7.291023650652138,0.8
2022-06-02_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-100005_T89s_1_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 13:41:11 2022,Equation 1B,2,Triplet Eq 2B,1,3D,0.001018,939.52409,-0.003182198719213658,None,0.47338465715739253,None,2.1124470024120714,16.249953877717108,0.015210546062084718,None,0.9847894539379153,None,1263.8034403456434,None,0.3525175745177856,None,1.0,None,1.0,None,6.0,None,6.0,None,0.21049994121141724,None,0.04,None,4.565586056902574,7.518864867292473,0.7666666666666667
2022-06-02_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-100006_T111s_1_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 13:41:11 2022,Equation 1B,2,Triplet Eq 2B,1,3D,0.001018,939.52409,0.0018062139125609722,None,0.49705882767591364,None,2.011834302743755,15.880009279988425,3.3044567082640697e-10,None,0.9999999996695543,None,1395.5398436767402,None,0.3555794755894784,None,1.0,None,1.0,None,6.0,None,6.0,None,0.21790687983169743,None,0.04,None,4.289193051823605,7.4486612679693405,0.7944444444444444
2022-06-02_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-100007_T133s_1_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 13:41:11 2022,Equation 1B,2,Triplet Eq 2B,1,3D,0.001018,939.52409,-0.006607375689306694,None,0.571416947601377,None,1.750035598694921,16.02776108014053,0.01812999662742526,None,0.9818700033725747,None,1010.5447791932665,None,0.35472077984882333,None,1.0,None,1.0,None,6.0,None,6.0,None,0.2125723132078705,None,0.04,None,3.798798894757322,7.383874355060413,0.7222222222222222
2022-06-02_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-100008_T156s_1_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 13:41:11 2022,Equation 1B,2,Triplet Eq 2B,1,3D,0.001018,939.52409,0.0021152096766696715,None,0.6150387859106546,None,1.6259137194402369,15.883678799053879,0.001936589695044788,None,0.9980634103049553,None,606.8765599675414,None,0.36582280354308744,None,1.0,None,1.0,None,6.0,None,6.0,None,0.2166324680736298,None,0.04,None,3.447481239591055,7.491306018922833,0.7888888888888889
2022-06-02_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-100009_T177s_1_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 13:41:11 2022,Equation 1B,2,Triplet Eq 2B,1,3D,0.001018,939.52409,0.0016185259633409999,None,0.6521452488938121,None,1.5334007288962532,15.997629371471783,1.6184309448163958e-10,None,0.9999999998381569,None,385.76529106191066,None,0.37176020545155336,None,1.0,None,1.0,None,6.0,None,6.0,None,0.20995341014579116,None,0.04,None,3.2048777660172885,7.654391725748812,0.7833333333333333
2022-06-02_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-1000010_T199s_1_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 13:41:11 2022,Equation 1B,2,Triplet Eq 2B,1,3D,0.001018,939.52409,-0.006181476348672499,None,0.6527836196009965,None,1.531901184363716,15.017679021881237,0.015324953020862009,None,0.984675046979138,None,587.5310734154341,None,0.31954985318061657,None,1.0,None,1.0,None,6.0,None,6.0,None,0.18709221422136268,None,0.04,None,3.3648485471414613,6.8372098003353425,0.7
2022-06-02_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-1000011_T221s_1_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 13:41:11 2022,Equation 1B,2,Triplet Eq 2B,1,3D,0.001018,939.52409,0.0018049772013686294,None,1.8205197362921928,None,0.5492936879864182,39.911793352612335,0.6282610073972325,None,0.37173899260276755,None,0.0001000000002220446,None,0.3173092313223524,None,1.0,None,1.0,None,6.0,None,6.0,None,0.13051259539825777,None,0.04,None,3.0154625430203708,7.270474753223794,0.7166666666666667
2022-06-02_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-1000012_T244s_1_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 13:41:11 2022,Equation 1B,2,Triplet Eq 2B,1,3D,0.001018,939.52409,-0.0018751643655495753,None,0.6902413387832166,None,1.4487686317988975,15.384488550491525,0.004986584275893047,None,0.995013415724107,None,95.24859196883763,None,0.3487750676970575,None,1.0,None,1.0,None,6.0,None,6.0,None,0.21871094834974292,None,0.04,None,3.15538134247935,7.06384403813853,0.7222222222222222
2022-06-02_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-1000013_T266s_1_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 13:41:11 2022,Equation 1B,2,Triplet Eq 2B,1,3D,0.001018,939.52409,-0.0033861096434560922,None,0.7216110284201372,None,1.3857881332403623,15.916468263490616,0.0181570521472042,None,0.9818429478527958,None,141.7371371419584,None,0.3490685972162823,None,1.0,None,1.0,None,6.0,None,6.0,None,0.22442454345705798,None,0.04,None,3.0351292334479436,7.267369066939342,0.7222222222222222
2022-06-02_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-1000014_T287s_1_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 13:41:11 2022,Equation 1B,2,Triplet Eq 2B,1,3D,0.001018,939.52409,-0.003989654430455958,None,0.7085970407477141,None,1.4112393116189088,15.746203283950816,0.011482342883367969,None,0.9885176571166321,None,352.75093050081637,None,0.34889775218948355,None,1.0,None,1.0,None,6.0,None,6.0,None,0.20184634791498013,None,0.04,None,3.027171137719883,7.340918519389729,0.7611111111111111
