name_of_plot,master_file,parent_name,parent_uqid,time of fit,Diff_eq,Diff_species,Triplet_eq,Triplet_species,Dimen,xmin,xmax,offset,stdev(offset),GN0,stdev(GN0),N (FCS),cpm (kHz),A1,stdev(A1),txy1,stdev(txy1),alpha1,stdev(alpha1),AR1,stdev(AR1),N (mom),bri (kHz),above zero
2022-06-03_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-100001_T0s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 12:05:40 2022,Equation 1B,1,no triplet,1,3D,0.001018,100.66329,0.02261,0.0034775636713023804,0.609757,0.004920430380337119,1.6399975728035923,13.731397650765418,1.0,0,0.210549,0.008040031970609223,1.0,0,5.0,0,3.2105456048480376,6.506874334603486,0.8555555555555555
2022-06-03_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-100002_T24s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 12:05:40 2022,Equation 1B,1,no triplet,1,3D,0.001018,100.66329,0.0089237104463038,0.001866072175300872,0.44620130827266363,0.0026456800390987274,2.2411408964066113,14.856940851600777,1.0,0,0.20800155440458357,0.005834718733669059,1.0,0,5.0,0,4.6307217129992235,7.073315699321072,0.75
2022-06-03_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-100003_T46s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 12:05:41 2022,Equation 1B,1,no triplet,1,3D,0.001018,100.66329,0.006768754447485925,0.0020937552934925403,0.40768423866423076,0.0029651580168653996,2.4528787359464275,15.497047576555097,1.0,0,0.2093939417900767,0.007206212544477189,1.0,0,5.0,0,5.060058744605032,7.495524557898061,0.7
2022-06-03_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-100004_T67s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 12:05:41 2022,Equation 1B,1,no triplet,1,3D,0.001018,100.66329,0.007066056558084122,0.0023240952524720784,0.4054245188056482,0.0033042350592580928,2.4665503777273483,14.79543931034208,1.0,0,0.2046050664800764,0.007885631834364352,1.0,0,5.0,0,5.142477696832101,7.036375604002284,0.7388888888888889
2022-06-03_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-100005_T89s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 12:05:41 2022,Equation 1B,1,no triplet,1,3D,0.001018,100.66329,0.007482093330850592,0.002196908451977718,0.44046031274287767,0.003117493772783687,2.2703521090758483,14.961305713595332,1.0,0,0.20689896713926784,0.006927196850760735,1.0,0,5.0,0,4.701720720679462,7.14336749335215,0.7222222222222222
2022-06-03_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-100006_T111s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 12:05:41 2022,Equation 1B,1,no triplet,1,3D,0.001018,100.66329,0.009352411320974974,0.0025937387195178094,0.4721150494010299,0.0036833804510558424,2.1181277768389193,15.018359954696027,1.0,0,0.20597405180112094,0.0076009229786427575,1.0,0,5.0,0,4.336991558437394,7.3045048719466905,0.8611111111111112
2022-06-03_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-100007_T133s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 12:05:41 2022,Equation 1B,1,no triplet,1,3D,0.001018,100.66329,0.009553381060352417,0.002937079303079225,0.5358818095351358,0.004169937620840367,1.8660831217008007,14.967796355327728,1.0,0,0.20628239337496518,0.007592500130201557,1.0,0,5.0,0,3.8374503797793102,7.252911359640696,0.7055555555555556
2022-06-03_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-100008_T156s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 12:05:41 2022,Equation 1B,1,no triplet,1,3D,0.001018,100.66329,0.010258838827075345,0.0032010459341466216,0.5768412359899079,0.004553906243934986,1.7335792547561484,14.646608651382774,1.0,0,0.20383040634624497,0.007608926401830013,1.0,0,5.0,0,3.59695774690655,6.946613154418909,0.7611111111111111
2022-06-03_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-100009_T177s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 12:05:41 2022,Equation 1B,1,no triplet,1,3D,0.001018,100.66329,0.009658504865140083,0.0031050274448931403,0.6117712813560868,0.004370987207224278,1.6345978153524032,14.827043841436018,1.0,0,0.21707720614468048,0.007344853961332862,1.0,0,5.0,0,3.312415517165034,7.245996164092962,0.7611111111111111
2022-06-03_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-1000010_T199s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 12:05:41 2022,Equation 1B,1,no triplet,1,3D,0.001018,100.66329,0.007337478970084965,0.00321420758324385,0.6090711103484,0.0045885495838111166,1.6418444135824821,13.78909528099243,1.0,0,0.1997105121639294,0.007110362239354498,1.0,0,5.0,0,3.4903035379691407,6.387000929972646,0.6888888888888889
