name_of_plot,master_file,parent_name,parent_uqid,time of fit,Diff_eq,Diff_species,Triplet_eq,Triplet_species,Dimen,xmin,xmax,offset,stdev(offset),GN0,stdev(GN0),N (FCS),cpm (kHz),A1,stdev(A1),txy1,stdev(txy1),alpha1,stdev(alpha1),AR1,stdev(AR1),N (mom),bri (kHz),above zero
2022-06-03_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-100001_T0s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 12:13:32 2022,Equation 1B,1,no triplet,1,3D,0.001018,100.66329,0.030269,0.0031159618477441236,0.507113,0.0046041527966753934,1.9719470808281387,10.591245538786128,1.0,0,0.164239,0.007002631947694748,1.0,0,5.0,0,4.117435647321209,4.389072436829264,0.8333333333333334
2022-06-03_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-100002_T24s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 12:13:32 2022,Equation 1B,1,no triplet,1,3D,0.001018,100.66329,0.01082348352187612,0.00153808348638605,0.42230251993363366,0.002214945233061208,2.36797071482584,13.816732438450638,1.0,0,0.18986145660510126,0.004699128386081603,1.0,0,5.0,0,5.050824726622894,6.249161070651188,0.75
2022-06-03_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-100003_T46s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 12:13:32 2022,Equation 1B,1,no triplet,1,3D,0.001018,100.66329,0.006445668335624211,0.002005400239754294,0.3922652235035773,0.0028806475668911266,2.5492955788136045,14.602682077466417,1.0,0,0.192657812687862,0.0066790236387909456,1.0,0,5.0,0,5.446566761460972,6.646722003353269,0.6888888888888889
2022-06-03_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-100004_T67s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 12:13:32 2022,Equation 1B,1,no triplet,1,3D,0.001018,100.66329,0.008054120492978378,0.002039545220268349,0.39030370984542684,0.0029437697974881985,2.5621073404504227,14.013588813868664,1.0,0,0.18740413382713894,0.00666710092991772,1.0,0,5.0,0,5.52520147836545,6.319737494152623,0.7111111111111111
2022-06-03_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-100005_T89s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 12:13:33 2022,Equation 1B,1,no triplet,1,3D,0.001018,100.66329,0.009424648709552619,0.002040332091716926,0.41608602213977414,0.002947775980730017,2.40334917971379,13.771819368648769,1.0,0,0.1863540641966584,0.006226421713469272,1.0,0,5.0,0,5.150687636945948,6.153067157905202,0.7222222222222222
2022-06-03_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-100006_T111s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 12:13:33 2022,Equation 1B,1,no triplet,1,3D,0.001018,100.66329,0.008728080879647049,0.0024431793445029272,0.44344715541924445,0.003546503840022465,2.255060130117598,13.615723259650135,1.0,0,0.18139375171255775,0.006836022910641714,1.0,0,5.0,0,4.875692041970327,6.0258222322302295,0.8
2022-06-03_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-100007_T133s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 12:13:33 2022,Equation 1B,1,no triplet,1,3D,0.001018,100.66329,0.012431979395885806,0.0025445973450174833,0.48185247614227433,0.0037348660414739383,2.0753239829875536,12.696280112682448,1.0,0,0.1704376443250294,0.006212026898101374,1.0,0,5.0,0,4.5650018536085355,5.378692565306538,0.7666666666666667
2022-06-03_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-100008_T156s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 12:13:33 2022,Equation 1B,1,no triplet,1,3D,0.001018,100.66329,0.015849783570621168,0.002968770667372346,0.49050320718682827,0.004380431311318973,2.0387226532835063,11.59453584460493,1.0,0,0.165545166575808,0.0069444502720017245,1.0,0,5.0,0,4.553880263280642,4.721339009350852,0.7166666666666667
2022-06-03_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-100009_T177s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 12:13:33 2022,Equation 1B,1,no triplet,1,3D,0.001018,100.66329,0.013713716410010734,0.0025258043679640485,0.5087199167052364,0.0037304747743937164,1.9657182020247541,11.257871474444698,1.0,0,0.1646435303834406,0.005670312699585372,1.0,0,5.0,0,4.387394511702594,4.529529781572135,0.7277777777777777
2022-06-03_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-1000010_T199s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 12:13:33 2022,Equation 1B,1,no triplet,1,3D,0.001018,100.66329,0.009867522799621775,0.003087574122276269,0.5196563633184071,0.004576545484955529,1.9243486091736235,10.901642408052355,1.0,0,0.16141851659157927,0.0066720233777945994,1.0,0,5.0,0,4.500079951466318,4.229731353985421,0.7
