name_of_plot,master_file,parent_name,parent_uqid,time of fit,Diff_eq,Diff_species,Triplet_eq,Triplet_species,Dimen,xmin,xmax,offset,stdev(offset),GN0,stdev(GN0),N (FCS),cpm (kHz),A1,stdev(A1),A2,stdev(A2),txy1,stdev(txy1),txy2,stdev(txy2),alpha1,stdev(alpha1),alpha2,stdev(alpha2),AR1,stdev(AR1),AR2,stdev(AR2),N (mom),bri (kHz),above zero
2022-06-03_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-100001_T0s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 12:15:31 2022,Equation 1B,2,no triplet,1,3D,0.001018,100.66329,0.027016,None,0.645989,None,1.5480139754701705,13.491722977630058,0.260486,None,0.739514,None,0.000844,None,0.198624,None,1.0,None,1.0,None,5.0,None,5.0,None,4.117435647321209,4.389072436829264,0.8333333333333334
2022-06-03_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-100002_T24s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 12:15:31 2022,Equation 1B,2,no triplet,1,3D,0.001018,100.66329,0.007275272208517425,None,0.44103868723936834,None,2.2673747880472495,14.429735199187338,0.17371433930227953,None,0.8262856606977205,None,0.019349164475148745,None,0.2606993802519654,None,1.0,None,1.0,None,5.0,None,5.0,None,5.050824726622894,6.249161070651188,0.75
2022-06-03_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-100003_T46s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 12:15:31 2022,Equation 1B,2,no triplet,1,3D,0.001018,100.66329,0.003198472724290413,None,0.4699462650676497,None,2.127902856842682,17.494479477386218,0.22446059710401112,None,0.7755394028959889,None,0.001619100147546535,None,0.24386913212211106,None,1.0,None,1.0,None,5.0,None,5.0,None,5.446566761460972,6.646722003353269,0.6888888888888889
2022-06-03_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-100004_T67s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 12:15:31 2022,Equation 1B,2,no triplet,1,3D,0.001018,100.66329,0.003335882761183573,None,0.4242318746250118,None,2.3572014735666027,15.231756457262524,0.20783996534936172,None,0.7921600346506383,None,0.009636161299982751,None,0.27782766297613204,None,1.0,None,1.0,None,5.0,None,5.0,None,5.52520147836545,6.319737494152623,0.7111111111111111
2022-06-03_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-100005_T89s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 12:15:31 2022,Equation 1B,2,no triplet,1,3D,0.001018,100.66329,0.0047330979118755945,None,0.4479467015386487,None,2.23240844628414,14.826359772066436,0.198152617598634,None,0.801847382401366,None,0.010818981297075352,None,0.27122696673173435,None,1.0,None,1.0,None,5.0,None,5.0,None,5.150687636945948,6.153067157905202,0.7222222222222222
2022-06-03_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-100006_T111s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 12:15:31 2022,Equation 1B,2,no triplet,1,3D,0.001018,100.66329,0.00350838834634859,None,0.49104478150808,None,2.0364741417856718,15.07717384450998,0.20994223849545668,None,0.7900577615045433,None,0.0064883069526496,None,0.26315541591624314,None,1.0,None,1.0,None,5.0,None,5.0,None,4.875692041970327,6.0258222322302295,0.8
2022-06-03_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-100007_T133s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 12:15:31 2022,Equation 1B,2,no triplet,1,3D,0.001018,100.66329,0.007111000289812042,None,0.5255649517796647,None,1.9027143964105795,13.84805552650692,0.20305008399366986,None,0.7969499160063301,None,0.007958299957190355,None,0.246321193992849,None,1.0,None,1.0,None,5.0,None,5.0,None,4.5650018536085355,5.378692565306538,0.7666666666666667
2022-06-03_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-100008_T156s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 12:15:31 2022,Equation 1B,2,no triplet,1,3D,0.001018,100.66329,0.011694498203184689,None,0.5621780661199169,None,1.7787958304774776,13.288789233533668,0.20075725213349277,None,0.7992427478665072,None,0.0026070874588482148,None,0.21498569040662804,None,1.0,None,1.0,None,5.0,None,5.0,None,4.553880263280642,4.721339009350852,0.7166666666666667
2022-06-03_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-100009_T177s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 12:15:31 2022,Equation 1B,2,no triplet,1,3D,0.001018,100.66329,0.008017860544465405,None,0.542194425817984,None,1.8443568439335125,11.998655762392671,0.21776680651296554,None,0.7822331934870345,None,0.014583848552632648,None,0.24950079345946022,None,1.0,None,1.0,None,5.0,None,5.0,None,4.387394511702594,4.529529781572135,0.7277777777777777
2022-06-03_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-1000010_T199s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 12:15:31 2022,Equation 1B,2,no triplet,1,3D,0.001018,100.66329,0.00597594810262847,None,0.6285801915076409,None,1.5908869122991514,13.186707517334154,0.23337432219769066,None,0.7666256778023093,None,0.001445059321282605,None,0.2032622810815079,None,1.0,None,1.0,None,5.0,None,5.0,None,4.500079951466318,4.229731353985421,0.7
2022-06-03_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-1000011_T221s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 12:15:31 2022,Equation 1B,2,no triplet,1,3D,0.001018,100.66329,0.014467900210283657,None,1.8289707688237153,None,0.5467555944828687,35.572422444661115,0.710626378545615,None,0.28937362145438505,None,0.00010000000532907025,None,0.18182786990400693,None,1.0,None,1.0,None,5.0,None,5.0,None,4.1453123824182505,4.133355192036153,0.6944444444444444
2022-06-03_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-1000012_T244s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 12:15:31 2022,Equation 1B,2,no triplet,1,3D,0.001018,100.66329,0.0067330214119535325,None,0.5795914610664672,None,1.7253532309809523,11.530270773917566,0.1832230058296032,None,0.8167769941703968,None,0.0046358874471121745,None,0.20270144946076132,None,1.0,None,1.0,None,5.0,None,5.0,None,4.481251737705062,3.9606302395935415,0.7055555555555556
2022-06-03_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-1000013_T266s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 12:15:31 2022,Equation 1B,2,no triplet,1,3D,0.001018,100.66329,0.010681167622141885,None,0.6104191323776944,None,1.6382186385685795,11.800133214667142,0.21241113782466592,None,0.7875888621753341,None,0.0029199139608968236,None,0.1976152668369814,None,1.0,None,1.0,None,5.0,None,5.0,None,4.450998147033955,3.7972533484054902,0.7222222222222222
2022-06-03_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-1000014_T287s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 12:15:31 2022,Equation 1B,2,no triplet,1,3D,0.001018,100.66329,0.00836508321209406,None,0.5913321162066099,None,1.6910970545875148,11.840495530000352,0.1723640712962205,None,0.8276359287037796,None,0.008024217335780702,None,0.2205489153783828,None,1.0,None,1.0,None,5.0,None,5.0,None,4.154240779151239,4.351819465706378,0.8222222222222222
2022-06-03_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-1000015_T309s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 12:15:31 2022,Equation 1B,2,no triplet,1,3D,0.001018,100.66329,0.009994650590989806,None,0.5243727286085914,None,1.9070404417359241,10.337616831086343,0.2725828488245501,None,0.7274171511754499,None,0.039333924181548754,None,0.2758055238992461,None,1.0,None,1.0,None,5.0,None,5.0,None,4.3764114904684295,3.9792661535341236,0.7388888888888889
2022-06-03_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-1000016_T331s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 12:15:32 2022,Equation 1B,2,no triplet,1,3D,0.001018,100.66329,0.009839334070817052,None,0.6237770274187215,None,1.6031369480504,12.553734621242794,0.23202911256666375,None,0.7679708874333362,None,0.005608138735938442,None,0.21864208592479878,None,1.0,None,1.0,None,5.0,None,5.0,None,4.2428797154616325,4.249838589233059,0.7944444444444444
2022-06-03_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-1000017_T353s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 12:15:32 2022,Equation 1B,2,no triplet,1,3D,0.001018,100.66329,0.006824536436373152,None,0.5924936207049123,None,1.6877818849935664,12.140683809087415,0.25049772244560714,None,0.7495022775543929,None,0.009415283748120179,None,0.23868265774034023,None,1.0,None,1.0,None,5.0,None,5.0,None,4.400674509935291,4.13861579443613,0.7388888888888889
2022-06-03_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-1000018_T375s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 12:15:32 2022,Equation 1B,2,no triplet,1,3D,0.001018,100.66329,0.006190743583983194,None,0.5971150055446329,None,1.674719259630551,12.09320064379981,0.1979175744609209,None,0.802082425539079,None,0.0077533734754388,None,0.22459609971741276,None,1.0,None,1.0,None,5.0,None,5.0,None,4.177834128222691,4.3508580593120305,0.7333333333333333
2022-06-03_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-1000019_T396s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 12:15:32 2022,Equation 1B,2,no triplet,1,3D,0.001018,100.66329,0.010971034991064332,None,0.6605606529530812,None,1.5138655254887379,13.255797837932409,0.2429822168922105,None,0.7570177831077896,None,0.0018016899130503033,None,0.20917761322694997,None,1.0,None,1.0,None,5.0,None,5.0,None,4.198490101180437,4.249227125803143,0.7666666666666667
2022-06-03_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-1000020_T418s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 12:15:32 2022,Equation 1B,2,no triplet,1,3D,0.001018,100.66329,0.007363738272359033,None,0.5626942338980628,None,1.7771641146426944,11.1804063543889,0.12635024489957886,None,0.8736497551004212,None,0.012852480741261892,None,0.20637907888894425,None,1.0,None,1.0,None,5.0,None,5.0,None,4.285115043012134,4.147737653848981,0.75
2022-06-03_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-1000021_T440s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 12:15:32 2022,Equation 1B,2,no triplet,1,3D,0.001018,100.66329,0.01034365110470259,None,1.1681452620061783,None,0.8560579172170721,22.113434671836657,0.5658551187147067,None,0.43414488128529327,None,0.00021580016976966836,None,0.17956375213736622,None,1.0,None,1.0,None,5.0,None,5.0,None,4.431711089742314,3.7522182333875005,0.7722222222222223
2022-06-03_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-1000022_T461s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 12:15:32 2022,Equation 1B,2,no triplet,1,3D,0.001018,100.66329,0.01032648440890127,None,1.4689019188999268,None,0.6807806478657938,26.929229739405926,0.6353454285710248,None,0.36465457142897517,None,0.00010000000166533446,None,0.17843420221384912,None,1.0,None,1.0,None,5.0,None,5.0,None,4.21507979962345,3.834248197650525,0.6944444444444444
2022-06-03_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-1000023_T483s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 12:15:32 2022,Equation 1B,2,no triplet,1,3D,0.001018,100.66329,0.00966055082424111,None,0.5685104411529008,None,1.7589826458984068,9.441640759753502,0.18745063561118025,None,0.8125493643888198,None,0.004761011885106121,None,0.19231500860722733,None,1.0,None,1.0,None,5.0,None,5.0,None,4.674033997496949,2.98809283181094,0.7444444444444445
2022-06-03_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-1000024_T505s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 12:15:32 2022,Equation 1B,2,no triplet,1,3D,0.001018,100.66329,0.0071487834155589125,None,0.5773731497555751,None,1.731982168591213,9.046401915649186,0.16618940893764572,None,0.8338105910623543,None,0.007365767207863448,None,0.20493147446338503,None,1.0,None,1.0,None,5.0,None,5.0,None,4.429665046532969,3.024554758942339,0.7833333333333333
