name_of_plot,master_file,parent_name,parent_uqid,time of fit,Diff_eq,Diff_species,Triplet_eq,Triplet_species,Dimen,xmin,xmax,offset,stdev(offset),GN0,stdev(GN0),N (FCS),cpm (kHz),A1,stdev(A1),A2,stdev(A2),txy1,stdev(txy1),txy2,stdev(txy2),alpha1,stdev(alpha1),alpha2,stdev(alpha2),AR1,stdev(AR1),AR2,stdev(AR2),N (mom),bri (kHz),above zero
2022-06-03_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-100001_T0s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 12:28:03 2022,Equation 1B,2,no triplet,1,3D,0.001018,100.66329,0.017331,None,0.316929,None,3.1552808357707876,5.582481427018742,0.860224,None,0.139776,None,0.068921,None,2.881507,None,1.0,None,1.0,None,5.0,None,5.0,None,8.401385860196815,1.5051099709676843,0.8166666666666667
2022-06-03_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-100002_T24s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 12:28:03 2022,Equation 1B,2,no triplet,1,3D,0.001018,100.66329,0.0022998619244065654,None,0.2890462922243538,None,3.4596534427219487,7.9200193449589,0.929504605186994,None,0.07049539481300604,None,0.09286873979820708,None,7.215529703345564,None,1.0,None,1.0,None,5.0,None,5.0,None,10.299525526026295,2.0379942964391335,0.8
2022-06-03_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-100003_T46s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 12:28:03 2022,Equation 1B,2,no triplet,1,3D,0.001018,100.66329,0.005087219022826495,None,0.3261560171772573,None,3.0660173270895874,10.472814554160573,0.2264800009632723,None,0.7735199990367276,None,0.0018838852533602027,None,0.14193434739206529,None,1.0,None,1.0,None,5.0,None,5.0,None,10.37358523659283,2.4985955543234857,0.7
2022-06-03_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-100004_T67s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 12:28:03 2022,Equation 1B,2,no triplet,1,3D,0.001018,100.66329,-0.0012125772002177237,None,0.2838927858646018,None,3.5224565391983376,8.87725680422224,0.9194564479415652,None,0.08054355205843478,None,0.10152371539132633,None,4.706066587030037,None,1.0,None,1.0,None,5.0,None,5.0,None,10.143031373892002,2.5290209744759644,0.7222222222222222
2022-06-03_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-100005_T89s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 12:28:03 2022,Equation 1B,2,no triplet,1,3D,0.001018,100.66329,0.005342120465549494,None,0.309010677884639,None,3.2361341259971725,8.900110970606265,0.2259709329879283,None,0.7740290670120717,None,0.019163575235903466,None,0.16597932207863153,None,1.0,None,1.0,None,5.0,None,5.0,None,9.536100461399014,2.4593185671754783,0.7166666666666667
2022-06-03_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-100006_T111s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 12:28:03 2022,Equation 1B,2,no triplet,1,3D,0.001018,100.66329,0.004832643665541481,None,0.30869675561031323,None,3.2394250403537157,7.961371529273298,0.25100215803263093,None,0.7489978419673691,None,0.01251794942590829,None,0.16233423741559175,None,1.0,None,1.0,None,5.0,None,5.0,None,10.069253251825229,1.9815616872947315,0.8111111111111111
2022-06-03_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-100007_T133s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 12:28:03 2022,Equation 1B,2,no triplet,1,3D,0.001018,100.66329,0.00857729604868096,None,0.31055637247289997,None,3.2200273078835724,6.620244816259782,0.28866665577436945,None,0.7113333442256305,None,0.007880881274044573,None,0.1466210135149551,None,1.0,None,1.0,None,5.0,None,5.0,None,10.911892221484454,1.3767984924903574,0.7833333333333333
2022-06-03_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-100008_T156s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 12:28:03 2022,Equation 1B,2,no triplet,1,3D,0.001018,100.66329,-0.0016483295993678926,None,0.30347427543801486,None,3.295172213712894,5.943884711422819,0.9011901455791849,None,0.09880985442081514,None,0.08541954449381055,None,7.805450427230905,None,1.0,None,1.0,None,5.0,None,5.0,None,10.339322264379417,1.3748208770588086,0.7055555555555556
2022-06-03_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-100009_T177s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 12:28:03 2022,Equation 1B,2,no triplet,1,3D,0.001018,100.66329,0.0022742362884149436,None,0.31941879581538846,None,3.1306861496590224,5.90063997268029,0.904873634477857,None,0.09512636552214304,None,0.0831665480917759,None,5.662910438028051,None,1.0,None,1.0,None,5.0,None,5.0,None,9.544494744525899,1.4096798411404785,0.7722222222222223
2022-06-03_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-1000010_T199s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 12:28:03 2022,Equation 1B,2,no triplet,1,3D,0.001018,100.66329,0.0046922832143900806,None,0.3878351244068655,None,2.5784152519175434,6.877348990297204,0.28559827852842723,None,0.7144017214715728,None,0.001386779823304702,None,0.13367521629132256,None,1.0,None,1.0,None,5.0,None,5.0,None,10.141351980702394,1.3275113350365724,0.65
