name_of_plot,master_file,parent_name,parent_uqid,time of fit,Diff_eq,Diff_species,Triplet_eq,Triplet_species,Dimen,xmin,xmax,offset,stdev(offset),GN0,stdev(GN0),N (FCS),cpm (kHz),A1,stdev(A1),txy1,stdev(txy1),alpha1,stdev(alpha1),AR1,stdev(AR1),N (mom),bri (kHz),above zero
2022-06-03_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-100001_T0s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 12:16:28 2022,Equation 1B,1,no triplet,1,3D,0.001018,100.66329,0.042709,0.002246190255382194,0.302481,0.0036250453117509305,3.305992773099798,5.577117377506205,1.0,0,0.104821,0.005771874633367804,1.0,0,5.0,0,7.446896235993874,1.945590261863724,0.8111111111111111
2022-06-03_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-100002_T24s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 12:16:28 2022,Equation 1B,1,no triplet,1,3D,0.001018,100.66329,0.0189270722987116,0.001399892670584427,0.3072721097499564,0.00219225264058466,3.2544444102452155,8.943503542834012,1.0,0,0.12123742151859704,0.004007095644635543,1.0,0,5.0,0,8.23977091758473,3.0172458500075536,0.8
2022-06-03_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-100003_T46s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 12:16:28 2022,Equation 1B,1,no triplet,1,3D,0.001018,100.66329,0.01073385989745601,0.0018933258599469688,0.2961384959471577,0.002972673682795425,3.376798402388178,9.90976418325793,1.0,0,0.11968775015935149,0.005562112565428918,1.0,0,5.0,0,8.98437707668753,3.2406513433269377,0.7666666666666667
2022-06-03_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-100004_T67s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 12:16:28 2022,Equation 1B,1,no triplet,1,3D,0.001018,100.66329,0.012106749147963836,0.0018360223472160195,0.2923200578267555,0.00283722146774153,3.420907916598229,9.481440804374039,1.0,0,0.12960955293034912,0.005847635870697772,1.0,0,5.0,0,8.666240281709394,3.2704292464915508,0.8388888888888889
2022-06-03_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-100005_T89s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 12:16:28 2022,Equation 1B,1,no triplet,1,3D,0.001018,100.66329,0.013527098306183039,0.0015655067020207407,0.30949836263764224,0.002459250720624074,3.231034863892933,9.196638143275166,1.0,0,0.11938893399127255,0.004391069087725668,1.0,0,5.0,0,8.506276876081646,3.012466233898774,0.7555555555555555
2022-06-03_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-100006_T111s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 12:16:28 2022,Equation 1B,1,no triplet,1,3D,0.001018,100.66329,0.013315815424358446,0.0020876033939143538,0.30645466055144044,0.003338005938535143,3.263125443093542,8.220827000845881,1.0,0,0.10954340874364446,0.005496501508234923,1.0,0,5.0,0,8.921890776949484,2.5110966766879796,0.8555555555555555
2022-06-03_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-100007_T133s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 12:16:28 2022,Equation 1B,1,no triplet,1,3D,0.001018,100.66329,0.015857998506986437,0.0019701524096776175,0.309069017798548,0.003192448604030663,3.2355232728367573,7.05810474783916,1.0,0,0.10284699839461647,0.004875448718735082,1.0,0,5.0,0,9.029313594653214,2.0642098299562743,0.7277777777777777
2022-06-03_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-100008_T156s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 12:16:28 2022,Equation 1B,1,no triplet,1,3D,0.001018,100.66329,0.019943052809243134,0.0028704512791469052,0.31402971285383163,0.0047365363193458835,3.184412044682728,6.452852704375504,1.0,0,0.09458589771236332,0.006512795677471811,1.0,0,5.0,0,9.007971056698386,1.8305328247853534,0.7722222222222223
2022-06-03_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-100009_T177s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 12:16:28 2022,Equation 1B,1,no triplet,1,3D,0.001018,100.66329,0.017785776417432286,0.002428720049714887,0.30417998060003754,0.0039339840409574325,3.287527331770356,5.769688824282354,1.0,0,0.10302305881948991,0.006115984757101301,1.0,0,5.0,0,9.23327900202271,1.60882789758128,0.7722222222222223
2022-06-03_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-1000010_T199s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 12:16:28 2022,Equation 1B,1,no triplet,1,3D,0.001018,100.66329,0.01749880029009554,0.0031569472066533544,0.3146679321905009,0.005294824572113542,3.177953320628163,5.677465368038772,1.0,0,0.08794442156344193,0.006721564541300351,1.0,0,5.0,0,9.48351260424334,1.505399036314585,0.7111111111111111
