name_of_plot,master_file,parent_name,parent_uqid,time of fit,Diff_eq,Diff_species,Triplet_eq,Triplet_species,Dimen,xmin,xmax,offset,stdev(offset),GN0,stdev(GN0),N (FCS),cpm (kHz),A1,stdev(A1),txy1,stdev(txy1),alpha1,stdev(alpha1),AR1,stdev(AR1),N (mom),bri (kHz),above zero
2022-06-03_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-100001_T0s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 12:18:57 2022,Equation 1B,1,no triplet,1,3D,0.001018,100.66329,0.032388,0.002697438815270079,0.511073,0.003953137425158991,1.9566676384782604,10.80967940501259,1.0,0,0.171891,0.006254039137334638,1.0,0,5.0,0,3.9878799482295215,4.63597418810767,0.8444444444444444
2022-06-03_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-100002_T24s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 12:18:57 2022,Equation 1B,1,no triplet,1,3D,0.001018,100.66329,0.012549773788111285,0.0017359157562287706,0.42749534716475335,0.002489649837291511,2.3392067460668944,14.108266979614555,1.0,0,0.1944060330773891,0.005346340828417226,1.0,0,5.0,0,4.896694717839852,6.573365491836423,0.75
2022-06-03_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-100003_T46s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 12:18:57 2022,Equation 1B,1,no triplet,1,3D,0.001018,100.66329,0.006398573844759947,0.0020812303940049327,0.3998477323522181,0.0029668382191673157,2.5009520352090417,15.036417177142393,1.0,0,0.20143950156628276,0.007064803622939139,1.0,0,5.0,0,5.252641054257868,7.042081084968069,0.7055555555555556
2022-06-03_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-100004_T67s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 12:18:57 2022,Equation 1B,1,no triplet,1,3D,0.001018,100.66329,0.008758205915986972,0.0021659882521131773,0.39896667866658064,0.003098424252341293,2.506474985184683,14.496403171665012,1.0,0,0.19737480045098874,0.00724115928847987,1.0,0,5.0,0,5.2581200767615455,6.811939424545512,0.7166666666666667
2022-06-03_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-100005_T89s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 12:18:57 2022,Equation 1B,1,no triplet,1,3D,0.001018,100.66329,0.009721451757146227,0.002292788716553606,0.4200674832843079,0.0033001530789299343,2.3805698841088,13.984644997093334,1.0,0,0.1904052217929905,0.007059363926031246,1.0,0,5.0,0,5.071100977462899,6.331693707551718,0.7333333333333333
2022-06-03_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-100006_T111s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 12:18:57 2022,Equation 1B,1,no triplet,1,3D,0.001018,100.66329,0.010029369478743111,0.00250372320038196,0.45243095002920614,0.003602444479535463,2.2102820329498813,14.116351928817943,1.0,0,0.19080935031386012,0.007170388576942267,1.0,0,5.0,0,4.65145956966314,6.534234915840803,0.85
2022-06-03_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-100007_T133s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 12:18:57 2022,Equation 1B,1,no triplet,1,3D,0.001018,100.66329,0.013242278042418842,0.002437846090796163,0.4873601397249796,0.003538480674617112,2.051870718365081,13.03570182250047,1.0,0,0.18147011735376925,0.006208797237499634,1.0,0,5.0,0,4.386857494414463,5.783024119202326,0.7944444444444444
2022-06-03_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-100008_T156s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 12:18:57 2022,Equation 1B,1,no triplet,1,3D,0.001018,100.66329,0.017680167918014744,0.0031584648501620425,0.5023094887395098,0.004625981570137005,1.9908045187627048,12.066309745144482,1.0,0,0.1724780385908068,0.0074723827445193555,1.0,0,5.0,0,4.338047735322321,5.125281897609796,0.75
2022-06-03_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-100009_T177s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 12:18:57 2022,Equation 1B,1,no triplet,1,3D,0.001018,100.66329,0.012911808429151517,0.0023728500417566803,0.5311912739046745,0.0034684382349911723,1.8825610455706698,11.994160902982477,1.0,0,0.17440464429370606,0.005359297033393396,1.0,0,5.0,0,4.135101688881425,5.0218343554406895,0.7277777777777777
2022-06-03_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-1000010_T199s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 12:18:57 2022,Equation 1B,1,no triplet,1,3D,0.001018,100.66329,0.01120810224270996,0.0025579552715796795,0.5342796753948601,0.0037517298760078297,1.8716789091049528,11.452739340890142,1.0,0,0.17111759940602217,0.005651262280779397,1.0,0,5.0,0,4.253685013050907,4.698043869867246,0.7166666666666667
