name_of_plot,master_file,parent_name,parent_uqid,time of fit,Diff_eq,Diff_species,Triplet_eq,Triplet_species,Dimen,xmin,xmax,offset,stdev(offset),GN0,stdev(GN0),N (FCS),A1,stdev(A1),txy1,stdev(txy1),alpha1,stdev(alpha1),AR1,stdev(AR1)
clean,Not known,average_data,average_data,Mon Jun  6 16:14:44 2022,Equation 1B,1,no triplet,1,3D,0.001018,939.52409,0.011008,0.003057550988716633,0.88419,0.005054092675612864,1.1309786358135694,1.0,0,0.21375,0.005896429991984229,1.0,0,5.0,0
0cd20,Not known,average_data,average_data,Mon Jun  6 16:13:31 2022,Equation 1B,1,no triplet,1,3D,0.001018,100.66329,0.011187,0.0036152889972285605,0.838484,0.005181777949040648,1.192628601142061,1.0,0,0.195123,0.005694771861277159,1.0,0,5.0,0
19e3e,Not known,average_data,average_data,Mon Jun  6 16:13:31 2022,Equation 1B,1,no triplet,1,3D,0.001018,100.66329,0.014681,0.0019409278975998057,0.488555,0.002983606162703134,2.0468524526409513,1.0,0,0.133133,0.003784316630503597,1.0,0,5.0,0
34a6d,Not known,average_data,average_data,Mon Jun  6 16:13:31 2022,Equation 1B,1,no triplet,1,3D,0.001018,100.66329,0.017474,0.0014252172943561223,0.252428,0.0025179245841827807,3.961525662763244,1.0,0,0.070591,0.003144013070818359,1.0,0,5.0,0
484af,Not known,average_data,average_data,Mon Jun  6 16:13:31 2022,Equation 1B,1,no triplet,1,3D,0.001018,100.66329,0.017156,0.0021020012124998723,0.511079,0.003204622428204759,1.9566446674584557,1.0,0,0.138934,0.004062891499151134,1.0,0,5.0,0
714af,Not known,average_data,average_data,Mon Jun  6 16:13:31 2022,Equation 1B,1,no triplet,1,3D,0.001018,100.66329,0.017735,0.0015711077966528572,0.342297,0.002564484273403068,2.921439568561804,1.0,0,0.099424,0.0034111490615610566,1.0,0,5.0,0
34766,Not known,average_data,average_data,Mon Jun  6 16:14:30 2022,Equation 1B,1,no triplet,1,3D,0.001018,939.52409,0.010504,0.0013780427742836783,0.262228,0.0027355452590840917,3.8134752963070304,1.0,0,0.083465,0.003933083803228952,1.0,0,5.0,0
c1204,Not known,average_data,average_data,Mon Jun  6 16:13:31 2022,Equation 1B,1,no triplet,1,3D,0.001018,100.66329,0.01066,0.001170334901591031,0.168387,0.002366533652878716,5.93870073105406,1.0,0,0.043043,0.002569584057806881,1.0,0,5.0,0
fe81d,Not known,average_data,average_data,Mon Jun  6 16:13:31 2022,Equation 1B,1,no triplet,1,3D,0.001018,100.66329,0.014684,0.0023532202800738353,0.591435,0.003519388627110052,1.6908028777464978,1.0,0,0.153788,0.0042866555363687,1.0,0,5.0,0
ff67b,Not known,average_data,average_data,Mon Jun  6 16:13:31 2022,Equation 1B,1,no triplet,1,3D,0.001018,100.66329,0.015713,0.0018158908998992867,0.467029,0.0028401393354703856,2.1411946581475667,1.0,0,0.121996,0.0034380432895581075,1.0,0,5.0,0
