name_of_plot,master_file,parent_name,parent_uqid,time of fit,Diff_eq,Diff_species,Triplet_eq,Triplet_species,Dimen,xmin,xmax,offset,stdev(offset),GN0,stdev(GN0),N (FCS),cpm (kHz),A1,stdev(A1),txy1,stdev(txy1),alpha1,stdev(alpha1),AR1,stdev(AR1),N (mom),bri (kHz),above zero
2022-06-03_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-100001_T0s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 12:31:20 2022,Equation 1B,1,no triplet,1,3D,0.001018,100.66329,0.019751,0.0027743358556256738,0.196412,0.004984362764937914,5.091338614748589,3.000828291916547,1.0,0,0.066003,0.007435670246797247,1.0,0,5.0,0,16.569354399658383,0.5460013722389996,0.8388888888888889
2022-06-03_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-100002_T24s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 12:31:20 2022,Equation 1B,1,no triplet,1,3D,0.001018,100.66329,0.007399928648099907,0.001587128243680267,0.17338416598628054,0.002715736094691972,5.7675393500415,4.052704893626551,1.0,0,0.08063366561154402,0.005699885290506909,1.0,0,5.0,0,21.941022414416867,0.6157991678579646,0.8055555555555556
2022-06-03_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-100003_T46s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 12:31:20 2022,Equation 1B,1,no triplet,1,3D,0.001018,100.66329,0.007962227466468241,0.0019012580167656794,0.19083513554450893,0.0033772771325293605,5.240125185263736,5.296090342893425,1.0,0,0.06906452751105469,0.005446900365173902,1.0,0,5.0,0,19.571978945063222,0.8714693223571235,0.6555555555555556
2022-06-03_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-100004_T67s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 12:31:20 2022,Equation 1B,1,no triplet,1,3D,0.001018,100.66329,0.006615374521306894,0.0017603343125520497,0.19111598072743477,0.0030094015036359776,5.23242481447,5.19292076575629,1.0,0,0.08094509249202181,0.005753987397943505,1.0,0,5.0,0,18.252626776172463,0.9493016953776373,0.6777777777777778
2022-06-03_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-100005_T89s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 12:31:20 2022,Equation 1B,1,no triplet,1,3D,0.001018,100.66329,0.006142592232680877,0.001930146900796027,0.20166404151437226,0.003224445133072592,4.958742235306891,5.079888924921367,1.0,0,0.08951158113036103,0.006508352218304582,1.0,0,5.0,0,16.874963490262306,0.9687088229189029,0.6944444444444444
2022-06-03_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-100006_T111s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 12:31:20 2022,Equation 1B,1,no triplet,1,3D,0.001018,100.66329,0.007169889106617422,0.001678299712350146,0.17762805183385086,0.0028787415177053462,5.629741415704861,3.927595274358153,1.0,0,0.0798070106032418,0.0058323105530771685,1.0,0,5.0,0,21.220996167469924,0.6167279549618812,0.8611111111111112
2022-06-03_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-100007_T133s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 12:31:20 2022,Equation 1B,1,no triplet,1,3D,0.001018,100.66329,0.007710683707343402,0.0026117167028855844,0.1650664739663087,0.00473685642593196,6.058165392229239,3.040814886512392,1.0,0,0.0635925011892571,0.008074659967549993,1.0,0,5.0,0,26.358275576774897,0.3877080812425459,0.7
2022-06-03_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-100008_T156s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 12:31:20 2022,Equation 1B,1,no triplet,1,3D,0.001018,100.66329,0.008337116881395157,0.0027386816731905642,0.17934528121907425,0.004918041653701014,5.575836694462442,3.0716186819201017,1.0,0,0.06612302078616267,0.008050832251384216,1.0,0,5.0,0,23.028424832894984,0.4386082681559296,0.6277777777777778
2022-06-03_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-100009_T177s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 12:31:20 2022,Equation 1B,1,no triplet,1,3D,0.001018,100.66329,0.010632388647115354,0.0035543880081700756,0.1943284133756464,0.006353825347683296,5.145927878631678,3.1400651489417113,1.0,0,0.06735038146061727,0.009791173115403517,1.0,0,5.0,0,20.12446227661505,0.48141713798171865,0.7444444444444445
2022-06-03_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-1000010_T199s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 12:31:20 2022,Equation 1B,1,no triplet,1,3D,0.001018,100.66329,0.008697861549188168,0.002951626178684656,0.20207327457122826,0.0053171162769153285,4.948699931358378,3.164220400460622,1.0,0,0.06529612993430534,0.007621087051156527,1.0,0,5.0,0,19.460056581824052,0.5015032667099879,0.6444444444444445
