name_of_plot,master_file,parent_name,parent_uqid,time of fit,Diff_eq,Diff_species,Triplet_eq,Triplet_species,Dimen,xmin,xmax,offset,stdev(offset),GN0,stdev(GN0),N (FCS),cpm (kHz),A1,stdev(A1),txy1,stdev(txy1),alpha1,stdev(alpha1),AR1,stdev(AR1),N (mom),bri (kHz),above zero
2022-06-03_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-100001_T0s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 12:33:13 2022,Equation 1B,1,no triplet,1,3D,0.001018,100.66329,0.032993,0.0030609598986869437,0.571141,0.004399009126690724,1.75088113092914,13.061830231732669,1.0,0,0.192124,0.006985123750170668,1.0,0,5.0,0,3.4251648240105204,6.428248903168105,0.8111111111111111
2022-06-03_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-100002_T24s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 12:33:13 2022,Equation 1B,1,no triplet,1,3D,0.001018,100.66329,0.012027331249563566,0.0016364470290811614,0.44195444688436514,0.002320967018725298,2.262676633417028,14.832434348602064,1.0,0,0.2075641018198731,0.005156500188326571,1.0,0,5.0,0,4.609133523434046,7.2338977555172255,0.8277777777777777
2022-06-03_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-100003_T46s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 12:33:13 2022,Equation 1B,1,no triplet,1,3D,0.001018,100.66329,0.006868242100743105,0.0023909529432285027,0.40684932013211894,0.0033994230904444817,2.4579124273214052,15.447929321313216,1.0,0,0.20456974799082164,0.008082706729834284,1.0,0,5.0,0,5.106927670337114,7.4128109296670175,0.6944444444444444
2022-06-03_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-100004_T67s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 12:33:13 2022,Equation 1B,1,no triplet,1,3D,0.001018,100.66329,0.008754861567270122,0.002231516644823718,0.40495768142312966,0.0031887959545613995,2.4693938302040164,14.813634240782587,1.0,0,0.1985832375229275,0.007388560479066097,1.0,0,5.0,0,5.173325734502599,7.040792031485582,0.75
2022-06-03_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-100005_T89s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 12:33:13 2022,Equation 1B,1,no triplet,1,3D,0.001018,100.66329,0.009125107544505573,0.002139813497644716,0.43969032639381195,0.0030391167476119005,2.2743279530428935,15.014952193397038,1.0,0,0.2058633525528923,0.006729676806822794,1.0,0,5.0,0,4.687541500117615,7.254986564479905,0.75
2022-06-03_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-100006_T111s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 12:33:13 2022,Equation 1B,1,no triplet,1,3D,0.001018,100.66329,0.009414060966238758,0.002448246633560268,0.47043371544958684,0.003483896943434979,2.1256979828588904,14.972402784816358,1.0,0,0.20352598578471937,0.0071264510008185915,1.0,0,5.0,0,4.372876222346453,7.258033105039117,0.85
2022-06-03_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-100007_T133s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 12:33:13 2022,Equation 1B,1,no triplet,1,3D,0.001018,100.66329,0.009902617146725023,0.00275756543535306,0.5213834515034318,0.003951471891444765,1.917974184098971,14.436526701950019,1.0,0,0.19539315483044237,0.0069937412644843116,1.0,0,5.0,0,4.028035661516831,6.806843004749512,0.7166666666666667
2022-06-03_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-100008_T156s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 12:33:13 2022,Equation 1B,1,no triplet,1,3D,0.001018,100.66329,0.014473485877656733,0.0031917854623003993,0.5530694816971025,0.0045940733097006616,1.8080910863703492,13.969637934189727,1.0,0,0.19040763778483172,0.007464294313629973,1.0,0,5.0,0,3.8059454608315155,6.525885103404153,0.7722222222222223
2022-06-03_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-100009_T177s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 12:33:13 2022,Equation 1B,1,no triplet,1,3D,0.001018,100.66329,0.011403335581770868,0.002843725540469137,0.5752935052758439,0.004079951190229463,1.7382431590645477,13.658850406352682,1.0,0,0.1940115124192108,0.006496676552427198,1.0,0,5.0,0,3.6650604796806574,6.321736386541964,0.7888888888888889
2022-06-03_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-1000010_T199s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 12:33:13 2022,Equation 1B,1,no triplet,1,3D,0.001018,100.66329,0.009555595174110976,0.0029707182470941986,0.5851408259571688,0.004290429076499118,1.7089903073575627,13.11629377550848,1.0,0,0.18672124055926606,0.006457497196967926,1.0,0,5.0,0,3.7301839668892884,5.879293087962573,0.7111111111111111
2022-06-03_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-1000011_T221s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 12:33:13 2022,Equation 1B,1,no triplet,1,3D,0.001018,100.66329,0.013010906196335936,0.0031565713327464306,0.6200459674048512,0.004609859174185149,1.6127836524530812,12.975516751345603,1.0,0,0.1752850177940859,0.0061341705686784875,1.0,0,5.0,0,3.557026752643332,5.66385477525415,0.6888888888888889
