name_of_plot,master_file,parent_name,parent_uqid,time of fit,Diff_eq,Diff_species,Triplet_eq,Triplet_species,Dimen,xmin,xmax,offset,stdev(offset),GN0,stdev(GN0),N (FCS),cpm (kHz),A1,stdev(A1),txy1,stdev(txy1),alpha1,stdev(alpha1),AR1,stdev(AR1),N (mom),bri (kHz),above zero
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10001_T0s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 12:36:09 2022,Equation 1B,1,no triplet,1,3D,0.001018,100.66329,0.018096,0.0036931438120616747,0.586715,0.005460909970571017,1.7044050348124729,7.962046886827656,1.0,0,0.163612,0.0071499936640444925,1.0,0,5.0,0,3.861424348636446,3.296404919845273,0.8055555555555556
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10002_T24s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 12:36:09 2022,Equation 1B,1,no triplet,1,3D,0.001018,100.66329,0.018663260689988248,0.0034516572570805924,0.6524395357600721,0.005107539787846712,1.532709079064362,9.288774552598555,1.0,0,0.16293891191413934,0.005988422751428184,1.0,0,5.0,0,3.4815205202479063,3.917819502627024,0.8222222222222222
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10003_T46s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 12:36:09 2022,Equation 1B,1,no triplet,1,3D,0.001018,100.66329,0.01900216284316958,0.0037284276230714762,0.514715697983066,0.005793339804015281,1.942820092564769,6.735768814218799,1.0,0,0.12604449588972252,0.0065859157198728925,1.0,0,5.0,0,4.925745331858177,2.3529634565928865,0.7888888888888889
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10004_T68s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 12:36:09 2022,Equation 1B,1,no triplet,1,3D,0.001018,100.66329,0.016289989307083808,0.0037856612334671766,0.5592624884110097,0.00579446779838186,1.7880691459232758,7.826512413939719,1.0,0,0.13608364659066574,0.006569808072519107,1.0,0,5.0,0,4.416871269814136,2.913864696567501,0.8444444444444444
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10005_T90s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 12:36:09 2022,Equation 1B,1,no triplet,1,3D,0.001018,100.66329,0.018103301954980777,0.004950648640808962,0.5521651581125001,0.007519173504739054,1.8110523369825815,7.611518264301332,1.0,0,0.1416830713734245,0.009006463811303534,1.0,0,5.0,0,4.420026657844501,2.8487032603026625,0.85
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10006_T112s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 12:36:09 2022,Equation 1B,1,no triplet,1,3D,0.001018,100.66329,0.01576864264033928,0.0040360789457110835,0.5265309837292138,0.006203657119058398,1.8992234662381873,7.0000616694105755,1.0,0,0.1331903248867802,0.00730464620513044,1.0,0,5.0,0,4.768994474490134,2.4872621878515506,0.7555555555555555
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10007_T134s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 12:36:09 2022,Equation 1B,1,no triplet,1,3D,0.001018,100.66329,0.013881619520196398,0.003917877314312094,0.5749365103996721,0.005882582594948942,1.7393224850250706,7.883490283851164,1.0,0,0.1505612834089268,0.0072099640367023305,1.0,0,5.0,0,4.205147944864856,2.9885375515830095,0.7888888888888889
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10008_T155s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 12:36:09 2022,Equation 1B,1,no triplet,1,3D,0.001018,100.66329,0.02244173072240918,0.004575729221368776,0.6121425042254472,0.0068654376163952945,1.633606542753169,8.455080339789687,1.0,0,0.1511255979286905,0.007934286197979309,1.0,0,5.0,0,3.7777606902512826,3.396126639869693,0.8444444444444444
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10009_T177s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 12:36:09 2022,Equation 1B,1,no triplet,1,3D,0.001018,100.66329,0.02485662843088643,0.003407749893019034,0.7373075721211141,0.004791534759834703,1.356286084412727,11.340967807028697,1.0,0,0.21859423679031628,0.006728650166021743,1.0,0,5.0,0,2.708633739210577,5.64422808063061,0.8222222222222222
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-100010_T199s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 12:36:10 2022,Equation 1B,1,no triplet,1,3D,0.001018,100.66329,0.021921613808513984,0.004528036711627278,0.6221375930939058,0.006667988112348843,1.6073614761438462,8.583563828555018,1.0,0,0.1673437163806742,0.00842854554717771,1.0,0,5.0,0,3.6086317749028702,3.626674143060357,0.7722222222222223
