name_of_plot,master_file,parent_name,parent_uqid,time of fit,Diff_eq,Diff_species,Triplet_eq,Triplet_species,Dimen,xmin,xmax,offset,stdev(offset),GN0,stdev(GN0),N (FCS),cpm (kHz),A1,stdev(A1),txy1,stdev(txy1),alpha1,stdev(alpha1),AR1,stdev(AR1),N (mom),bri (kHz),above zero
2022-06-02_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-100001_T0s_1_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 13:54:03 2022,Equation 1B,1,no triplet,1,3D,0.001018,939.52409,0.032341,0.00239774465121754,0.627308,0.003918625810691061,1.594113258558794,15.02016689454473,1.0,0,0.229024,0.006928313451922385,1.0,0,5.0,0,2.9549672588055826,8.103117136775321,0.8388888888888889
2022-06-02_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-100002_T24s_1_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 13:54:03 2022,Equation 1B,1,no triplet,1,3D,0.001018,939.52409,0.008732802340757795,0.001357300306948113,0.4523561103976661,0.0022324150858599877,2.2106477109835,15.284316557584146,1.0,0,0.22028770084189733,0.005254663037810573,1.0,0,5.0,0,4.4732239385608645,7.553631261345771,0.7888888888888889
2022-06-02_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-100003_T46s_1_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 13:54:03 2022,Equation 1B,1,no triplet,1,3D,0.001018,939.52409,0.004932795882689467,0.0015914060202797886,0.4112446951521379,0.0026266388376664992,2.4316423087963606,15.670028876130564,1.0,0,0.21566698650407382,0.0066510042635256365,1.0,0,5.0,0,5.014485547304746,7.598956563913309,0.7444444444444445
2022-06-02_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-100004_T67s_1_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 13:54:03 2022,Equation 1B,1,no triplet,1,3D,0.001018,939.52409,0.006075206617959683,0.0017935244751074192,0.4119995336687301,0.002972863232250008,2.427187213284698,15.144732058082214,1.0,0,0.21021763540484115,0.007314605277234407,1.0,0,5.0,0,5.041818647397618,7.291023650652138,0.8
2022-06-02_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-100005_T89s_1_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 13:54:03 2022,Equation 1B,1,no triplet,1,3D,0.001018,939.52409,0.0067774369477831,0.0017331269297775698,0.4482815113387532,0.0028582545248822815,2.230741118485097,15.388234015083562,1.0,0,0.21671484512984124,0.006673422076199083,1.0,0,5.0,0,4.565586056902574,7.518864867292473,0.7666666666666667
2022-06-02_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-100006_T111s_1_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 13:54:03 2022,Equation 1B,1,no triplet,1,3D,0.001018,939.52409,0.007061704172919736,0.002061414076993256,0.47542564525213116,0.0034049083638527976,2.1033783305266858,15.188873505875716,1.0,0,0.21470908350397558,0.007422985272109602,1.0,0,5.0,0,4.289193051823605,7.4486612679693405,0.7944444444444444
2022-06-02_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-100007_T133s_1_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 13:54:03 2022,Equation 1B,1,no triplet,1,3D,0.001018,939.52409,0.006491308832516252,0.0023805343934914253,0.539786571393329,0.003925360577956174,1.852584063769391,15.140555835589023,1.0,0,0.21691523542961197,0.0076185753338195656,1.0,0,5.0,0,3.798798894757322,7.383874355060413,0.7222222222222222
2022-06-02_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-100008_T156s_1_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 13:54:03 2022,Equation 1B,1,no triplet,1,3D,0.001018,939.52409,0.00945600419522119,0.002669504346413208,0.5870624000513682,0.004387427626158643,1.703396436073064,15.16117489015105,1.0,0,0.221258818258673,0.00799464659587196,1.0,0,5.0,0,3.447481239591055,7.491306018922833,0.7888888888888889
2022-06-02_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-100009_T177s_1_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 13:54:03 2022,Equation 1B,1,no triplet,1,3D,0.001018,939.52409,0.008483354897811601,0.002314596522964473,0.6236747935812242,0.003784050526526491,1.6033997369973316,15.29922699424003,1.0,0,0.22853558928173373,0.006714325675255313,1.0,0,5.0,0,3.2048777660172885,7.654391725748812,0.7833333333333333
2022-06-02_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-1000010_T199s_1_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 13:54:03 2022,Equation 1B,1,no triplet,1,3D,0.001018,939.52409,0.006187119092437632,0.0024467331562798155,0.62210582516146,0.0040494986915234395,1.6074435563120828,14.311917945532825,1.0,0,0.21211928810399244,0.006661338689473906,1.0,0,5.0,0,3.3648485471414613,6.8372098003353425,0.7
2022-06-02_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-1000011_T221s_1_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 13:54:03 2022,Equation 1B,1,no triplet,1,3D,0.001018,939.52409,0.008499918168553888,0.0028599636796463822,0.6838049415320357,0.004732403356148284,1.4624053429031132,14.991258252166201,1.0,0,0.21240092047565656,0.007092031876558541,1.0,0,5.0,0,3.0154625430203708,7.270474753223794,0.7166666666666667
2022-06-02_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-1000012_T244s_1_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 13:54:03 2022,Equation 1B,1,no triplet,1,3D,0.001018,939.52409,0.006999031720172577,0.0027969474338322264,0.6588528161845246,0.004633727822677043,1.5177896723445596,14.684883442243894,1.0,0,0.21085830363025332,0.007152297797063349,1.0,0,5.0,0,3.15538134247935,7.06384403813853,0.7222222222222222
2022-06-02_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-1000013_T266s_1_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 13:54:03 2022,Equation 1B,1,no triplet,1,3D,0.001018,939.52409,0.010881258343358957,0.0030311953594913013,0.6828641845284498,0.005026611577620306,1.4644200452401053,15.06183482965484,1.0,0,0.20966085946201846,0.00744110282211367,1.0,0,5.0,0,3.0351292334479436,7.267369066939342,0.7222222222222222
2022-06-02_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-1000014_T287s_1_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 13:54:03 2022,Equation 1B,1,no triplet,1,3D,0.001018,939.52409,0.007896561166638172,0.002515553613311945,0.674515032992253,0.0041340753401676675,1.482546646238328,14.988844458578937,1.0,0,0.22138027824277665,0.006559850610695726,1.0,0,5.0,0,3.027171137719883,7.340918519389729,0.7611111111111111
2022-06-02_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-1000015_T309s_1_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 13:54:03 2022,Equation 1B,1,no triplet,1,3D,0.001018,939.52409,0.00918906627013616,0.002571672271513016,0.6524836856652851,0.004185349463626002,1.5326053692520762,14.508112921096572,1.0,0,0.23501282396577872,0.007309219714053291,1.0,0,5.0,0,3.067701201631083,7.248348591040593,0.7888888888888889
2022-06-02_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-1000016_T331s_1_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 13:54:03 2022,Equation 1B,1,no triplet,1,3D,0.001018,939.52409,0.007450530599107497,0.0027463675961761436,0.6664185580686867,0.0045562394855479475,1.5005584521806363,14.885669270918312,1.0,0,0.20911694701304437,0.0068925061749333825,1.0,0,5.0,0,3.127443581199993,7.14237514544609,0.7333333333333333
2022-06-02_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-1000017_T353s_1_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 13:54:03 2022,Equation 1B,1,no triplet,1,3D,0.001018,939.52409,0.007764262401535049,0.002939742264725066,0.6513653029831997,0.004885941143567365,1.5352368255110949,14.90382048195396,1.0,0,0.20687177732511713,0.007476402611948625,1.0,0,5.0,0,3.208968829721854,7.130473159485803,0.7388888888888889
2022-06-02_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-1000018_T375s_1_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 13:54:04 2022,Equation 1B,1,no triplet,1,3D,0.001018,939.52409,0.008237420531863493,0.002821647061982059,0.6655380993337279,0.004676464092133555,1.502543582405129,14.972094703057294,1.0,0,0.21036604588254412,0.00712826247437676,1.0,0,5.0,0,3.1040943210439216,7.247456079710444,0.7166666666666667
