name_of_plot,master_file,parent_name,parent_uqid,time of fit,Diff_eq,Diff_species,Triplet_eq,Triplet_species,Dimen,xmin,xmax,offset,stdev(offset),GN0,stdev(GN0),N (FCS),cpm (kHz),A1,stdev(A1),A2,stdev(A2),txy1,stdev(txy1),txy2,stdev(txy2),alpha1,stdev(alpha1),alpha2,stdev(alpha2),AR1,stdev(AR1),AR2,stdev(AR2),N (mom),bri (kHz),above zero
2022-06-02_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-100001_T0s_1_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 12:12:26 2022,Equation 1B,2,no triplet,1,3D,0.001018,100.66329,0.03141,None,0.692101,None,1.4448758201476375,16.571560585679283,0.185612,None,0.814388,None,0.004942,None,0.299653,None,1.0,None,1.0,None,5.0,None,5.0,None,2.9549672588055826,8.103117136775321,0.8388888888888889
2022-06-02_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-100002_T24s_1_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 12:12:26 2022,Equation 1B,2,no triplet,1,3D,0.001018,100.66329,0.006510428657465983,None,0.47145809926535737,None,2.1210792678251478,15.929739130690495,0.24113737181158557,None,0.7588626281884144,None,0.03074406488674669,None,0.34127573160853425,None,1.0,None,1.0,None,5.0,None,5.0,None,4.4732239385608645,7.553631261345771,0.7888888888888889
2022-06-02_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-100003_T46s_1_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 12:12:26 2022,Equation 1B,2,no triplet,1,3D,0.001018,100.66329,0.0030938478650064383,None,0.45290777307769525,None,2.2079550395096716,17.25755484754872,0.18819213188891332,None,0.8118078681110867,None,0.005500386419039067,None,0.2887721801780957,None,1.0,None,1.0,None,5.0,None,5.0,None,5.014485547304746,7.598956563913309,0.7444444444444445
2022-06-02_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-100004_T67s_1_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 12:12:26 2022,Equation 1B,2,no triplet,1,3D,0.001018,100.66329,0.003516315159672767,None,0.4477064474917153,None,2.233606430290475,16.45728607399271,0.21252989588151616,None,0.7874701041184838,None,0.009628321335031158,None,0.3085027804415,None,1.0,None,1.0,None,5.0,None,5.0,None,5.041818647397618,7.291023650652138,0.8
2022-06-02_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-100005_T89s_1_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 12:12:26 2022,Equation 1B,2,no triplet,1,3D,0.001018,100.66329,0.004091698634273611,None,0.48436462435135874,None,2.0645603533477677,16.62686503819326,0.20862947159072115,None,0.7913705284092789,None,0.010684016320634166,None,0.31705017105052574,None,1.0,None,1.0,None,5.0,None,5.0,None,4.565586056902574,7.518864867292473,0.7666666666666667
2022-06-02_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-100006_T111s_1_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 12:12:26 2022,Equation 1B,2,no triplet,1,3D,0.001018,100.66329,0.0037302813143577085,None,0.5210653108054294,None,1.9191452189635576,16.64696714020604,0.2099036111932025,None,0.7900963888067976,None,0.008059728560075958,None,0.3111187388044145,None,1.0,None,1.0,None,5.0,None,5.0,None,4.289193051823605,7.4486612679693405,0.7944444444444444
2022-06-02_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-100007_T133s_1_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 12:12:26 2022,Equation 1B,2,no triplet,1,3D,0.001018,100.66329,0.0034515494255884516,None,0.5825950052640595,None,1.7164582445171375,16.34129612370121,0.21448300764403344,None,0.7855169923559666,None,0.011419764003373672,None,0.32165149578761676,None,1.0,None,1.0,None,5.0,None,5.0,None,3.798798894757322,7.383874355060413,0.7222222222222222
2022-06-02_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-100008_T156s_1_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 12:12:26 2022,Equation 1B,2,no triplet,1,3D,0.001018,100.66329,0.007235948899608324,None,0.6845069539421328,None,1.4609055382723526,17.677728366410747,0.22442963352107287,None,0.7755703664789271,None,0.0027026361995420188,None,0.29228095478737876,None,1.0,None,1.0,None,5.0,None,5.0,None,3.447481239591055,7.491306018922833,0.7888888888888889
2022-06-02_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-100009_T177s_1_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 12:12:26 2022,Equation 1B,2,no triplet,1,3D,0.001018,100.66329,0.003019018506793647,None,0.6662853909752975,None,1.5008583612139785,16.344498037099964,0.23474573199807858,None,0.7652542680019214,None,0.018170871492259787,None,0.3631334458215881,None,1.0,None,1.0,None,5.0,None,5.0,None,3.2048777660172885,7.654391725748812,0.7833333333333333
2022-06-02_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-1000010_T199s_1_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 12:12:26 2022,Equation 1B,2,no triplet,1,3D,0.001018,100.66329,0.005159142898533475,None,0.7273738979312466,None,1.3748087508283433,16.733673149921962,0.21347388826857344,None,0.7865261117314266,None,0.0020569943932760163,None,0.2649844558334629,None,1.0,None,1.0,None,5.0,None,5.0,None,3.3648485471414613,6.8372098003353425,0.7
2022-06-02_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-1000011_T221s_1_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 12:12:26 2022,Equation 1B,2,no triplet,1,3D,0.001018,100.66329,0.0070430708534852116,None,0.846192707147026,None,1.1817639073864648,18.551333331285097,0.2553593543794668,None,0.7446406456205332,None,0.0013680619438838073,None,0.2667762213394348,None,1.0,None,1.0,None,5.0,None,5.0,None,3.0154625430203708,7.270474753223794,0.7166666666666667
2022-06-02_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-1000012_T244s_1_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 12:12:26 2022,Equation 1B,2,no triplet,1,3D,0.001018,100.66329,0.003952405819042326,None,0.7261566205905171,None,1.3771133824914947,16.18498862301127,0.204473353484248,None,0.795526646515752,None,0.006414020897726107,None,0.29508960518964233,None,1.0,None,1.0,None,5.0,None,5.0,None,3.15538134247935,7.06384403813853,0.7222222222222222
2022-06-02_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-1000013_T266s_1_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 12:12:26 2022,Equation 1B,2,no triplet,1,3D,0.001018,100.66329,0.008392938132814276,None,0.7576521618578952,None,1.3198668866037757,16.711422240009274,0.22200875871012682,None,0.7779912412898732,None,0.006567770825821487,None,0.30248640095939405,None,1.0,None,1.0,None,5.0,None,5.0,None,3.0351292334479436,7.267369066939342,0.7222222222222222
