name_of_plot,master_file,parent_name,parent_uqid,time of fit,Diff_eq,Diff_species,Triplet_eq,Triplet_species,Dimen,xmin,xmax,offset,stdev(offset),GN0,stdev(GN0),N (FCS),cpm (kHz),A1,stdev(A1),txy1,stdev(txy1),alpha1,stdev(alpha1),AR1,stdev(AR1),N (mom),bri (kHz),above zero
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10001_T0s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 13:23:39 2022,Equation 1B,1,no triplet,1,3D,0.001018,939.52409,0.007544,0.0034542453699849523,0.800179,0.005622662989934855,1.249720375066079,11.62866436052126,1.0,0,0.234753,0.007997922327640187,1.0,0,5.0,0,2.470193894840805,5.665931701952269,0.8
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10002_T24s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 13:23:39 2022,Equation 1B,1,no triplet,1,3D,0.001018,939.52409,0.0072765633985951705,0.0036131573134978753,0.8292638357373536,0.005969288668102266,1.205888834053439,12.369983981261022,1.0,0,0.21441678628117625,0.00745027445630716,1.0,0,5.0,0,2.483951140917132,5.829976505217548,0.7
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10003_T46s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 13:23:39 2022,Equation 1B,1,no triplet,1,3D,0.001018,939.52409,0.010807866878565164,0.003982015354557859,0.8556399765756924,0.006498380737140503,1.1687158470575938,13.008442571204755,1.0,0,0.23104952532027592,0.008501959456849046,1.0,0,5.0,0,2.3367829974247645,6.356865020169877,0.7388888888888889
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10004_T68s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 13:23:40 2022,Equation 1B,1,no triplet,1,3D,0.001018,939.52409,0.008335101127509015,0.0037240484986054367,0.8183165403065427,0.0060897342557478685,1.2220210037858925,12.773351825472044,1.0,0,0.2282045255931701,0.008222887354585161,1.0,0,5.0,0,2.448934779035381,6.261885883012134,0.7944444444444444
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10005_T90s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 13:23:40 2022,Equation 1B,1,no triplet,1,3D,0.001018,939.52409,0.009688278385104221,0.0036992791559005726,0.7687491324490943,0.006057181229036157,1.3008144761271896,11.825267439069915,1.0,0,0.22636803225177873,0.008632989176959496,1.0,0,5.0,0,2.6319723161596613,5.724501702485374,0.7277777777777777
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10006_T112s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 13:23:40 2022,Equation 1B,1,no triplet,1,3D,0.001018,939.52409,0.006765460005363044,0.0035094899114022065,0.8267420505031767,0.0057235816512687205,1.2095671187783106,12.633363564536948,1.0,0,0.23197265278588447,0.007782311966293715,1.0,0,5.0,0,2.4476927538965936,6.124512276084984,0.7166666666666667
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10007_T134s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 13:23:40 2022,Equation 1B,1,no triplet,1,3D,0.001018,939.52409,0.006908504054832232,0.0027229998410272173,0.8479015764228269,0.004518967043673394,1.1793821686460995,12.920725584777252,1.0,0,0.20872292234919795,0.005362012016672639,1.0,0,5.0,0,2.4762984591902875,6.006491456921967,0.75
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10008_T155s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 13:23:40 2022,Equation 1B,1,no triplet,1,3D,0.001018,939.52409,0.008720680296675831,0.0035127423356545113,0.7939801246238237,0.005862569476898197,1.2594773710157865,11.628072153642714,1.0,0,0.20183966031905903,0.007171182662984838,1.0,0,5.0,0,2.647720932596955,5.253743923665812,0.7722222222222223
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10009_T177s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 13:23:40 2022,Equation 1B,1,no triplet,1,3D,0.001018,939.52409,0.006265908131356079,0.0023513913046180035,0.7779155469189064,0.0038533383608981703,1.285486585222142,11.743575808025383,1.0,0,0.22523805537847416,0.005398699991074149,1.0,0,5.0,0,2.6160910813765463,5.6174466883167264,0.7222222222222222
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-100010_T199s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 13:23:40 2022,Equation 1B,1,no triplet,1,3D,0.001018,939.52409,0.005368029234847582,0.0040104365252065,0.8295625792731917,0.006541081157814271,1.2054545672445043,11.91699140521092,1.0,0,0.2318746793052365,0.008859411015360922,1.0,0,5.0,0,2.419656196691142,5.627171829290668,0.6388888888888888
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-100011_T221s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 13:23:40 2022,Equation 1B,1,no triplet,1,3D,0.001018,939.52409,0.005892699116966105,0.0034815820682281306,0.8413882791639761,0.005729918335144043,1.1885119210284512,12.31196344698925,1.0,0,0.21945017096468947,0.007222127065044193,1.0,0,5.0,0,2.4358726064555007,5.796548207777846,0.6777777777777778
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-100012_T242s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 13:23:40 2022,Equation 1B,1,no triplet,1,3D,0.001018,939.52409,0.004602139838384867,0.003133242539391811,0.8110205542176396,0.0052180574467639105,1.2330143728165577,11.950451382342912,1.0,0,0.20439851714344445,0.006332260702843121,1.0,0,5.0,0,2.631071707277717,5.381556840689822,0.6777777777777778
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-100013_T264s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 13:23:40 2022,Equation 1B,1,no triplet,1,3D,0.001018,939.52409,0.0037682756856196598,0.0029769258583696666,0.8528424247359507,0.004842904794055559,1.1725495484228647,12.441887665224755,1.0,0,0.2356043650139896,0.006487777086028435,1.0,0,5.0,0,2.380354376834588,5.9061602521872905,0.6833333333333333
