name_of_plot,master_file,parent_name,parent_uqid,time of fit,Diff_eq,Diff_species,Triplet_eq,Triplet_species,Dimen,xmin,xmax,offset,stdev(offset),GN0,stdev(GN0),N (FCS),cpm (kHz),A1,stdev(A1),A2,stdev(A2),txy1,stdev(txy1),txy2,stdev(txy2),alpha1,stdev(alpha1),alpha2,stdev(alpha2),AR1,stdev(AR1),AR2,stdev(AR2),N (mom),bri (kHz),above zero
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10001_T0s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 13:25:58 2022,Equation 1B,2,no triplet,1,3D,0.001018,939.52409,0.002134,None,0.836419,None,1.195573032176457,12.15532501573127,0.202596,None,0.797404,None,0.025423,None,0.341346,None,1.0,None,1.0,None,5.0,None,5.0,None,2.470193894840805,5.665931701952269,0.8
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10002_T24s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 13:25:58 2022,Equation 1B,2,no triplet,1,3D,0.001018,939.52409,1.125321888717501e-05,None,0.8848394552664074,None,1.1301485190880418,13.198995803188332,0.23496726015239744,None,0.7650327398476026,None,0.01801458417166193,None,0.3386572064775057,None,1.0,None,1.0,None,5.0,None,5.0,None,2.483951140917132,5.829976505217548,0.7
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10003_T46s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 13:25:58 2022,Equation 1B,2,no triplet,1,3D,0.001018,939.52409,0.004507224545234223,None,0.9855139769357607,None,1.0146989524281333,14.982939464089377,0.21793586937784876,None,0.7820641306221512,None,0.0033959324824548434,None,0.3141553800776739,None,1.0,None,1.0,None,5.0,None,5.0,None,2.3367829974247645,6.356865020169877,0.7388888888888889
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10004_T68s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 13:25:58 2022,Equation 1B,2,no triplet,1,3D,0.001018,939.52409,0.0007813766745756734,None,0.9045590768488873,None,1.1055109893801407,14.119537815020578,0.22873201633755125,None,0.7712679836624488,None,0.008694272189297724,None,0.3477698301013071,None,1.0,None,1.0,None,5.0,None,5.0,None,2.448934779035381,6.261885883012134,0.7944444444444444
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10005_T90s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 13:25:58 2022,Equation 1B,2,no triplet,1,3D,0.001018,939.52409,0.003183119442098259,None,0.8408060113580379,None,1.1893349791646208,12.933680870651068,0.21023723979389014,None,0.7897627602061099,None,0.008932359305295111,None,0.3326075752515942,None,1.0,None,1.0,None,5.0,None,5.0,None,2.6319723161596613,5.724501702485374,0.7277777777777777
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10006_T112s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 13:25:58 2022,Equation 1B,2,no triplet,1,3D,0.001018,939.52409,0.00013684356048804247,None,0.8673284479020908,None,1.1529657564199784,13.253560291923911,0.23515067925717048,None,0.7648493207428295,None,0.028123776517806235,None,0.36286272569892675,None,1.0,None,1.0,None,5.0,None,5.0,None,2.4476927538965936,6.124512276084984,0.7166666666666667
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10007_T134s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 13:25:58 2022,Equation 1B,2,no triplet,1,3D,0.001018,939.52409,0.002516916434548988,None,0.902754459699135,None,1.1077209192998885,13.756599785338432,0.15068255398045383,None,0.8493174460195462,None,0.008412480079974048,None,0.2681904267169159,None,1.0,None,1.0,None,5.0,None,5.0,None,2.4762984591902875,6.006491456921967,0.75
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10008_T155s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 13:25:59 2022,Equation 1B,2,no triplet,1,3D,0.001018,939.52409,0.001957719585327311,None,0.8544389288369688,None,1.1703586602276697,12.51350910087926,0.22311164767652952,None,0.7768883523234704,None,0.013145229434566282,None,0.3091437800075172,None,1.0,None,1.0,None,5.0,None,5.0,None,2.647720932596955,5.253743923665812,0.7722222222222223
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10009_T177s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 13:25:59 2022,Equation 1B,2,no triplet,1,3D,0.001018,939.52409,0.0004243891334968497,None,0.8093010280719936,None,1.2356341649315714,12.217377596217505,0.2560903569471822,None,0.7439096430528178,None,0.03746187384192425,None,0.35850654986385794,None,1.0,None,1.0,None,5.0,None,5.0,None,2.6160910813765463,5.6174466883167264,0.7222222222222222
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-100010_T199s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 13:25:59 2022,Equation 1B,2,no triplet,1,3D,0.001018,939.52409,-0.0005981434255700746,None,0.9827191681513716,None,1.0175847102699096,14.117145798519962,0.23315190832809018,None,0.7668480916719098,None,0.002436456404767154,None,0.31042733019753377,None,1.0,None,1.0,None,5.0,None,5.0,None,2.419656196691142,5.627171829290668,0.6388888888888888
